a_Sentence_Type	b_Sentence	c_GenderN1	d_NumN1	e_GenderN2	f_NumN2	g_GenderN3	h_NumN3	i_NumFraseOrigine	j_New_word	k_Verb1	l_Verb2	m_Element_changed	n_Old_word	o_Violation_Type	p_number	q_condition
objrel_nounpp	i compassi che le bambine accanto alle studentesse ricordano osservano la ragazza	masculine	plural	feminine	plural	feminine	plural	2026	compassi	ricorda	osserva	N1	gli attori	inanimate	1	PPP
objrel_nounpp	i compassi che le contadine vicino alle figlie ricordano incontrano gli attori	masculine	plural	feminine	plural	feminine	plural	2033	compassi	ricorda	incontra	N1	gli studenti	inanimate	2	PPP
objrel_nounpp	i compassi che le attrici vicino alle madri evitano ricordano la sorella	masculine	plural	feminine	plural	feminine	plural	2054	compassi	evita	ricorda	N1	i figli	inanimate	3	PPP
objrel_nounpp	i compassi che le ragazze davanti alle donne amano accolgono i padri	masculine	plural	feminine	plural	feminine	plural	2065	compassi	ama	accoglie	N1	i fratelli	inanimate	4	PPP
objrel_nounpp	i compassi che le studentesse vicino alle ragazze guardano interrompono la donna	masculine	plural	feminine	plural	feminine	plural	2067	compassi	guarda	interrompe	N1	i fratelli	inanimate	5	PPP
objrel_nounpp	i compassi che le attrici davanti alle ragazze ignorano amano l' amico	masculine	plural	feminine	plural	feminine	plural	2069	compassi	ignora	ama	N1	i padri	inanimate	6	PPP
objrel_nounpp	i compassi che le figlie accanto alle bambine osservano difendono l' attore	masculine	plural	feminine	plural	feminine	plural	2071	compassi	osserva	difende	N1	i padri	inanimate	7	PPP
objrel_nounpp	i compassi che le bambine accanto alla contadina difendono accolgono i ragazzi	masculine	plural	feminine	plural	feminine	singular	2083	compassi	difende	accoglie	N1	gli amici	inanimate	8	PPS
objrel_nounpp	i compassi che le studentesse dietro alla contadina ricordano fermano i fratelli	masculine	plural	feminine	plural	feminine	singular	2089	compassi	ricorda	ferma	N1	gli attori	inanimate	9	PPS
objrel_nounpp	i compassi che le contadine vicino alla figlia osservano evitano la bambina	masculine	plural	feminine	plural	feminine	singular	2092	compassi	osserva	evita	N1	gli studenti	inanimate	10	PPS
objrel_nounpp	i compassi che le attrici davanti all' amica conoscono difendono il padre	masculine	plural	feminine	plural	feminine	singular	2100	compassi	conosce	difende	N1	i bambini	inanimate	11	PPS
objrel_nounpp	i compassi che le madri davanti all' amica incontrano amano il ragazzo	masculine	plural	feminine	plural	feminine	singular	2104	compassi	incontra	ama	N1	i bambini	inanimate	12	PPS
objrel_nounpp	i compassi che le studentesse dietro all' amica incontrano difendono la contadina	masculine	plural	feminine	plural	feminine	singular	2107	compassi	incontra	difende	N1	i bambini	inanimate	13	PPS
objrel_nounpp	i compassi che le contadine accanto alla sorella conoscono incontrano la bambina	masculine	plural	feminine	plural	feminine	singular	2113	compassi	conosce	incontra	N1	i figli	inanimate	14	PPS
objrel_nounpp	i compassi che le attrici dietro alla studentessa evitano fermano il contadino	masculine	plural	feminine	plural	feminine	singular	2119	compassi	evita	ferma	N1	i fratelli	inanimate	15	PPS
