a_Sentence_Type	b_Sentence	c_GenderN1	d_NumN1	e_GenderN2	f_NumN2	g_GenderN3	h_NumN3	i_NumFraseOrigine	j_New_word	k_Verb1	l_Verb2	m_Element_changed	n_Old_word	o_Violation_Type	p_number	q_condition
objrel_nounpp	il bambino che il contadino accanto ai padri guarda conosce le figlie	masculine	singular	masculine	singular	masculine	plural	1		guardano	conoscono			acceptable	1	SSP
objrel_nounpp	il bambino che il contadino davanti agli uomini conosce evita le donne	masculine	singular	masculine	singular	masculine	plural	2		conoscono	evitano			acceptable	2	SSP
objrel_nounpp	il bambino che il contadino dietro alle donne incontra conosce il ragazzo	masculine	singular	masculine	singular	feminine	plural	3		incontrano	conoscono			acceptable	3	SSP
objrel_nounpp	il bambino che il figlio accanto agli amici ricorda blocca i padri	masculine	singular	masculine	singular	masculine	plural	4		ricordano	bloccano			acceptable	4	SSP
objrel_nounpp	il bambino che il figlio davanti alle studentesse interrompe saluta l' attore	masculine	singular	masculine	singular	feminine	plural	5		interrompono	salutano			acceptable	5	SSP
objrel_nounpp	il bambino che il fratello davanti all' uomo conosce osserva le donne	masculine	singular	masculine	singular	masculine	singular	6		conoscono	osservano			acceptable	6	SSS
objrel_nounpp	il bambino che il fratello davanti alle amiche accoglie ignora la contadina	masculine	singular	masculine	singular	feminine	plural	7		accolgono	ignorano			acceptable	7	SSP
objrel_nounpp	il bambino che il fratello davanti alle madri difende critica le contadine	masculine	singular	masculine	singular	feminine	plural	8		difendono	criticano			acceptable	8	SSP
objrel_nounpp	il bambino che il fratello dietro alla figlia blocca interrompe le amiche	masculine	singular	masculine	singular	feminine	singular	9		bloccano	interrompono			acceptable	9	SSS
objrel_nounpp	il bambino che il padre accanto ai fratelli incontra ignora le contadine	masculine	singular	masculine	singular	masculine	plural	10		incontrano	ignorano			acceptable	10	SSP
objrel_nounpp	il bambino che il padre accanto alle attrici incontra osserva la studentessa	masculine	singular	masculine	singular	feminine	plural	11		incontrano	osservano			acceptable	11	SSP
objrel_nounpp	il bambino che il padre davanti alla ragazza attrae osserva la sorella	masculine	singular	masculine	singular	feminine	singular	12		attraggono	osservano			acceptable	12	SSS
objrel_nounpp	il bambino che il padre dietro all' attrice difende saluta la sorella	masculine	singular	masculine	singular	feminine	singular	13		difendono	salutano			acceptable	13	SSS
objrel_nounpp	il bambino che il padre dietro alla studentessa incontra ferma l' uomo	masculine	singular	masculine	singular	feminine	singular	14		incontrano	fermano			acceptable	14	SSS
objrel_nounpp	il bambino che il padre vicino al figlio interrompe guarda l' attrice	masculine	singular	masculine	singular	masculine	singular	15		interrompono	guardano			acceptable	15	SSS
objrel_nounpp	il bambino che il padre vicino all' amica difende osserva i figli	masculine	singular	masculine	singular	feminine	singular	16		difendono	osservano			acceptable	16	SSS
