a_Sentence_Type	b_Sentence	c_GenderN1	d_NumN1	e_GenderN2	f_NumN2	g_GenderN3	h_NumN3	i_NumFraseOrigine	j_New_word	k_Verb1	l_Verb2	m_Element_changed	n_Old_word	o_Violation_Type		p_number	q_condition
objrel_that	l' amica che la sorella accogli attrae le madri	feminine	singular	feminine	singular			1263	accogli	accolgono	attraggono	V1	accoglie	wrong_person		1	SS
objrel_that	la figlia che l' uomo accogli blocca la bambina	feminine	singular	masculine	singular			1880	accogli	accolgono	bloccano	V1	accoglie	wrong_person		2	SS
objrel_that	il fratello che lo studente accogli blocca la sorella	masculine	singular	masculine	singular			3833	accogli	accolgono	bloccano	V1	accoglie	wrong_person		3	SS
objrel_that	l' attrice che l' uomo accogli conosce i bambini	feminine	singular	masculine	singular			1792	accogli	accolgono	conoscono	V1	accoglie	wrong_person		4	SS
objrel_that	il fratello che il padre accogli critica le ragazze	masculine	singular	masculine	singular			3818	accogli	accolgono	criticano	V1	accoglie	wrong_person		5	SS
objrel_that	la contadina che la bambina accogli difende l' amico	feminine	singular	feminine	singular			1328	accogli	accolgono	difendono	V1	accoglie	wrong_person		6	SS
objrel_that	il ragazzo che la donna accogli difende la bambina	masculine	singular	feminine	singular			3377	accogli	accolgono	difendono	V1	accoglie	wrong_person		7	SS
objrel_that	lo studente che la sorella accogli difende gli uomini	masculine	singular	feminine	singular			3498	accogli	accolgono	difendono	V1	accoglie	wrong_person		8	SS
objrel_that	il ragazzo che l' uomo accogli difende le studentesse	masculine	singular	masculine	singular			3881	accogli	accolgono	difendono	V1	accoglie	wrong_person		9	SS
objrel_that	l' attrice che il padre accogli evita i figli	feminine	singular	masculine	singular			1780	accogli	accolgono	evitano	V1	accoglie	wrong_person		10	SS
objrel_that	l' amica che il padre accogli ferma le ragazze	feminine	singular	masculine	singular			1756	accogli	accolgono	fermano	V1	accoglie	wrong_person		11	SS
objrel_that	il bambino che la studentessa accogli ferma il padre	masculine	singular	feminine	singular			3274	accogli	accolgono	fermano	V1	accoglie	wrong_person		12	SS
objrel_that	il fratello che il padre accogli guarda l' amica	masculine	singular	masculine	singular			3819	accogli	accolgono	guardano	V1	accoglie	wrong_person		13	SS
objrel_that	la contadina che la madre accogli incontra i figli	feminine	singular	feminine	singular			1340	accogli	accolgono	incontrano	V1	accoglie	wrong_person		14	SS
objrel_that	lo studente che l' amica accogli incontra il ragazzo	masculine	singular	feminine	singular			3475	accogli	accolgono	incontrano	V1	accoglie	wrong_person		15	SS
objrel_that	l' attore che l' amica accogli indica lo studente	masculine	singular	feminine	singular			3422	accogli	accolgono	indicano	V1	accoglie	wrong_person		16	SS
objrel_that	la ragazza che l' amico accogli interrompe il figlio	feminine	singular	masculine	singular			1929	accogli	accolgono	interrompono	V1	accoglie	wrong_person		17	SS
objrel_that	il figlio che la studentessa accogli interrompe l' attrice	masculine	singular	feminine	singular			3313	accogli	accolgono	interrompono	V1	accoglie	wrong_person		18	SS
objrel_that	la madre che la donna accogli osserva le amiche	feminine	singular	feminine	singular			1419	accogli	accolgono	osservano	V1	accoglie	wrong_person		19	SS
objrel_that	l' attrice che la madre accogli ricorda la figlia	feminine	singular	feminine	singular			1289	accogli	accolgono	ricordano	V1	accoglie	wrong_person		20	SS
objrel_that	la contadina che il padre accogli ricorda la studentessa	feminine	singular	masculine	singular			1826	accogli	accolgono	ricordano	V1	accoglie	wrong_person		21	SS
objrel_that	il ragazzo che la figlia accogli ricorda l' attrice	masculine	singular	feminine	singular			3379	accogli	accolgono	ricordano	V1	accoglie	wrong_person		22	SS
objrel_that	il bambino che l' uomo accogli ricorda il contadino	masculine	singular	masculine	singular			3772	accogli	accolgono	ricordano	V1	accoglie	wrong_person		23	SS
objrel_that	le ragazze che il contadino accogli amano il figlio	feminine	plural	masculine	singular			922	accogli	accolgono	ama	V1	accoglie	wrong_person		24	PS
objrel_that	i fratelli che l' amica accogli amano i figli	masculine	plural	feminine	singular			2426	accogli	accolgono	ama	V1	accoglie	wrong_person		25	PS
objrel_that	le studentesse che il padre accogli attraggono la contadina	feminine	plural	masculine	singular			993	accogli	accolgono	attrae	V1	accoglie	wrong_person		26	PS
objrel_that	gli attori che la contadina accogli attraggono la bambina	masculine	plural	feminine	singular			2273	accogli	accolgono	attrae	V1	accoglie	wrong_person		27	PS
objrel_that	le attrici che la donna accogli bloccano il fratello	feminine	plural	feminine	singular			279	accogli	accolgono	blocca	V1	accoglie	wrong_person		28	PS
objrel_that	i figli che la sorella accogli conoscono l' uomo	masculine	plural	feminine	singular			2420	accogli	accolgono	conosce	V1	accoglie	wrong_person		29	PS
objrel_that	gli uomini che il contadino accogli conoscono la donna	masculine	plural	masculine	singular			2822	accogli	accolgono	conosce	V1	accoglie	wrong_person		30	PS
objrel_that	i padri che il contadino accogli conoscono la donna	masculine	plural	masculine	singular			2958	accogli	accolgono	conosce	V1	accoglie	wrong_person		31	PS
objrel_that	gli uomini che la studentessa accogli criticano la contadina	masculine	plural	feminine	singular			2348	accogli	accolgono	critica	V1	accoglie	wrong_person		32	PS
objrel_that	i figli che l' uomo accogli criticano il fratello	masculine	plural	masculine	singular			2929	accogli	accolgono	critica	V1	accoglie	wrong_person		33	PS
objrel_that	i padri che l' uomo accogli criticano la madre	masculine	plural	masculine	singular			2974	accogli	accolgono	critica	V1	accoglie	wrong_person		34	PS
objrel_that	le donne che il contadino accogli difendono la ragazza	feminine	plural	masculine	singular			850	accogli	accolgono	difende	V1	accoglie	wrong_person		35	PS
objrel_that	le madri che il ragazzo accogli difendono la studentessa	feminine	plural	masculine	singular			907	accogli	accolgono	difende	V1	accoglie	wrong_person		36	PS
objrel_that	i padri che la bambina accogli difendono gli amici	masculine	plural	feminine	singular			2461	accogli	accolgono	difende	V1	accoglie	wrong_person		37	PS
objrel_that	le contadine che il bambino accogli evitano l' attore	feminine	plural	masculine	singular			828	accogli	accolgono	evita	V1	accoglie	wrong_person		38	PS
objrel_that	i bambini che la madre accogli evitano le sorelle	masculine	plural	feminine	singular			2360	accogli	accolgono	evita	V1	accoglie	wrong_person		39	PS
objrel_that	i fratelli che la contadina accogli evitano i figli	masculine	plural	feminine	singular			2441	accogli	accolgono	evita	V1	accoglie	wrong_person		40	PS
objrel_that	i padri che la bambina accogli evitano le ragazze	masculine	plural	feminine	singular			2462	accogli	accolgono	evita	V1	accoglie	wrong_person		41	PS
objrel_that	i contadini che il ragazzo accogli evitano l' attore	masculine	plural	masculine	singular			2889	accogli	accolgono	evita	V1	accoglie	wrong_person		42	PS
objrel_that	gli uomini che la sorella accogli fermano il bambino	masculine	plural	feminine	singular			2343	accogli	accolgono	ferma	V1	accoglie	wrong_person		43	PS
objrel_that	gli amici che il ragazzo accogli fermano le donne	masculine	plural	masculine	singular			2764	accogli	accolgono	ferma	V1	accoglie	wrong_person		44	PS
objrel_that	i ragazzi che il figlio accogli fermano le madri	masculine	plural	masculine	singular			2982	accogli	accolgono	ferma	V1	accoglie	wrong_person		45	PS
objrel_that	gli attori che la madre accogli guardano le ragazze	masculine	plural	feminine	singular			2281	accogli	accolgono	guarda	V1	accoglie	wrong_person		46	PS
objrel_that	i ragazzi che il fratello accogli guardano la studentessa	masculine	plural	masculine	singular			2986	accogli	accolgono	guarda	V1	accoglie	wrong_person		47	PS
objrel_that	le madri che l' amica accogli ignorano gli studenti	feminine	plural	feminine	singular			396	accogli	accolgono	ignora	V1	accoglie	wrong_person		48	PS
objrel_that	le bambine che il padre accogli ignorano la ragazza	feminine	plural	masculine	singular			809	accogli	accolgono	ignora	V1	accoglie	wrong_person		49	PS
objrel_that	i padri che la figlia accogli ignorano il fratello	masculine	plural	feminine	singular			2472	accogli	accolgono	ignora	V1	accoglie	wrong_person		50	PS
objrel_that	i bambini che l' attore accogli ignorano le figlie	masculine	plural	masculine	singular			2871	accogli	accolgono	ignora	V1	accoglie	wrong_person		51	PS
objrel_that	le madri che l' attrice accogli incontrano l' amico	feminine	plural	feminine	singular			397	accogli	accolgono	incontra	V1	accoglie	wrong_person		52	PS
objrel_that	le studentesse che l' amica accogli incontrano il padre	feminine	plural	feminine	singular			467	accogli	accolgono	incontra	V1	accoglie	wrong_person		53	PS
objrel_that	i ragazzi che la sorella accogli incontrano il figlio	masculine	plural	feminine	singular			2494	accogli	accolgono	incontra	V1	accoglie	wrong_person		54	PS
objrel_that	le madri che il bambino accogli indicano il fratello	feminine	plural	masculine	singular			895	accogli	accolgono	indica	V1	accoglie	wrong_person		55	PS
objrel_that	i bambini che l' amica accogli indicano l' uomo	masculine	plural	feminine	singular			2352	accogli	accolgono	indica	V1	accoglie	wrong_person		56	PS
objrel_that	le madri che la figlia accogli interrompono i contadini	feminine	plural	feminine	singular			406	accogli	accolgono	interrompe	V1	accoglie	wrong_person		57	PS
objrel_that	le bambine che l' attore accogli interrompono la contadina	feminine	plural	masculine	singular			817	accogli	accolgono	interrompe	V1	accoglie	wrong_person		58	PS
objrel_that	i ragazzi che la madre accogli interrompono i padri	masculine	plural	feminine	singular			2492	accogli	accolgono	interrompe	V1	accoglie	wrong_person		59	PS
objrel_that	le sorelle che l' uomo accogli osservano l' attore	feminine	plural	masculine	singular			971	accogli	accolgono	osserva	V1	accoglie	wrong_person		60	PS
objrel_that	i fratelli che la studentessa accogli osservano le figlie	masculine	plural	feminine	singular			2452	accogli	accolgono	osserva	V1	accoglie	wrong_person		61	PS
objrel_that	gli amici che il ragazzo accogli osservano gli attori	masculine	plural	masculine	singular			2765	accogli	accolgono	osserva	V1	accoglie	wrong_person		62	PS
objrel_that	gli studenti che l' uomo accogli osservano il contadino	masculine	plural	masculine	singular			2815	accogli	accolgono	osserva	V1	accoglie	wrong_person		63	PS
objrel_that	le madri che lo studente accogli ricordano i fratelli	feminine	plural	masculine	singular			919	accogli	accolgono	ricorda	V1	accoglie	wrong_person		64	PS
objrel_that	gli amici che l' attrice accogli ricordano i bambini	masculine	plural	feminine	singular			2251	accogli	accolgono	ricorda	V1	accoglie	wrong_person		65	PS
objrel_that	i bambini che il padre accogli ricordano la madre	masculine	plural	masculine	singular			2865	accogli	accolgono	ricorda	V1	accoglie	wrong_person		66	PS
objrel_that	le donne che la contadina accogli salutano i ragazzi	feminine	plural	feminine	singular			352	accogli	accolgono	saluta	V1	accoglie	wrong_person		67	PS
objrel_that	la studentessa che il bambino ama accogli il padre	feminine	singular	masculine	singular			1970	accogli	amano	accolgono	V2	accoglie	wrong_person		68	SS
objrel_that	la studentessa che la bambina attrae accogli le ragazze	feminine	singular	feminine	singular			1481	accogli	attraggono	accolgono	V2	accoglie	wrong_person		69	SS
objrel_that	la madre che l' amico blocca accogli la donna	feminine	singular	masculine	singular			1902	accogli	bloccano	accolgono	V2	accoglie	wrong_person		70	SS
objrel_that	il contadino che l' attore blocca accogli la donna	masculine	singular	masculine	singular			3786	accogli	bloccano	accolgono	V2	accoglie	wrong_person		71	SS
objrel_that	il figlio che il fratello blocca accogli la ragazza	masculine	singular	masculine	singular			3795	accogli	bloccano	accolgono	V2	accoglie	wrong_person		72	SS
objrel_that	la sorella che il contadino conosce accogli gli amici	feminine	singular	masculine	singular			1944	accogli	conoscono	accolgono	V2	accoglie	wrong_person		73	SS
objrel_that	l' amico che il ragazzo conosce accogli i bambini	masculine	singular	masculine	singular			3901	accogli	conoscono	accolgono	V2	accoglie	wrong_person		74	SS
objrel_that	la ragazza che la madre critica accogli i figli	feminine	singular	feminine	singular			1447	accogli	criticano	accolgono	V2	accoglie	wrong_person		75	SS
objrel_that	la donna che il padre critica accogli i fratelli	feminine	singular	masculine	singular			1857	accogli	criticano	accolgono	V2	accoglie	wrong_person		76	SS
objrel_that	l' amico che la contadina critica accogli gli studenti	masculine	singular	feminine	singular			3396	accogli	criticano	accolgono	V2	accoglie	wrong_person		77	SS
objrel_that	il figlio che l' amico critica accogli gli attori	masculine	singular	masculine	singular			3802	accogli	criticano	accolgono	V2	accoglie	wrong_person		78	SS
objrel_that	il figlio che l' uomo critica accogli le bambine	masculine	singular	masculine	singular			3806	accogli	criticano	accolgono	V2	accoglie	wrong_person		79	SS
objrel_that	il padre che la bambina difende accogli i ragazzi	masculine	singular	feminine	singular			3339	accogli	difendono	accolgono	V2	accoglie	wrong_person		80	SS
objrel_that	il ragazzo che la studentessa difende accogli le madri	masculine	singular	feminine	singular			3391	accogli	difendono	accolgono	V2	accoglie	wrong_person		81	SS
objrel_that	l' attore che l' uomo difende accogli i contadini	masculine	singular	masculine	singular			3935	accogli	difendono	accolgono	V2	accoglie	wrong_person		82	SS
objrel_that	l' amico che l' attore ferma accogli le sorelle	masculine	singular	masculine	singular			3903	accogli	fermano	accolgono	V2	accoglie	wrong_person		83	SS
objrel_that	la sorella che la bambina guarda accogli il contadino	feminine	singular	feminine	singular			1458	accogli	guardano	accolgono	V2	accoglie	wrong_person		84	SS
objrel_that	il bambino che la donna guarda accogli i ragazzi	masculine	singular	feminine	singular			3261	accogli	guardano	accolgono	V2	accoglie	wrong_person		85	SS
objrel_that	la madre che la studentessa ignora accogli l' uomo	feminine	singular	feminine	singular			1432	accogli	ignorano	accolgono	V2	accoglie	wrong_person		86	SS
objrel_that	il bambino che l' amica ignora accogli i figli	masculine	singular	feminine	singular			3252	accogli	ignorano	accolgono	V2	accoglie	wrong_person		87	SS
objrel_that	la donna che la studentessa incontra accogli i figli	feminine	singular	feminine	singular			1375	accogli	incontrano	accolgono	V2	accoglie	wrong_person		88	SS
objrel_that	il padre che l' attrice indica accogli la contadina	masculine	singular	feminine	singular			3337	accogli	indicano	accolgono	V2	accoglie	wrong_person		89	SS
objrel_that	lo studente che l' attrice interrompe accogli la bambina	masculine	singular	feminine	singular			3478	accogli	interrompono	accolgono	V2	accoglie	wrong_person		90	SS
objrel_that	la sorella che la figlia osserva accogli la madre	feminine	singular	feminine	singular			1465	accogli	osservano	accolgono	V2	accoglie	wrong_person		91	SS
objrel_that	il fratello che l' amico ricorda accogli la figlia	masculine	singular	masculine	singular			3827	accogli	ricordano	accolgono	V2	accoglie	wrong_person		92	SS
objrel_that	il ragazzo che l' amica saluta accogli i padri	masculine	singular	feminine	singular			3367	accogli	salutano	accolgono	V2	accoglie	wrong_person		93	SS
objrel_that	lo studente che il fratello saluta accogli gli amici	masculine	singular	masculine	singular			3985	accogli	salutano	accolgono	V2	accoglie	wrong_person		94	SS
objrel_that	la madre che le sorelle amano accogli il fratello	feminine	singular	feminine	plural			1174	accogli	ama	accolgono	V2	accoglie	wrong_person		95	SP
objrel_that	la sorella che gli studenti amano accogli gli amici	feminine	singular	masculine	plural			1705	accogli	ama	accolgono	V2	accoglie	wrong_person		96	SP
objrel_that	il figlio che le sorelle amano accogli lo studente	masculine	singular	feminine	plural			3062	accogli	ama	accolgono	V2	accoglie	wrong_person		97	SP
objrel_that	il fratello che le contadine amano accogli la studentessa	masculine	singular	feminine	plural			3077	accogli	ama	accolgono	V2	accoglie	wrong_person		98	SP
