ces cousines devant la porte les portèrent totalement
des tantes près du bureau le jetèrent parfaitement
des voisines près du fauteuil les jetèrent rapidement
les soeurs devant la fenêtre les boivent rapidement
les voisines près du bureau les boivent parfaitement
les voisines devant la fenêtre le jetèrent totalement
les cousines devant la table les dévorent délicatement
ces soeurs devant le portail les cherchèrent parfaitement
ces voisines devant la table le refusèrent rapidement
les voisines près du bureau la consultent parfaitement
ces voisines devant la table la refusèrent totalement
des cousines devant le portail la boivent rapidement
les tantes devant le bureau le boivent délicatement
des voisines devant le bureau la préparèrent rapidement
des soeurs devant le portail la réparent parfaitement
les voisines près du portail le boivent souvent
des soeurs devant le portail les jetèrent parfaitement
des soeurs devant le fauteuil la dévorent correctement
des tantes devant la table les lisent correctement
ces amies près du fauteuil la refusèrent totalement
ces soeurs devant la table la boivent souvent
les soeurs près du fauteuil les réparent parfaitement
ces cousines devant la table le boivent souvent
