a_Sentence_Type	b_Sentence	c_GenderN1	d_NumN1	e_GenderN2	f_NumN2	g_GenderN3	h_NumN3	i_NumFraseOrigine	j_New_word	k_Verb1	l_Verb2	m_Element_changed	n_Old_word	o_Violation_Type	p_number	q_condition
embedding_mental_SR	l' amica dice che la ragazza accogli i bambini	feminine	singular	feminine	singular			1257	accogli	V2	dicono	accolgono	accoglie	wrong_person	1	SS
embedding_mental_SR	la madre dice che la studentessa accogli le ragazze	feminine	singular	feminine	singular			1407	accogli	V2	dicono	accolgono	accoglie	wrong_person	2	SS
embedding_mental_SR	la sorella dice che l' amica accogli il figlio	feminine	singular	feminine	singular			1451	accogli	V2	dicono	accolgono	accoglie	wrong_person	3	SS
embedding_mental_SR	la donna dice che lo studente accogli gli amici	feminine	singular	masculine	singular			1858	accogli	V2	dicono	accolgono	accoglie	wrong_person	4	SS
embedding_mental_SR	la figlia dice che il contadino accogli l' attore	feminine	singular	masculine	singular			1875	accogli	V2	dicono	accolgono	accoglie	wrong_person	5	SS
embedding_mental_SR	la madre dice che il figlio accogli i bambini	feminine	singular	masculine	singular			1905	accogli	V2	dicono	accolgono	accoglie	wrong_person	6	SS
embedding_mental_SR	la ragazza dice che l' attore accogli la madre	feminine	singular	masculine	singular			1933	accogli	V2	dicono	accolgono	accoglie	wrong_person	7	SS
embedding_mental_SR	il bambino dice che la madre accogli gli uomini	masculine	singular	feminine	singular			3254	accogli	V2	dicono	accolgono	accoglie	wrong_person	8	SS
embedding_mental_SR	il bambino dice che il fratello accogli i figli	masculine	singular	masculine	singular			3757	accogli	V2	dicono	accolgono	accoglie	wrong_person	9	SS
embedding_mental_SR	il bambino dice che il fratello accogli le ragazze	masculine	singular	masculine	singular			3758	accogli	V2	dicono	accolgono	accoglie	wrong_person	10	SS
embedding_mental_SR	il bambino dice che l' amico accogli gli attori	masculine	singular	masculine	singular			3762	accogli	V2	dicono	accolgono	accoglie	wrong_person	11	SS
embedding_mental_SR	il figlio dice che il contadino accogli la madre	masculine	singular	masculine	singular			3814	accogli	V2	dicono	accolgono	accoglie	wrong_person	12	SS
embedding_mental_SR	il figlio dice che l' amico accogli le studentesse	masculine	singular	masculine	singular			3820	accogli	V2	dicono	accolgono	accoglie	wrong_person	13	SS
embedding_mental_SR	l' amico dice che l' uomo accogli la studentessa	masculine	singular	masculine	singular			3916	accogli	V2	dicono	accolgono	accoglie	wrong_person	14	SS
embedding_mental_SR	l' attore dice che il bambino accogli gli studenti	masculine	singular	masculine	singular			3930	accogli	V2	dicono	accolgono	accoglie	wrong_person	15	SS
embedding_mental_SR	la contadina dichiara che l' attrice accogli le madri	feminine	singular	feminine	singular			1344	accogli	V2	dichiarano	accolgono	accoglie	wrong_person	16	SS
