a_Sentence_Type	b_Sentence	c_GenderN1	d_NumN1	e_GenderN2	f_NumN2	g_GenderN3	h_NumN3	i_NumFraseOrigine	j_New_word	k_Verb1	l_Verb2	m_Element_changed	n_Old_word	o_Violation_Type	p_number	q_condition
embedding_mental_SR	l' antipatia dice che le attrici evitano la figlia	feminine	singular	feminine	plural			1002	antipatia	dicono	evita	1	l' amica	abstract	1	SP
embedding_mental_SR	l' antipatia dice che le madri evitano i contadini	feminine	singular	feminine	plural			1007	antipatia	dicono	evita	1	l' amica	abstract	2	SP
embedding_mental_SR	l' antipatia dichiara che le attrici osservano il ragazzo	feminine	singular	feminine	plural			1012	antipatia	dichiarano	osserva	1	l' amica	abstract	3	SP
embedding_mental_SR	l' antipatia dichiara che le madri attraggono la contadina	feminine	singular	feminine	plural			1017	antipatia	dichiarano	attrae	1	l' amica	abstract	4	SP
embedding_mental_SR	l' antipatia ricorda che le bambine criticano le studentesse	feminine	singular	feminine	plural			1022	antipatia	ricordano	critica	1	l' amica	abstract	5	SP
embedding_mental_SR	l' antipatia ricorda che le madri bloccano le sorelle	feminine	singular	feminine	plural			1027	antipatia	ricordano	blocca	1	l' amica	abstract	6	SP
embedding_mental_SR	l' antipatia dice che le bambine salutano l' amica	feminine	singular	feminine	plural			1032	antipatia	dicono	saluta	1	l' attrice	abstract	7	SP
embedding_mental_SR	l' antipatia dice che le madri bloccano la studentessa	feminine	singular	feminine	plural			1037	antipatia	dicono	blocca	1	l' attrice	abstract	8	SP
embedding_mental_SR	l' antipatia dichiara che le contadine osservano gli studenti	feminine	singular	feminine	plural			1042	antipatia	dichiarano	osserva	1	l' attrice	abstract	9	SP
embedding_mental_SR	l' antipatia dichiara che le studentesse difendono i ragazzi	feminine	singular	feminine	plural			1047	antipatia	dichiarano	difende	1	l' attrice	abstract	10	SP
embedding_mental_SR	l' antipatia ricorda che le studentesse attraggono il fratello	feminine	singular	feminine	plural			1052	antipatia	ricordano	attrae	1	l' attrice	abstract	11	SP
embedding_mental_SR	l' antipatia dice che le madri attraggono i fratelli	feminine	singular	feminine	plural			1057	antipatia	dicono	attrae	1	la bambina	abstract	12	SP
embedding_mental_SR	l' antipatia dichiara che le contadine conoscono le amiche	feminine	singular	feminine	plural			1062	antipatia	dichiarano	conosce	1	la bambina	abstract	13	SP
embedding_mental_SR	l' antipatia dichiara che le ragazze fermano le contadine	feminine	singular	feminine	plural			1067	antipatia	dichiarano	ferma	1	la bambina	abstract	14	SP
embedding_mental_SR	l' antipatia ricorda che le sorelle salutano i figli	feminine	singular	feminine	plural			1072	antipatia	ricordano	saluta	1	la bambina	abstract	15	SP
embedding_mental_SR	l' antipatia dice che le donne difendono l' attore	feminine	singular	feminine	plural			1077	antipatia	dicono	difende	1	la contadina	abstract	16	SP
embedding_mental_SR	l' antipatia dice che le sorelle conoscono il fratello	feminine	singular	feminine	plural			1082	antipatia	dicono	conosce	1	la contadina	abstract	17	SP
embedding_mental_SR	l' antipatia dichiara che le bambine criticano le sorelle	feminine	singular	feminine	plural			1087	antipatia	dichiarano	critica	1	la contadina	abstract	18	SP
embedding_mental_SR	l' antipatia dichiara che le sorelle attraggono le ragazze	feminine	singular	feminine	plural			1092	antipatia	dichiarano	attrae	1	la contadina	abstract	19	SP
embedding_mental_SR	l' antipatia ricorda che le attrici difendono lo studente	feminine	singular	feminine	plural			1097	antipatia	ricordano	difende	1	la contadina	abstract	20	SP
embedding_mental_SR	l' antipatia dice che le amiche evitano la figlia	feminine	singular	feminine	plural			1102	antipatia	dicono	evita	1	la donna	abstract	21	SP
embedding_mental_SR	l' antipatia dice che le ragazze accolgono le studentesse	feminine	singular	feminine	plural			1107	antipatia	dicono	accoglie	1	la donna	abstract	22	SP
embedding_mental_SR	l' antipatia ricorda che le amiche osservano le studentesse	feminine	singular	feminine	plural			1112	antipatia	ricordano	osserva	1	la donna	abstract	23	SP
embedding_mental_SR	l' antipatia dice che le amiche bloccano il padre	feminine	singular	feminine	plural			1117	antipatia	dicono	blocca	1	la figlia	abstract	24	SP
embedding_mental_SR	l' antipatia dice che le sorelle fermano i fratelli	feminine	singular	feminine	plural			1122	antipatia	dicono	ferma	1	la figlia	abstract	25	SP
embedding_mental_SR	l' antipatia dichiara che le contadine indicano il padre	feminine	singular	feminine	plural			1127	antipatia	dichiarano	indica	1	la figlia	abstract	26	SP
embedding_mental_SR	l' antipatia ricorda che le attrici bloccano le donne	feminine	singular	feminine	plural			1132	antipatia	ricordano	blocca	1	la figlia	abstract	27	SP
embedding_mental_SR	l' antipatia ricorda che le contadine conoscono gli uomini	feminine	singular	feminine	plural			1137	antipatia	ricordano	conosce	1	la figlia	abstract	28	SP
embedding_mental_SR	l' antipatia ricorda che le ragazze osservano le studentesse	feminine	singular	feminine	plural			1142	antipatia	ricordano	osserva	1	la figlia	abstract	29	SP
