a_Sentence_Type	b_Sentence	c_GenderN1	d_NumN1	e_GenderN2	f_NumN2	g_GenderN3	h_NumN3	i_NumFraseOrigine	j_New_word	k_Verb1	l_Verb2	m_Element_changed	n_Old_word	o_Violation_Type	p_number	q_condition
embedding_mental	la contadina dice che la sorella vicino alle figlie accogliere gli studenti	feminine	singular	feminine	singular	feminine	plural	1283	accogliere	dicono	accolgono	2	accoglie	infinitive	1	SSP
embedding_mental	la figlia dice che la bambina dietro alle contadine accogliere la ragazza	feminine	singular	feminine	singular	feminine	plural	1292	accogliere	dicono	accolgono	2	accoglie	infinitive	2	SSP
embedding_mental	la madre dice che la figlia accanto alle amiche accogliere il fratello	feminine	singular	feminine	singular	feminine	plural	1302	accogliere	dicono	accolgono	2	accoglie	infinitive	3	SSP
embedding_mental	l' amica dice che la figlia davanti alla madre accogliere le attrici	feminine	singular	feminine	singular	feminine	singular	1324	accogliere	dicono	accolgono	2	accoglie	infinitive	4	SSS
embedding_mental	la studentessa dice che la figlia accanto alla bambina accogliere gli amici	feminine	singular	feminine	singular	feminine	singular	1379	accogliere	dicono	accolgono	2	accoglie	infinitive	5	SSS
embedding_mental	l' amica dice che la figlia accanto agli studenti accogliere le sorelle	feminine	singular	feminine	singular	masculine	plural	1389	accogliere	dicono	accolgono	2	accoglie	infinitive	6	SSP
embedding_mental	la bambina dice che l' amica accanto al ragazzo accogliere la figlia	feminine	singular	feminine	singular	masculine	singular	1461	accogliere	dicono	accolgono	2	accoglie	infinitive	7	SSS
embedding_mental	la ragazza dice che la figlia dietro al fratello accogliere l' uomo	feminine	singular	feminine	singular	masculine	singular	1491	accogliere	dicono	accolgono	2	accoglie	infinitive	8	SSS
embedding_mental	la ragazza dice che la studentessa dietro al contadino accogliere l' uomo	feminine	singular	feminine	singular	masculine	singular	1493	accogliere	dicono	accolgono	2	accoglie	infinitive	9	SSS
embedding_mental	la donna dice che il ragazzo dietro alle studentesse accogliere i bambini	feminine	singular	masculine	singular	feminine	plural	1793	accogliere	dicono	accolgono	2	accoglie	infinitive	10	SSP
embedding_mental	la donna dice che lo studente dietro alle madri accogliere le ragazze	feminine	singular	masculine	singular	feminine	plural	1795	accogliere	dicono	accolgono	2	accoglie	infinitive	11	SSP
embedding_mental	la bambina dice che il figlio vicino alla donna accogliere l' uomo	feminine	singular	masculine	singular	feminine	singular	1836	accogliere	dicono	accolgono	2	accoglie	infinitive	12	SSS
embedding_mental	la donna dice che lo studente accanto all' attrice accogliere i contadini	feminine	singular	masculine	singular	feminine	singular	1852	accogliere	dicono	accolgono	2	accoglie	infinitive	13	SSS
embedding_mental	la donna dice che il bambino vicino agli studenti accogliere le figlie	feminine	singular	masculine	singular	masculine	plural	1918	accogliere	dicono	accolgono	2	accoglie	infinitive	14	SSP
embedding_mental	l' attrice dice che il figlio accanto al contadino accogliere le ragazze	feminine	singular	masculine	singular	masculine	singular	1961	accogliere	dicono	accolgono	2	accoglie	infinitive	15	SSS
embedding_mental	l' attrice dice che il fratello dietro al contadino accogliere la donna	feminine	singular	masculine	singular	masculine	singular	1964	accogliere	dicono	accolgono	2	accoglie	infinitive	16	SSS
embedding_mental	la contadina dice che il padre vicino all' uomo accogliere la studentessa	feminine	singular	masculine	singular	masculine	singular	1972	accogliere	dicono	accolgono	2	accoglie	infinitive	17	SSS
embedding_mental	l' uomo dice che la studentessa davanti all' attore accogliere la donna	masculine	singular	feminine	singular	masculine	singular	3519	accogliere	dicono	accolgono	2	accoglie	infinitive	18	SSS
embedding_mental	il figlio dice che il ragazzo vicino alle sorelle accogliere le studentesse	masculine	singular	masculine	singular	feminine	plural	3793	accogliere	dicono	accolgono	2	accoglie	infinitive	19	SSP
embedding_mental	il padre dice che il fratello davanti alle amiche accogliere le bambine	masculine	singular	masculine	singular	feminine	plural	3802	accogliere	dicono	accolgono	2	accoglie	infinitive	20	SSP
embedding_mental	l' amico dice che il fratello dietro alla studentessa accogliere le ragazze	masculine	singular	masculine	singular	feminine	singular	3878	accogliere	dicono	accolgono	2	accoglie	infinitive	21	SSS
embedding_mental	l' attore dice che l' uomo accanto alla contadina accogliere i figli	masculine	singular	masculine	singular	feminine	singular	3887	accogliere	dicono	accolgono	2	accoglie	infinitive	22	SSS
embedding_mental	lo studente dice che il figlio vicino ai fratelli accogliere l' attrice	masculine	singular	masculine	singular	masculine	plural	3962	accogliere	dicono	accolgono	2	accoglie	infinitive	23	SSP
embedding_mental	la bambina dice che le madri davanti alle sorelle accogliere i padri	feminine	singular	feminine	plural	feminine	plural	1021	accogliere	dicono	accoglie	2	accolgono	infinitive	24	SPP
embedding_mental	la madre dice che le figlie davanti alle amiche accogliere la donna	feminine	singular	feminine	plural	feminine	plural	1044	accogliere	dicono	accoglie	2	accolgono	infinitive	25	SPP
embedding_mental	la donna dice che le ragazze davanti alla studentessa accogliere i fratelli	feminine	singular	feminine	plural	feminine	singular	1105	accogliere	dicono	accoglie	2	accolgono	infinitive	26	SPS
