Sentence_Type,Sentence,GenderN1,NumN1,GenderN2,NumN2,GenderN3,NumN3,NumFraseOrigine,New_word,Verb1,Verb2,Element_changed,Old_word,Violation_Type,number,condition,slide,frequency,length,block,IncludedWords1,IncludedWords2,IncludedWords3,IncludedWords4,IncludedWords5,IncludedWords6,MeanLogFreq_W,MeanLength_W,ConditionAggragated
objrel_that,la contadina che la madre bloccano ferma le sorelle,feminine,singular,feminine,singular,NaN,NaN,1341,bloccano,bloccano,fermano,V1,blocca,num_violation,1632,SS,4,NaN,NaN,1,contadina,madre,bloccano,ferma,sorelle,,7.5047272907301,6.8,objrel_that_________SS
objrel_that,l' amica che le contadine incontra ignora lo studente,feminine,singular,feminine,plural,NaN,NaN,1008,incontra,incontra,ignorano,V1,incontrano,num_violation,5354,SP,4,NaN,NaN,1,amica,contadine,incontra,ignora,studente,,6.63762463531944,7.2,objrel_that_________SP
objrel_that,i contadini che le donne ignora indicano i figli,masculine,plural,feminine,plural,NaN,NaN,2128,ignora,ignora,indica,V1,ignorano,num_violation,4946,PP,4,NaN,NaN,1,contadini,donne,ignora,indicano,figli,,7.85342101258698,6.6,objrel_that_________PP
objrel_that,le bambine che lo studente incontrano indicano le attrici,feminine,plural,masculine,singular,NaN,NaN,825,incontrano,incontrano,indica,V1,incontra,num_violation,5592,PS,4,NaN,NaN,1,bambine,studente,incontrano,indicano,attrici,,6.74729651113511,8,objrel_that_________PS
objrel_that,il fratello che l' attore guarda interrompono le donne,masculine,singular,masculine,singular,NaN,NaN,3830,interrompono,guardano,interrompono,V2,interrompe,num_violation,6397,SS,5,NaN,NaN,1,fratello,attore,guarda,interrompono,donne,,8.57759180837329,7.4,objrel_that_________SS
objrel_that,l' uomo che i ragazzi indicano criticano le amiche,masculine,singular,masculine,plural,NaN,NaN,3721,criticano,indica,criticano,V2,critica,num_violation,2805,SP,5,NaN,NaN,1,uomo,ragazzi,indicano,criticano,amiche,,8.19042229161026,6.8,objrel_that_________SP
objrel_that,le donne che i padri indicano accoglie le bambine,feminine,plural,masculine,plural,NaN,NaN,608,accoglie,indica,accoglie,V2,accolgono,num_violation,212,PP,5,NaN,NaN,1,donne,padri,indicano,accoglie,bambine,,7.2217410301631,6.6,objrel_that_________PP
objrel_that,i bambini che la figlia difende attrae i ragazzi,masculine,plural,feminine,singular,NaN,NaN,2358,attrae,difendono,attrae,V2,attraggono,num_violation,938,PS,5,NaN,NaN,1,bambini,figlia,difende,attrae,ragazzi,,8.41060764311205,6.6,objrel_that_________PS
objrel_nounpp,la madre che il fratello accanto alla ragazza fermano difende le studentesse,feminine,singular,masculine,singular,feminine,singular,1867,fermano,fermano,difendono,V1,ferma,num_violation,4017,SSS,7,NaN,NaN,1,madre,fratello,ragazza,fermano,difende,studentesse,8.18396526033226,7.5,objrel_nounpp_______SSS
objrel_nounpp,il bambino che lo studente davanti agli uomini guardano conosce i ragazzi,masculine,singular,masculine,singular,masculine,plural,3916,guardano,guardano,conoscono,V1,guarda,num_violation,4461,SSP,7,NaN,NaN,1,bambino,studente,uomini,guardano,conosce,ragazzi,9.27736718212334,7.16666666666667,objrel_nounpp_______SSP
objrel_nounpp,il fratello che le attrici accanto alla contadina indica evita le ragazze,masculine,singular,feminine,plural,feminine,singular,3103,indica,indica,evitano,V1,indicano,num_violation,5762,SPS,7,NaN,NaN,1,fratello,attrici,contadina,indica,evita,ragazze,7.3566797209978,7,objrel_nounpp_______SPS
objrel_nounpp,lo studente che gli attori vicino alle donne ama conosce le ragazze,masculine,singular,masculine,plural,feminine,plural,3587,ama,ama,conoscono,V1,amano,num_violation,521,SPP,7,NaN,NaN,1,studente,attori,donne,ama,conosce,ragazze,8.77946683384123,6,objrel_nounpp_______SPP
objrel_nounpp,i figli che le contadine davanti ai bambini sogna difendono la madre,masculine,plural,feminine,plural,masculine,plural,2178,sogna,saluta,difende,V1,salutano,num_violation,8035,PPP,7,NaN,NaN,1,figli,contadine,bambini,sogna,difendono,madre,7.51028341898095,6.66666666666667,objrel_nounpp_______PPP
objrel_nounpp,le madri che gli uomini dietro al bambino attrae criticano le figlie,feminine,plural,masculine,plural,masculine,singular,733,attrae,attrae,critica,V1,attraggono,num_violation,1056,PPS,7,NaN,NaN,1,madri,uomini,bambino,attrae,criticano,figlie,7.36586631563359,6.5,objrel_nounpp_______PPS
objrel_nounpp,i contadini che la ragazza davanti ai fratelli ricordano conoscono l' amico,masculine,plural,feminine,singular,masculine,plural,2432,ricordano,ricordano,conosce,V1,ricorda,num_violation,7480,PSP,7,NaN,NaN,1,contadini,ragazza,fratelli,ricordano,conoscono,amico,8.555745048219,7.83333333333333,objrel_nounpp_______PSP
objrel_nounpp,le contadine che l' attrice accanto alla ragazza accolgono ricordano gli uomini,feminine,plural,feminine,singular,feminine,singular,335,accolgono,accolgono,ricorda,V1,accoglie,num_violation,328,PSS,7,NaN,NaN,1,contadine,attrice,ragazza,accolgono,ricordano,uomini,7.0355410386798,7.83333333333333,objrel_nounpp_______PSS
objrel_nounpp,la madre che il contadino davanti alla figlia incontra fermano le attrici,feminine,singular,masculine,singular,feminine,singular,1866,fermano,incontrano,fermano,V2,ferma,num_violation,4110,SSS,8,NaN,NaN,1,madre,contadino,figlia,incontra,fermano,attrici,7.65213534292459,7,objrel_nounpp_______SSS
objrel_nounpp,l' amica che la donna vicino ai contadini ama fermano i ragazzi,feminine,singular,feminine,singular,masculine,plural,1388,fermano,amano,fermano,V2,ferma,num_violation,3969,SSP,8,NaN,NaN,1,amica,donna,contadini,ama,fermano,ragazzi,8.76064471207958,6,objrel_nounpp_______SSP
