a_Sentence_Type	b_Sentence	c_GenderN1	d_NumN1	e_GenderN2	f_NumN2	g_GenderN3	h_NumN3	i_NumFraseOrigine	j_New_word	k_Verb1	l_Verb2	m_Element_changed	n_Old_word	o_Violation_Type	p_number	q_condition	
embedding_mental_SR	i compassi dichiarano che le bambine incontrano la studentessa	masculine	plural	feminine	plural			2002	compassi	dichiara	incontra	N1	gli amici	inanimate	1	PP	
embedding_mental_SR	i compassi dicono che le contadine salutano le attrici	masculine	plural	feminine	plural			2007	compassi	dice	saluta	N1	gli amici	inanimate	2	PP	
embedding_mental_SR	i compassi dicono che le madri salutano le attrici	masculine	plural	feminine	plural			2012	compassi	dice	saluta	N1	gli amici	inanimate	3	PP	
embedding_mental_SR	i compassi dicono che le studentesse bloccano le sorelle	masculine	plural	feminine	plural			2017	compassi	dice	blocca	N1	gli amici	inanimate	4	PP	
embedding_mental_SR	i compassi ricordano che le ragazze incontrano gli studenti	masculine	plural	feminine	plural			2022	compassi	ricorda	incontra	N1	gli amici	inanimate	5	PP	
embedding_mental_SR	i compassi dichiarano che le madri incontrano i figli	masculine	plural	feminine	plural			2027	compassi	dichiara	incontra	N1	gli attori	inanimate	6	PP	
embedding_mental_SR	i compassi dicono che le contadine bloccano il padre	masculine	plural	feminine	plural			2032	compassi	dice	blocca	N1	gli attori	inanimate	7	PP	
embedding_mental_SR	i compassi dicono che le figlie indicano gli amici	masculine	plural	feminine	plural			2037	compassi	dice	indica	N1	gli attori	inanimate	8	PP	
embedding_mental_SR	i compassi ricordano che le bambine amano gli amici	masculine	plural	feminine	plural			2042	compassi	ricorda	ama	N1	gli attori	inanimate	9	PP	
embedding_mental_SR	i compassi ricordano che le madri ignorano le donne	masculine	plural	feminine	plural			2047	compassi	ricorda	ignora	N1	gli attori	inanimate	10	PP	
embedding_mental_SR	i compassi dichiarano che le madri attraggono il figlio	masculine	plural	feminine	plural			2052	compassi	dichiara	attrae	N1	gli studenti	inanimate	11	PP	
embedding_mental_SR	i compassi dichiarano che le sorelle guardano l' attore	masculine	plural	feminine	plural			2057	compassi	dichiara	guarda	N1	gli studenti	inanimate	12	PP	
embedding_mental_SR	i compassi dicono che le figlie incontrano la madre	masculine	plural	feminine	plural			2062	compassi	dice	incontra	N1	gli studenti	inanimate	13	PP	
embedding_mental_SR	i compassi ricordano che le attrici interrompono i bambini	masculine	plural	feminine	plural			2067	compassi	ricorda	interrompe	N1	gli studenti	inanimate	14	PP	
embedding_mental_SR	i compassi ricordano che le sorelle interrompono la figlia	masculine	plural	feminine	plural			2072	compassi	ricorda	interrompe	N1	gli studenti	inanimate	15	PP	
embedding_mental_SR	i compassi dichiarano che le bambine evitano le attrici	masculine	plural	feminine	plural			2077	compassi	dichiara	evita	N1	gli uomini	inanimate	16	PP	
