a_Sentence_Type	b_Sentence	c_GenderN1	d_NumN1	e_GenderN2	f_NumN2	g_GenderN3	h_NumN3	i_NumFraseOrigine	m_New_word	i_Verb1	j_Verb2	k_Element_changed	l_Old_word	n_Violation_Type	p_number	q_condition
embedding_mental_SR	la contadina dice che le attrici accoglie le figlie	feminine	singular	feminine	plural			1074	accoglie	dicono	accoglie	V2	accolgono	num_violation	1	SP
embedding_mental_SR	la donna dice che le contadine accoglie l' attore	feminine	singular	feminine	plural			1104	accoglie	dicono	accoglie	V2	accolgono	num_violation	2	SP
embedding_mental_SR	la donna dice che le ragazze accoglie le studentesse	feminine	singular	feminine	plural			1107	accoglie	dicono	accoglie	V2	accolgono	num_violation	3	SP
embedding_mental_SR	la sorella dice che le contadine accoglie l' amica	feminine	singular	feminine	plural			1195	accoglie	dicono	accoglie	V2	accolgono	num_violation	4	SP
embedding_mental_SR	l' amica dice che i figli accoglie l' attrice	feminine	singular	masculine	plural			1504	accoglie	dicono	accoglie	V2	accolgono	num_violation	5	SP
embedding_mental_SR	l' attrice dice che i ragazzi accoglie il bambino	feminine	singular	masculine	plural			1535	accoglie	dicono	accoglie	V2	accolgono	num_violation	6	SP
embedding_mental_SR	la ragazza dice che i contadini accoglie i bambini	feminine	singular	masculine	plural			1686	accoglie	dicono	accoglie	V2	accolgono	num_violation	7	SP
embedding_mental_SR	il fratello dice che le attrici accoglie il padre	masculine	singular	feminine	plural			3083	accoglie	dicono	accoglie	V2	accolgono	num_violation	8	SP
embedding_mental_SR	l' uomo dice che le figlie accoglie le donne	masculine	singular	feminine	plural			3204	accoglie	dicono	accoglie	V2	accolgono	num_violation	9	SP
embedding_mental_SR	il fratello dice che gli studenti accoglie il contadino	masculine	singular	masculine	plural			3587	accoglie	dicono	accoglie	V2	accolgono	num_violation	10	SP
embedding_mental_SR	il fratello dice che i bambini accoglie l' uomo	masculine	singular	masculine	plural			3592	accoglie	dicono	accoglie	V2	accolgono	num_violation	11	SP
embedding_mental_SR	il padre dice che gli attori accoglie la contadina	masculine	singular	masculine	plural			3607	accoglie	dicono	accoglie	V2	accolgono	num_violation	12	SP
embedding_mental_SR	il padre dice che gli studenti accoglie i figli	masculine	singular	masculine	plural			3610	accoglie	dicono	accoglie	V2	accolgono	num_violation	13	SP
embedding_mental_SR	il padre dice che gli uomini accoglie la sorella	masculine	singular	masculine	plural			3613	accoglie	dicono	accoglie	V2	accolgono	num_violation	14	SP
embedding_mental_SR	l' attore dice che i figli accoglie le sorelle	masculine	singular	masculine	plural			3687	accoglie	dicono	accoglie	V2	accolgono	num_violation	15	SP
embedding_mental_SR	la contadina dichiara che le madri accoglie i bambini	feminine	singular	feminine	plural			1089	accoglie	dichiarano	accoglie	V2	accolgono	num_violation	16	SP
embedding_mental_SR	la studentessa dichiara che le bambine accoglie le figlie	feminine	singular	feminine	plural			1239	accoglie	dichiarano	accoglie	V2	accolgono	num_violation	17	SP
embedding_mental_SR	la bambina dichiara che gli uomini accoglie i fratelli	feminine	singular	masculine	plural			1566	accoglie	dichiarano	accoglie	V2	accolgono	num_violation	18	SP
embedding_mental_SR	la bambina dichiara che i contadini accoglie il fratello	feminine	singular	masculine	plural			1568	accoglie	dichiarano	accoglie	V2	accolgono	num_violation	19	SP
embedding_mental_SR	la bambina dichiara che i ragazzi accoglie l' attore	feminine	singular	masculine	plural			1573	accoglie	dichiarano	accoglie	V2	accolgono	num_violation	20	SP
embedding_mental_SR	la donna dichiara che i contadini accoglie le attrici	feminine	singular	masculine	plural			1619	accoglie	dichiarano	accoglie	V2	accolgono	num_violation	21	SP
embedding_mental_SR	la figlia dichiara che gli uomini accoglie il fratello	feminine	singular	masculine	plural			1643	accoglie	dichiarano	accoglie	V2	accolgono	num_violation	22	SP
embedding_mental_SR	la madre dichiara che i figli accoglie i fratelli	feminine	singular	masculine	plural			1669	accoglie	dichiarano	accoglie	V2	accolgono	num_violation	23	SP
embedding_mental_SR	la ragazza dichiara che i figli accoglie l' amica	feminine	singular	masculine	plural			1693	accoglie	dichiarano	accoglie	V2	accolgono	num_violation	24	SP
embedding_mental_SR	il ragazzo dichiara che le contadine accoglie i bambini	masculine	singular	feminine	plural			3144	accoglie	dichiarano	accoglie	V2	accolgono	num_violation	25	SP
embedding_mental_SR	il bambino dichiara che gli studenti accoglie il contadino	masculine	singular	masculine	plural			3514	accoglie	dichiarano	accoglie	V2	accolgono	num_violation	26	SP
embedding_mental_SR	il figlio dichiara che gli studenti accoglie l' attore	masculine	singular	masculine	plural			3570	accoglie	dichiarano	accoglie	V2	accolgono	num_violation	27	SP
embedding_mental_SR	il padre dichiara che gli amici accoglie gli studenti	masculine	singular	masculine	plural			3621	accoglie	dichiarano	accoglie	V2	accolgono	num_violation	28	SP
embedding_mental_SR	il padre dichiara che i figli accoglie lo studente	masculine	singular	masculine	plural			3626	accoglie	dichiarano	accoglie	V2	accolgono	num_violation	29	SP
embedding_mental_SR	l' attore dichiara che gli uomini accoglie le bambine	masculine	singular	masculine	plural			3697	accoglie	dichiarano	accoglie	V2	accolgono	num_violation	30	SP
embedding_mental_SR	la bambina ricorda che le contadine accoglie l' attrice	feminine	singular	feminine	plural			1069	accoglie	ricordano	accoglie	V2	accolgono	num_violation	31	SP
embedding_mental_SR	la contadina ricorda che le amiche accoglie gli attori	feminine	singular	feminine	plural			1095	accoglie	ricordano	accoglie	V2	accolgono	num_violation	32	SP
embedding_mental_SR	la contadina ricorda che le sorelle accoglie il ragazzo	feminine	singular	feminine	plural			1100	accoglie	ricordano	accoglie	V2	accolgono	num_violation	33	SP
embedding_mental_SR	la figlia ricorda che le contadine accoglie l' attore	feminine	singular	feminine	plural			1136	accoglie	ricordano	accoglie	V2	accolgono	num_violation	34	SP
embedding_mental_SR	la studentessa ricorda che le sorelle accoglie le figlie	feminine	singular	feminine	plural			1249	accoglie	ricordano	accoglie	V2	accolgono	num_violation	35	SP
embedding_mental_SR	l' attrice ricorda che gli studenti accoglie le bambine	feminine	singular	masculine	plural			1549	accoglie	ricordano	accoglie	V2	accolgono	num_violation	36	SP
embedding_mental_SR	la figlia ricorda che i contadini accoglie i ragazzi	feminine	singular	masculine	plural			1656	accoglie	ricordano	accoglie	V2	accolgono	num_violation	37	SP
embedding_mental_SR	la studentessa ricorda che i fratelli accoglie la ragazza	feminine	singular	masculine	plural			1749	accoglie	ricordano	accoglie	V2	accolgono	num_violation	38	SP
embedding_mental_SR	il bambino ricorda che le amiche accoglie la studentessa	masculine	singular	feminine	plural			3023	accoglie	ricordano	accoglie	V2	accolgono	num_violation	39	SP
embedding_mental_SR	il contadino ricorda che le madri accoglie i padri	masculine	singular	feminine	plural			3058	accoglie	ricordano	accoglie	V2	accolgono	num_violation	40	SP
embedding_mental_SR	l' amico ricorda che le figlie accoglie lo studente	masculine	singular	feminine	plural			3174	accoglie	ricordano	accoglie	V2	accolgono	num_violation	41	SP
embedding_mental_SR	il bambino ricorda che gli studenti accoglie gli amici	masculine	singular	masculine	plural			3526	accoglie	ricordano	accoglie	V2	accolgono	num_violation	42	SP
embedding_mental_SR	il fratello ricorda che gli uomini accoglie il padre	masculine	singular	masculine	plural			3602	accoglie	ricordano	accoglie	V2	accolgono	num_violation	43	SP
embedding_mental_SR	il fratello ricorda che i ragazzi accoglie le attrici	masculine	singular	masculine	plural			3605	accoglie	ricordano	accoglie	V2	accolgono	num_violation	44	SP
embedding_mental_SR	le attrici dicono che le sorelle accoglie la madre	feminine	plural	feminine	plural			31	accoglie	dice	accoglie	V2	accolgono	num_violation	45	PP
embedding_mental_SR	le attrici dicono che le studentesse accoglie le ragazze	feminine	plural	feminine	plural			33	accoglie	dice	accoglie	V2	accolgono	num_violation	46	PP
embedding_mental_SR	le bambine dicono che le amiche accoglie gli attori	feminine	plural	feminine	plural			58	accoglie	dice	accoglie	V2	accolgono	num_violation	47	PP
embedding_mental_SR	le donne dicono che le bambine accoglie gli amici	feminine	plural	feminine	plural			108	accoglie	dice	accoglie	V2	accolgono	num_violation	48	PP
embedding_mental_SR	le donne dicono che le figlie accoglie gli amici	feminine	plural	feminine	plural			110	accoglie	dice	accoglie	V2	accolgono	num_violation	49	PP
embedding_mental_SR	le figlie dicono che le ragazze accoglie gli amici	feminine	plural	feminine	plural			135	accoglie	dice	accoglie	V2	accolgono	num_violation	50	PP
