a_Sentence_Type	b_Sentence	c_GenderN1	d_NumN1	e_GenderN2	f_NumN2	g_GenderN3	h_NumN3	i_NumFraseOrigine	j_New_word	k_Verb1	l_Verb2	m_Element_changed	n_Old_word	o_Violation_Type	p_number	q_condition
objrel_nounpp	la ragazza che il padre accanto alla sorella accogliere ama la donna	feminine	singular	masculine	singular	feminine	singular	1875	accogliere	accolgono	amano	V1	accoglie	infinitive	1	SSS
objrel_nounpp	il figlio che l' attrice vicino alle amiche accogliere ama la contadina	masculine	singular	feminine	singular	feminine	plural	3286	accogliere	accolgono	amano	V1	accoglie	infinitive	2	SSP
objrel_nounpp	il figlio che lo studente accanto ai padri accogliere ama la donna	masculine	singular	masculine	singular	masculine	plural	3927	accogliere	accolgono	amano	V1	accoglie	infinitive	3	SSP
objrel_nounpp	l' amica che il contadino accanto alla madre accogliere attrae la ragazza	feminine	singular	masculine	singular	feminine	singular	1828	accogliere	accolgono	attraggono	V1	accoglie	infinitive	4	SSS
objrel_nounpp	lo studente che l' amica davanti alle ragazze accogliere attrae il padre	masculine	singular	feminine	singular	feminine	plural	3335	accogliere	accolgono	attraggono	V1	accoglie	infinitive	5	SSP
objrel_nounpp	l' uomo che il bambino accanto allo studente accogliere attrae la madre	masculine	singular	masculine	singular	masculine	singular	4018	accogliere	accolgono	attraggono	V1	accoglie	infinitive	6	SSS
objrel_nounpp	la sorella che l' amica vicino al padre accogliere blocca i bambini	feminine	singular	feminine	singular	masculine	singular	1503	accogliere	accolgono	bloccano	V1	accoglie	infinitive	7	SSS
objrel_nounpp	la madre che il contadino davanti al fratello accogliere blocca le ragazze	feminine	singular	masculine	singular	masculine	singular	1984	accogliere	accolgono	bloccano	V1	accoglie	infinitive	8	SSS
objrel_nounpp	la sorella che l' attore vicino al padre accogliere blocca i fratelli	feminine	singular	masculine	singular	masculine	singular	2009	accogliere	accolgono	bloccano	V1	accoglie	infinitive	9	SSS
objrel_nounpp	il fratello che il figlio vicino alle amiche accogliere blocca la studentessa	masculine	singular	masculine	singular	feminine	plural	3803	accogliere	accolgono	bloccano	V1	accoglie	infinitive	10	SSP
objrel_nounpp	la bambina che la figlia accanto ai contadini accogliere conosce l' uomo	feminine	singular	feminine	singular	masculine	plural	1402	accogliere	accolgono	conoscono	V1	accoglie	infinitive	11	SSP
objrel_nounpp	l' attrice che la ragazza vicino al bambino accogliere conosce gli studenti	feminine	singular	feminine	singular	masculine	singular	1461	accogliere	accolgono	conoscono	V1	accoglie	infinitive	12	SSS
objrel_nounpp	la ragazza che l' amico davanti al fratello accogliere conosce le donne	feminine	singular	masculine	singular	masculine	singular	1994	accogliere	accolgono	conoscono	V1	accoglie	infinitive	13	SSS
objrel_nounpp	l' amica che la figlia davanti alla contadina accogliere critica la ragazza	feminine	singular	feminine	singular	feminine	singular	1327	accogliere	accolgono	criticano	V1	accoglie	infinitive	14	SSS
objrel_nounpp	la bambina che l' amica vicino alla madre accogliere critica il contadino	feminine	singular	feminine	singular	feminine	singular	1339	accogliere	accolgono	criticano	V1	accoglie	infinitive	15	SSS
objrel_nounpp	l' amica che lo studente vicino alla madre accogliere critica i padri	feminine	singular	masculine	singular	feminine	singular	1836	accogliere	accolgono	criticano	V1	accoglie	infinitive	16	SSS
objrel_nounpp	la studentessa che la madre accanto all' attrice accogliere difende la figlia	feminine	singular	feminine	singular	feminine	singular	1385	accogliere	accolgono	difendono	V1	accoglie	infinitive	17	SSS
objrel_nounpp	la donna che il figlio davanti al contadino accogliere difende l' uomo	feminine	singular	masculine	singular	masculine	singular	1974	accogliere	accolgono	difendono	V1	accoglie	infinitive	18	SSS
objrel_nounpp	il ragazzo che l' amico davanti alle attrici accogliere difende il bambino	masculine	singular	masculine	singular	feminine	plural	3814	accogliere	accolgono	difendono	V1	accoglie	infinitive	19	SSP
objrel_nounpp	l' amica che il contadino dietro alle attrici accogliere evita gli studenti	feminine	singular	masculine	singular	feminine	plural	1766	accogliere	accolgono	evitano	V1	accoglie	infinitive	20	SSP
objrel_nounpp	la contadina che la madre vicino agli amici accogliere ferma la bambina	feminine	singular	feminine	singular	masculine	plural	1405	accogliere	accolgono	fermano	V1	accoglie	infinitive	21	SSP
objrel_nounpp	la ragazza che lo studente davanti alla donna accogliere ferma l' uomo	feminine	singular	masculine	singular	feminine	singular	1878	accogliere	accolgono	fermano	V1	accoglie	infinitive	22	SSS
objrel_nounpp	il fratello che la donna accanto ai bambini accogliere ferma lo studente	masculine	singular	feminine	singular	masculine	plural	3426	accogliere	accolgono	fermano	V1	accoglie	infinitive	23	SSP
objrel_nounpp	il fratello che la ragazza vicino al figlio accogliere ferma l' amica	masculine	singular	feminine	singular	masculine	singular	3493	accogliere	accolgono	fermano	V1	accoglie	infinitive	24	SSS
objrel_nounpp	l' amico che il padre dietro alle attrici accogliere ferma gli studenti	masculine	singular	masculine	singular	feminine	plural	3817	accogliere	accolgono	fermano	V1	accoglie	infinitive	25	SSP
objrel_nounpp	il figlio che l' amico accanto alla madre accogliere ferma il padre	masculine	singular	masculine	singular	feminine	singular	3855	accogliere	accolgono	fermano	V1	accoglie	infinitive	26	SSS
objrel_nounpp	la sorella che lo studente dietro alla bambina accogliere guarda il ragazzo	feminine	singular	masculine	singular	feminine	singular	1886	accogliere	accolgono	guardano	V1	accoglie	infinitive	27	SSS
objrel_nounpp	la sorella che il bambino accanto all' attore accogliere guarda l' amica	feminine	singular	masculine	singular	masculine	singular	1999	accogliere	accolgono	guardano	V1	accoglie	infinitive	28	SSS
objrel_nounpp	il padre che la donna dietro al ragazzo accogliere guarda l' uomo	masculine	singular	feminine	singular	masculine	singular	3496	accogliere	accolgono	guardano	V1	accoglie	infinitive	29	SSS
objrel_nounpp	il ragazzo che l' uomo dietro alle figlie accogliere guarda gli amici	masculine	singular	masculine	singular	feminine	plural	3815	accogliere	accolgono	guardano	V1	accoglie	infinitive	30	SSP
objrel_nounpp	il figlio che lo studente davanti alla sorella accogliere guarda le donne	masculine	singular	masculine	singular	feminine	singular	3859	accogliere	accolgono	guardano	V1	accoglie	infinitive	31	SSS
objrel_nounpp	l' attore che il contadino davanti agli uomini accogliere guarda l' amico	masculine	singular	masculine	singular	masculine	plural	3948	accogliere	accolgono	guardano	V1	accoglie	infinitive	32	SSP
objrel_nounpp	l' attrice che l' uomo dietro alla ragazza accogliere ignora la figlia	feminine	singular	masculine	singular	feminine	singular	1841	accogliere	accolgono	ignorano	V1	accoglie	infinitive	33	SSS
objrel_nounpp	la contadina che il padre accanto all' amica accogliere ignora le donne	feminine	singular	masculine	singular	feminine	singular	1850	accogliere	accolgono	ignorano	V1	accoglie	infinitive	34	SSS
objrel_nounpp	l' attrice che il ragazzo dietro al fratello accogliere ignora i figli	feminine	singular	masculine	singular	masculine	singular	1959	accogliere	accolgono	ignorano	V1	accoglie	infinitive	35	SSS
objrel_nounpp	il bambino che il fratello davanti alle amiche accogliere ignora la contadina	masculine	singular	masculine	singular	feminine	plural	3783	accogliere	accolgono	ignorano	V1	accoglie	infinitive	36	SSP
objrel_nounpp	l' uomo che il figlio dietro alle sorelle accogliere ignora lo studente	masculine	singular	masculine	singular	feminine	plural	3828	accogliere	accolgono	ignorano	V1	accoglie	infinitive	37	SSP
objrel_nounpp	il figlio che l' attore davanti all' amico accogliere ignora le donne	masculine	singular	masculine	singular	masculine	singular	3981	accogliere	accolgono	ignorano	V1	accoglie	infinitive	38	SSS
objrel_nounpp	la ragazza che la sorella davanti all' amica accogliere incontra le madri	feminine	singular	feminine	singular	feminine	singular	1377	accogliere	accolgono	incontrano	V1	accoglie	infinitive	39	SSS
objrel_nounpp	la contadina che la sorella accanto all' uomo accogliere incontra il ragazzo	feminine	singular	feminine	singular	masculine	singular	1481	accogliere	accolgono	incontrano	V1	accoglie	infinitive	40	SSS
objrel_nounpp	la contadina che il figlio dietro agli uomini accogliere incontra i fratelli	feminine	singular	masculine	singular	masculine	plural	1909	accogliere	accolgono	incontrano	V1	accoglie	infinitive	41	SSP
objrel_nounpp	il figlio che la contadina davanti al padre accogliere incontra le attrici	masculine	singular	feminine	singular	masculine	singular	3483	accogliere	accolgono	incontrano	V1	accoglie	infinitive	42	SSS
objrel_nounpp	l' amico che il bambino accanto agli attori accogliere incontra le donne	masculine	singular	masculine	singular	masculine	plural	3942	accogliere	accolgono	incontrano	V1	accoglie	infinitive	43	SSP
objrel_nounpp	la figlia che la contadina accanto all' attrice accogliere indica l' uomo	feminine	singular	feminine	singular	feminine	singular	1356	accogliere	accolgono	indicano	V1	accoglie	infinitive	44	SSS
objrel_nounpp	la contadina che l' amico vicino ai fratelli accogliere indica la madre	feminine	singular	masculine	singular	masculine	plural	1913	accogliere	accolgono	indicano	V1	accoglie	infinitive	45	SSP
objrel_nounpp	il contadino che la donna davanti allo studente accogliere indica le figlie	masculine	singular	feminine	singular	masculine	singular	3477	accogliere	accolgono	indicano	V1	accoglie	infinitive	46	SSS
objrel_nounpp	la ragazza che la donna accanto agli attori accogliere interrompe le figlie	feminine	singular	feminine	singular	masculine	plural	1421	accogliere	accolgono	interrompono	V1	accoglie	infinitive	47	SSP
objrel_nounpp	il figlio che la studentessa davanti alle amiche accogliere interrompe il contadino	masculine	singular	feminine	singular	feminine	plural	3293	accogliere	accolgono	interrompono	V1	accoglie	infinitive	48	SSP
objrel_nounpp	il bambino che la madre vicino alla sorella accogliere interrompe le contadine	masculine	singular	feminine	singular	feminine	singular	3347	accogliere	accolgono	interrompono	V1	accoglie	infinitive	49	SSS
objrel_nounpp	il contadino che l' amica davanti allo studente accogliere interrompe le sorelle	masculine	singular	feminine	singular	masculine	singular	3473	accogliere	accolgono	interrompono	V1	accoglie	infinitive	50	SSS
objrel_nounpp	il ragazzo che il contadino davanti alla bambina accogliere interrompe l' attore	masculine	singular	masculine	singular	feminine	singular	3876	accogliere	accolgono	interrompono	V1	accoglie	infinitive	51	SSS
objrel_nounpp	la donna che la ragazza davanti alla sorella accogliere osserva gli studenti	feminine	singular	feminine	singular	feminine	singular	1351	accogliere	accolgono	osservano	V1	accoglie	infinitive	52	SSS
objrel_nounpp	l' amico che l' attrice vicino alle studentesse accogliere osserva le bambine	masculine	singular	feminine	singular	feminine	plural	3318	accogliere	accolgono	osservano	V1	accoglie	infinitive	53	SSP
objrel_nounpp	la donna che l' attore vicino alle sorelle accogliere ricorda gli amici	feminine	singular	masculine	singular	feminine	plural	1788	accogliere	accolgono	ricordano	V1	accoglie	infinitive	54	SSP
objrel_nounpp	il figlio che la sorella dietro alle bambine accogliere ricorda la madre	masculine	singular	feminine	singular	feminine	plural	3291	accogliere	accolgono	ricordano	V1	accoglie	infinitive	55	SSP
objrel_nounpp	le attrici che la sorella dietro ai figli accogliere amano i bambini	feminine	plural	feminine	singular	masculine	plural	386	accogliere	accolgono	ama	V1	accoglie	infinitive	56	PSP
objrel_nounpp	gli uomini che lo studente vicino all' amica accogliere amano la bambina	masculine	plural	masculine	singular	feminine	singular	2863	accogliere	accolgono	ama	V1	accoglie	infinitive	57	PSS
objrel_nounpp	i ragazzi che il figlio dietro alla bambina accogliere amano la contadina	masculine	plural	masculine	singular	feminine	singular	2894	accogliere	accolgono	ama	V1	accoglie	infinitive	58	PSS
objrel_nounpp	i bambini che l' amico vicino al figlio accogliere amano gli studenti	masculine	plural	masculine	singular	masculine	singular	2985	accogliere	accolgono	ama	V1	accoglie	infinitive	59	PSS
objrel_nounpp	le ragazze che il fratello dietro all' uomo accogliere attraggono le contadine	feminine	plural	masculine	singular	masculine	singular	988	accogliere	accolgono	attrae	V1	accoglie	infinitive	60	PSS
objrel_nounpp	i padri che l' attrice dietro alle bambine accogliere attraggono il ragazzo	masculine	plural	feminine	singular	feminine	plural	2318	accogliere	accolgono	attrae	V1	accoglie	infinitive	61	PSP
objrel_nounpp	i ragazzi che l' amico vicino ai fratelli accogliere attraggono le sorelle	masculine	plural	masculine	singular	masculine	plural	2960	accogliere	accolgono	attrae	V1	accoglie	infinitive	62	PSP
objrel_nounpp	le donne che la madre dietro ai ragazzi accogliere bloccano le bambine	feminine	plural	feminine	singular	masculine	plural	402	accogliere	accolgono	blocca	V1	accoglie	infinitive	63	PSP
objrel_nounpp	le contadine che l' attore accanto alla studentessa accogliere conoscono il bambino	feminine	plural	masculine	singular	feminine	singular	851	accogliere	accolgono	conosce	V1	accoglie	infinitive	64	PSS
