a_Sentence_Type	b_Sentence	c_GenderN1	d_NumN1	e_GenderN2	f_NumN2	g_GenderN3	h_NumN3	i_NumFraseOrigine	j_New_word	k_Verb1	l_Verb2	m_Element_changed	n_Old_word	o_Violation_Type		p_number	q_condition
objrel_that	le amiche che il contadino ama accoglie la ragazza	feminine	plural	masculine	singular			756	accoglie	amano	accoglie	V2	accolgono	num_violation		1	PS
objrel_that	le attrici che il bambino ama accoglie i fratelli	feminine	plural	masculine	singular			777	accoglie	amano	accoglie	V2	accolgono	num_violation		2	PS
objrel_that	le attrici che il fratello ama accoglie le studentesse	feminine	plural	masculine	singular			785	accoglie	amano	accoglie	V2	accolgono	num_violation		3	PS
objrel_that	le sorelle che il figlio ama accoglie le madri	feminine	plural	masculine	singular			955	accoglie	amano	accoglie	V2	accolgono	num_violation		4	PS
objrel_that	i ragazzi che la bambina ama accoglie il fratello	masculine	plural	feminine	singular			2486	accoglie	amano	accoglie	V2	accolgono	num_violation		5	PS
objrel_that	gli uomini che il padre ama accoglie l' amico	masculine	plural	masculine	singular			2828	accoglie	amano	accoglie	V2	accolgono	num_violation		6	PS
objrel_that	le bambine che il contadino attrae accoglie i figli	feminine	plural	masculine	singular			800	accoglie	attraggono	accoglie	V2	accolgono	num_violation		7	PS
objrel_that	le donne che l' amico attrae accoglie la bambina	feminine	plural	masculine	singular			865	accoglie	attraggono	accoglie	V2	accolgono	num_violation		8	PS
objrel_that	gli attori che la studentessa attrae accoglie i ragazzi	masculine	plural	feminine	singular			2291	accoglie	attraggono	accoglie	V2	accolgono	num_violation		9	PS
objrel_that	le figlie che l' amica blocca accoglie il ragazzo	feminine	plural	feminine	singular			364	accoglie	bloccano	accoglie	V2	accolgono	num_violation		10	PS
objrel_that	le madri che la figlia blocca accoglie l' attore	feminine	plural	feminine	singular			407	accoglie	bloccano	accoglie	V2	accolgono	num_violation		11	PS
objrel_that	le studentesse che la donna blocca accoglie la madre	feminine	plural	feminine	singular			481	accoglie	bloccano	accoglie	V2	accolgono	num_violation		12	PS
objrel_that	le contadine che la madre conosce accoglie le attrici	feminine	plural	feminine	singular			338	accoglie	conoscono	accoglie	V2	accolgono	num_violation		13	PS
objrel_that	le studentesse che la ragazza conosce accoglie i bambini	feminine	plural	feminine	singular			495	accoglie	conoscono	accoglie	V2	accolgono	num_violation		14	PS
