a_Sentence_Type	b_Sentence	c_GenderN1	d_NumN1	e_GenderN2	f_NumN2	g_GenderN3	h_NumN3	i_NumFraseOrigine	j_New_word	k_Verb1	l_Verb2	m_Element_changed	n_Old_word	o_Violation_Type	p_number	q_condition
objrel_that	l' antipatia che le attrici guardano ignora i contadini	feminine	singular	feminine	plural			1002	antipatia	guarda	ignorano	N1	l' amica	abstract	1	SP
objrel_that	l' antipatia che le contadine incontrano evita le figlie	feminine	singular	feminine	plural			1007	antipatia	incontra	evitano	N1	l' amica	abstract	2	SP
objrel_that	l' antipatia che le figlie guardano interrompe il contadino	feminine	singular	feminine	plural			1012	antipatia	guarda	interrompono	N1	l' amica	abstract	3	SP
objrel_that	l' antipatia che le ragazze amano guarda i fratelli	feminine	singular	feminine	plural			1017	antipatia	ama	guardano	N1	l' amica	abstract	4	SP
objrel_that	l' antipatia che le ragazze interrompono incontra gli uomini	feminine	singular	feminine	plural			1022	antipatia	interrompe	incontrano	N1	l' amica	abstract	5	SP
objrel_that	l' antipatia che le studentesse incontrano ama i bambini	feminine	singular	feminine	plural			1027	antipatia	incontra	amano	N1	l' amica	abstract	6	SP
objrel_that	l' antipatia che le donne attraggono saluta la figlia	feminine	singular	feminine	plural			1032	antipatia	attrae	salutano	N1	l' attrice	abstract	7	SP
objrel_that	l' antipatia che le madri guardano ama i bambini	feminine	singular	feminine	plural			1037	antipatia	guarda	amano	N1	l' attrice	abstract	8	SP
objrel_that	l' antipatia che le ragazze incontrano osserva gli uomini	feminine	singular	feminine	plural			1042	antipatia	incontra	osservano	N1	l' attrice	abstract	9	SP
objrel_that	l' antipatia che le studentesse indicano interrompe la figlia	feminine	singular	feminine	plural			1047	antipatia	indica	interrompono	N1	l' attrice	abstract	10	SP
objrel_that	l' antipatia che le attrici accolgono saluta la donna	feminine	singular	feminine	plural			1052	antipatia	accoglie	salutano	N1	la bambina	abstract	11	SP
objrel_that	l' antipatia che le attrici evitano ricorda le sorelle	feminine	singular	feminine	plural			1057	antipatia	evita	ricordano	N1	la bambina	abstract	12	SP
objrel_that	l' antipatia che le donne attraggono guarda le madri	feminine	singular	feminine	plural			1062	antipatia	attrae	guardano	N1	la bambina	abstract	13	SP
objrel_that	l' antipatia che le madri bloccano interrompe la ragazza	feminine	singular	feminine	plural			1067	antipatia	blocca	interrompono	N1	la bambina	abstract	14	SP
objrel_that	l' antipatia che le sorelle difendono attrae i contadini	feminine	singular	feminine	plural			1072	antipatia	difende	attraggono	N1	la bambina	abstract	15	SP
objrel_that	l' antipatia che le studentesse salutano osserva i fratelli	feminine	singular	feminine	plural			1077	antipatia	saluta	osservano	N1	la bambina	abstract	16	SP
objrel_that	l' antipatia che le attrici attraggono ferma l' amica	feminine	singular	feminine	plural			1082	antipatia	attrae	fermano	N1	la contadina	abstract	17	SP
objrel_that	l' antipatia che le donne difendono saluta la madre	feminine	singular	feminine	plural			1087	antipatia	difende	salutano	N1	la contadina	abstract	18	SP
objrel_that	l' antipatia che le figlie amano interrompe le ragazze	feminine	singular	feminine	plural			1092	antipatia	ama	interrompono	N1	la contadina	abstract	19	SP
objrel_that	l' antipatia che le madri indicano critica le ragazze	feminine	singular	feminine	plural			1097	antipatia	indica	criticano	N1	la contadina	abstract	20	SP
objrel_that	l' antipatia che le sorelle indicano osserva il fratello	feminine	singular	feminine	plural			1102	antipatia	indica	osservano	N1	la contadina	abstract	21	SP
objrel_that	l' antipatia che le amiche attraggono critica i fratelli	feminine	singular	feminine	plural			1107	antipatia	attrae	criticano	N1	la donna	abstract	22	SP
objrel_that	l' antipatia che le bambine salutano ferma le attrici	feminine	singular	feminine	plural			1112	antipatia	saluta	fermano	N1	la donna	abstract	23	SP
objrel_that	l' antipatia che le figlie attraggono blocca l' uomo	feminine	singular	feminine	plural			1117	antipatia	attrae	bloccano	N1	la donna	abstract	24	SP
objrel_that	l' antipatia che le madri guardano interrompe gli uomini	feminine	singular	feminine	plural			1122	antipatia	guarda	interrompono	N1	la donna	abstract	25	SP
objrel_that	l' antipatia che le amiche attraggono ferma i ragazzi	feminine	singular	feminine	plural			1127	antipatia	attrae	fermano	N1	la figlia	abstract	26	SP
objrel_that	l' antipatia che le attrici difendono saluta il bambino	feminine	singular	feminine	plural			1132	antipatia	difende	salutano	N1	la figlia	abstract	27	SP
objrel_that	l' antipatia che le contadine fermano ignora la madre	feminine	singular	feminine	plural			1137	antipatia	ferma	ignorano	N1	la figlia	abstract	28	SP
objrel_that	l' antipatia che le madri evitano accoglie il fratello	feminine	singular	feminine	plural			1142	antipatia	evita	accolgono	N1	la figlia	abstract	29	SP
objrel_that	l' antipatia che le sorelle fermano accoglie la donna	feminine	singular	feminine	plural			1147	antipatia	ferma	accolgono	N1	la figlia	abstract	30	SP
objrel_that	l' antipatia che le studentesse evitano saluta i bambini	feminine	singular	feminine	plural			1152	antipatia	evita	salutano	N1	la figlia	abstract	31	SP
objrel_that	l' antipatia che le attrici amano accoglie il padre	feminine	singular	feminine	plural			1157	antipatia	ama	accolgono	N1	la madre	abstract	32	SP
objrel_that	l' antipatia che le attrici salutano osserva l' uomo	feminine	singular	feminine	plural			1162	antipatia	saluta	osservano	N1	la madre	abstract	33	SP
objrel_that	l' antipatia che le contadine bloccano accoglie i fratelli	feminine	singular	feminine	plural			1167	antipatia	blocca	accolgono	N1	la madre	abstract	34	SP
objrel_that	l' antipatia che le ragazze interrompono saluta l' amica	feminine	singular	feminine	plural			1172	antipatia	interrompe	salutano	N1	la madre	abstract	35	SP
objrel_that	l' antipatia che le amiche amano conosce le madri	feminine	singular	feminine	plural			1177	antipatia	ama	conoscono	N1	la ragazza	abstract	36	SP
objrel_that	l' antipatia che le contadine attraggono accoglie il bambino	feminine	singular	feminine	plural			1182	antipatia	attrae	accolgono	N1	la ragazza	abstract	37	SP
objrel_that	l' antipatia che le contadine indicano ricorda i padri	feminine	singular	feminine	plural			1187	antipatia	indica	ricordano	N1	la ragazza	abstract	38	SP
objrel_that	l' antipatia che le figlie evitano ferma le studentesse	feminine	singular	feminine	plural			1192	antipatia	evita	fermano	N1	la ragazza	abstract	39	SP
objrel_that	l' antipatia che le madri conoscono attrae gli studenti	feminine	singular	feminine	plural			1197	antipatia	conosce	attraggono	N1	la ragazza	abstract	40	SP
objrel_that	l' antipatia che le studentesse conoscono difende le figlie	feminine	singular	feminine	plural			1202	antipatia	conosce	difendono	N1	la ragazza	abstract	41	SP
objrel_that	l' antipatia che le attrici attraggono accoglie la bambina	feminine	singular	feminine	plural			1207	antipatia	attrae	accolgono	N1	la sorella	abstract	42	SP
objrel_that	l' antipatia che le bambine guardano critica la ragazza	feminine	singular	feminine	plural			1212	antipatia	guarda	criticano	N1	la sorella	abstract	43	SP
objrel_that	l' antipatia che le donne fermano ricorda gli studenti	feminine	singular	feminine	plural			1217	antipatia	ferma	ricordano	N1	la sorella	abstract	44	SP
objrel_that	l' antipatia che le ragazze interrompono osserva le amiche	feminine	singular	feminine	plural			1222	antipatia	interrompe	osservano	N1	la sorella	abstract	45	SP
objrel_that	l' antipatia che le amiche interrompono critica l' attore	feminine	singular	feminine	plural			1227	antipatia	interrompe	criticano	N1	la studentessa	abstract	46	SP
objrel_that	l' antipatia che le attrici salutano osserva l' amico	feminine	singular	feminine	plural			1232	antipatia	saluta	osservano	N1	la studentessa	abstract	47	SP
objrel_that	l' antipatia che le contadine attraggono ignora il fratello	feminine	singular	feminine	plural			1237	antipatia	attrae	ignorano	N1	la studentessa	abstract	48	SP
objrel_that	l' antipatia che le madri accolgono saluta il contadino	feminine	singular	feminine	plural			1242	antipatia	accoglie	salutano	N1	la studentessa	abstract	49	SP
objrel_that	l' antipatia che le sorelle attraggono incontra i contadini	feminine	singular	feminine	plural			1247	antipatia	attrae	incontrano	N1	la studentessa	abstract	50	SP
objrel_that	l' antipatia che l' attrice ricorda incontra i padri	feminine	singular	feminine	singular			1252	antipatia	ricordano	incontrano	N1	l' amica	abstract	51	SS
objrel_that	l' antipatia che la contadina interrompe ignora le sorelle	feminine	singular	feminine	singular			1257	antipatia	interrompono	ignorano	N1	l' amica	abstract	52	SS
objrel_that	l' antipatia che la figlia difende accoglie l' attore	feminine	singular	feminine	singular			1262	antipatia	difendono	accolgono	N1	l' amica	abstract	53	SS
objrel_that	l' antipatia che la studentessa attrae interrompe la figlia	feminine	singular	feminine	singular			1267	antipatia	attraggono	interrompono	N1	l' amica	abstract	54	SS
objrel_that	l' antipatia che l' amica conosce indica l' uomo	feminine	singular	feminine	singular			1272	antipatia	conoscono	indicano	N1	l' attrice	abstract	55	SS
objrel_that	l' antipatia che la bambina evita blocca la ragazza	feminine	singular	feminine	singular			1277	antipatia	evitano	bloccano	N1	l' attrice	abstract	56	SS
objrel_that	l' antipatia che la contadina osserva attrae la figlia	feminine	singular	feminine	singular			1282	antipatia	osservano	attraggono	N1	l' attrice	abstract	57	SS
objrel_that	l' antipatia che la figlia accoglie interrompe l' uomo	feminine	singular	feminine	singular			1287	antipatia	accolgono	interrompono	N1	l' attrice	abstract	58	SS
objrel_that	l' antipatia che la madre guarda indica il bambino	feminine	singular	feminine	singular			1292	antipatia	guardano	indicano	N1	l' attrice	abstract	59	SS
objrel_that	l' antipatia che la studentessa guarda interrompe le sorelle	feminine	singular	feminine	singular			1297	antipatia	guardano	interrompono	N1	l' attrice	abstract	60	SS
objrel_that	l' antipatia che la contadina indica difende gli uomini	feminine	singular	feminine	singular			1302	antipatia	indicano	difendono	N1	la bambina	abstract	61	SS
