un frère que le coiffeur a cherché le lit
ce frère que les coiffeurs vont rencontrer la consulta
un ami que les plombières vont mener le boit
le voisin que les coiffeurs vont chercher les bricole
ce voisin que la coiffeuse va former le consulta
un ami que les plombiers ont rencontré les mange
ce cousin que les coiffeuses ont laissé le mangea
ce frère que les plombiers ont cherché la dévore
un frère que les boulangères ont formé le bricole
cet ami que les plombières vont croiser la boit
le cousin que la boulangère va chercher le consulta
