Sentence_Type,Sentence,GenderN1,NumN1,GenderN2,NumN2,GenderN3,NumN3,NumFraseOrigine,New_word,Verb1,Verb2,Element_changed,Old_word,Violation_Type,number,condition,slide,frequency,length,block,IncludedWords1,IncludedWords2,IncludedWords3,IncludedWords4,IncludedWords5,IncludedWords6,MeanLogFreq_W,MeanLength_W,ConditionAggragated
embedding_mental,il_bambino ricorda che l'_amica vicino alla_ragazza attrarre le_figlie,masculine,singular,feminine,singular,feminine,singular,3341,attrarre,ricordano,attraggono,V2,attrae,infinitive,542,SSS,-7,NaN,NaN,2,bambino,ricorda,amica,ragazza,attrarre,figlie,8.68090591743439,6.66666666666667,embedding_mental____SSS
objrel_nounpp,la_ragazza che le_sorelle davanti alle_bambine contadina ricorda i_figli,feminine,singular,feminine,plural,feminine,plural,1056,contadina,blocca,ricordano,V1,bloccano,verb_noun,2599,SPP,-7,NaN,NaN,4,ragazza,sorelle,bambine,contadina,ricorda,figli,8.29868082047022,7,objrel_nounpp_______SPP
embedding_mental,i_padri ricordano che i_bambini davanti alle_sorelle bloccano il_ragazzo,masculine,plural,masculine,plural,feminine,plural,3747,NaN,ricorda,blocca,NaN,NaN,acceptable,3747,PPP,0,NaN,NaN,4,padri,ricordano,bambini,sorelle,bloccano,ragazzo,7.85032286517296,7.16666666666667,embedding_mental____PPP
objrel_that,le_lampade che le_bambine attraggono guardano la_donna,feminine,plural,feminine,plural,NaN,NaN,32,lampade,attrae,guarda,N1,le attrici,inanimate,2407,PP,-1,NaN,NaN,2,lampade,bambine,attraggono,guardano,donna,,7.08800791987466,7.4,objrel_that_________PP
embedding_mental,gli_studenti dichiarano che il_bambino vicino alle_amiche ignora la_figlia,masculine,plural,masculine,singular,feminine,plural,2571,NaN,dichiara,ignorano,NaN,NaN,acceptable,2571,PSP,0,NaN,NaN,2,studenti,dichiarano,bambino,amiche,ignora,figlia,7.90407335876977,7.16666666666667,embedding_mental____PSP
embedding_mental,la_contadina ricorda che le_sorelle dietro al_bambino accogliere l'_amica,feminine,singular,feminine,plural,masculine,singular,1219,accogliere,ricordano,accoglie,V2,accolgono,infinitive,106,SPS,-7,NaN,NaN,2,contadina,ricorda,sorelle,bambino,accogliere,amica,7.87043916163628,7.5,embedding_mental____SPS
objrel_nounpp,l'_amica che la_contadina vicino alla_figlia incontri guarda i_ragazzi,feminine,singular,feminine,singular,feminine,singular,1325,incontri,incontrano,guardano,V1,incontra,wrong_person,5299,SSS,-7,NaN,NaN,4,amica,contadina,figlia,incontri,guarda,ragazzi,8.97843920441491,6.83333333333333,objrel_nounpp_______SSS
embedding_mental_SR,gli_amici dicono che le_madri attrae i_ragazzi,masculine,plural,feminine,plural,NaN,NaN,2011,attrae,dice,attrae,V2,attraggono,num_violation,578,PP,5,NaN,NaN,2,amici,dicono,madri,attrae,ragazzi,,8.64299804114419,5.8,embedding_mental_SR_PP
objrel_nounpp,la_figlia che le_sorelle vicino alla_madre fermano guardi i_fratelli,feminine,singular,feminine,plural,feminine,singular,1110,guardi,ferma,guardano,V2,guarda,wrong_person,4405,SPS,-8,NaN,NaN,4,figlia,sorelle,madre,fermano,guardi,fratelli,8.77074039336386,6.5,objrel_nounpp_______SPS
embedding_mental,il_ragazzo dichiara che il_sonno vicino alla_donna incontrano gli_uomini,masculine,singular,feminine,plural,feminine,singular,3125,sonno,dichiarano,incontra,N2,lecontadine,abstract,11716,SPS,-4,NaN,NaN,3,ragazzo,dichiara,sonno,donna,incontrano,uomini,8.68975498716186,6.83333333333333,embedding_mental____SPS
objrel_nounpp,i_contadini che l'_attrice davanti agli_amici ignora osservano le_studentesse,masculine,plural,feminine,singular,masculine,plural,2295,NaN,ignorano,osserva,NaN,NaN,acceptable,2295,PSP,0,NaN,NaN,5,contadini,attrice,amici,ignora,osservano,studentesse,6.84993021306508,7.83333333333333,objrel_nounpp_______PSP
embedding_mental,le_bambine ricordano che gli_amici dietro al_padre interrompere la_studentessa,feminine,plural,masculine,plural,masculine,singular,710,interrompere,ricorda,interrompe,V2,interrompono,infinitive,3549,PPS,-7,NaN,NaN,1,bambine,ricordano,amici,padre,interrompere,studentessa,8.29879039488422,8.16666666666667,embedding_mental____PPS
objrel_nounpp,l'_attore che le_bambine dietro ai_fratelli fermano ignorano le_studentesse,masculine,singular,feminine,plural,masculine,plural,3192,ignorano,ferma,ignorano,V2,ignora,num_violation,5104,SPP,8,NaN,NaN,1,attore,bambine,fratelli,fermano,ignorano,studentesse,6.67260045861198,7.83333333333333,objrel_nounpp_______SPP
embedding_mental,la_contadina dice che gli_uomini accanto alle_figlie incontrano l'_amica,feminine,singular,masculine,plural,feminine,plural,1814,NaN,dicono,incontra,NaN,NaN,acceptable,1814,SPP,0,NaN,NaN,4,contadina,dice,uomini,figlie,incontrano,amica,8.1713527356328,6.66666666666667,embedding_mental____SPP
objrel_nounpp,le_amiche che i_padri vicino ai_contadini conoscono attraete le_studentesse,feminine,plural,masculine,plural,masculine,plural,638,attraete,conosce,attrae,V2,attraggono,wrong_person,1024,PPP,-8,NaN,NaN,2,amiche,padri,contadini,conoscono,attraete,studentesse,5.85015729328534,8,objrel_nounpp_______PPP
objrel_nounpp,i_ragazzi che l'_attrice accanto all'_uomo osserva ricordano i_figli,masculine,plural,feminine,singular,masculine,singular,2498,NaN,osservano,ricorda,NaN,NaN,acceptable,2498,PSS,0,NaN,NaN,1,ragazzi,attrice,uomo,osserva,ricordano,figli,8.74836575931759,6.5,objrel_nounpp_______PSS
embedding_mental_SR,l'_attore dichiara che le_studentesse ignorano il_bambino,masculine,singular,feminine,plural,NaN,NaN,1446,NaN,dichiarano,ignora,NaN,NaN,acceptable,1446,SP,0,NaN,NaN,3,attore,dichiara,studentesse,ignorano,bambino,,6.9343214638249,8,embedding_mental_SR_SP
objrel_nounpp,l'_attore che la_bambina davanti al_contadino ricorda ferma l'_amica,masculine,singular,feminine,singular,masculine,singular,421,NaN,ricordano,fermano,NaN,NaN,acceptable,421,SSS,0,NaN,NaN,5,attore,bambina,contadino,ricorda,ferma,amica,8.563910051985,6.5,objrel_nounpp_______SSS
objrel_nounpp,i_bambini che le_figlie vicino alla_contadina osserviamo attraggono i_padri,masculine,plural,feminine,plural,feminine,singular,2103,osserviamo,osserva,attrae,V1,osservano,wrong_person,6961,PPS,-7,NaN,NaN,5,bambini,figlie,contadina,osserviamo,attraggono,padri,6.49178633326669,7.83333333333333,objrel_nounpp_______PPS
embedding_mental,l'_attore dichiara che le_contadine davanti al_fratello ragazze le_studentesse,masculine,singular,feminine,plural,masculine,singular,3260,ragazze,dichiarano,indica,V2,indicano,verb_noun,2927,SPS,-7,NaN,NaN,3,attore,dichiara,contadine,fratello,ragazze,studentesse,7.2606374524096,8.16666666666667,embedding_mental____SPS
objrel_nounpp,gli_uomini che i_figli accanto agli_attori difendono osservano il_bambino,masculine,plural,masculine,plural,masculine,plural,3178,NaN,difende,osserva,NaN,NaN,acceptable,3178,PPP,0,NaN,NaN,1,uomini,figli,attori,difendono,osservano,bambino,7.88907688821146,7,objrel_nounpp_______PPP
embedding_mental,la_contadina ricorda che i_bambini accanto alle_figlie osservare le_amiche,feminine,singular,masculine,plural,feminine,plural,1541,osservare,ricordano,osserva,V2,osservano,infinitive,3666,SPP,-7,NaN,NaN,5,contadina,ricorda,bambini,figlie,osservare,amiche,7.7583521635952,7.33333333333333,embedding_mental____SPP
objrel_that,le_ragazze che i_fratelli attraggono incontriamo le_contadine,feminine,plural,masculine,plural,NaN,NaN,679,incontriamo,attrae,saluta,V2,salutano,wrong_person,6405,PP,-5,NaN,NaN,4,ragazze,fratelli,attraggono,incontriamo,contadine,,6.67850411105698,9,objrel_that_________PP
objrel_nounpp,il_bambino che il_salto vicino al_figlio interrompe guarda l'_attrice,masculine,singular,masculine,singular,masculine,singular,3971,salto,interrompono,guardano,N2,ilpadre,abstract,9460,SSS,-3,NaN,NaN,4,bambino,salto,figlio,interrompe,guarda,attrice,8.77237016115073,6.83333333333333,objrel_nounpp_______SSS
embedding_mental_SR,le_madri ricordano che le_amiche indichiamo la_figlia,feminine,plural,feminine,plural,NaN,NaN,175,indichiamo,ricorda,indica,V2,indicano,wrong_person,3186,PP,-5,NaN,NaN,2,madri,ricordano,amiche,indichiamo,figlia,,6.72335795798066,7.2,embedding_mental_SR_PP
embedding_mental,lo_studente dice che gli_uomini dietro all'_amica bloccano i_ragazzi,masculine,singular,masculine,plural,feminine,singular,1483,NaN,dicono,blocca,NaN,NaN,acceptable,1483,SPS,0,NaN,NaN,1,studente,dice,uomini,amica,bloccano,ragazzi,9.07369905233649,6.33333333333333,embedding_mental____SPS
objrel_nounpp,le_diatribe che i_figli accanto alle_attrici osservano ignorano il_padre,feminine,plural,masculine,plural,feminine,plural,520,diatribe,osserva,ignora,N1,lebambine,abstract,1922,PPP,-1,NaN,NaN,1,diatribe,figli,attrici,osservano,ignorano,padre,6.38150626937659,7,objrel_nounpp_______PPP
embedding_mental_SR,gli_amici dicono che il_padre incontrare l'_attrice,masculine,plural,masculine,singular,NaN,NaN,2764,incontrare,dice,incontrano,V2,incontra,infinitive,2882,PS,-5,NaN,NaN,4,amici,dicono,padre,incontrare,attrice,,9.43333148120877,6.6,embedding_mental_SR_PS
embedding_mental,il_fratello ricorda che la_donna vicino allo_studente fermano il_figlio,masculine,singular,feminine,singular,masculine,singular,3481,fermano,ricordano,fermano,V2,ferma,num_violation,2189,SSS,7,NaN,NaN,2,fratello,ricorda,donna,studente,fermano,figlio,9.11450989723619,6.83333333333333,embedding_mental____SSS
embedding_mental,la_donna dice che la_figlia dietro alle_ragazze ferma le_studentesse,feminine,singular,feminine,singular,feminine,plural,844,NaN,dicono,fermano,NaN,NaN,acceptable,844,SSP,0,NaN,NaN,4,donna,dice,figlia,ragazze,ferma,studentesse,9.34607040175304,6.33333333333333,embedding_mental____SSP
objrel_that,il_padre che il_figlio ignora guarda gli_uomini,masculine,singular,masculine,singular,NaN,NaN,175,NaN,ignorano,guardano,NaN,NaN,acceptable,175,SS,0,NaN,NaN,4,padre,figlio,ignora,guarda,uomini,,9.82396183218973,5.8,objrel_that_________SS
objrel_nounpp,i_padri che gli_attori accanto alla_bambina interrompe conoscono le_ragazze,masculine,plural,masculine,plural,feminine,singular,2634,interrompe,interrompe,conosce,V1,interrompono,num_violation,6315,PPS,7,NaN,NaN,1,padri,attori,bambina,interrompe,conoscono,ragazze,7.72885103708876,7.33333333333333,objrel_nounpp_______PPS
embedding_mental,lo_studente dice che le_figlie davanti alla_sorella criticano i_ragazzi,masculine,singular,feminine,plural,feminine,singular,1487,NaN,dicono,critica,NaN,NaN,acceptable,1487,SPS,0,NaN,NaN,2,studente,dice,figlie,sorella,criticano,ragazzi,8.41450558116009,6.83333333333333,embedding_mental____SPS
embedding_mental,gli_amici dichiarano che i_ragazzi accanto alla_bambina incontrano l'_attrice,masculine,plural,masculine,plural,feminine,singular,3028,NaN,dichiara,incontra,NaN,NaN,acceptable,3028,PPS,0,NaN,NaN,1,amici,dichiarano,ragazzi,bambina,incontrano,attrice,8.18281201477153,7.66666666666667,embedding_mental____PPS
objrel_that,il_ragazzo che le_donne attraggono ferma le_madri,masculine,singular,feminine,plural,NaN,NaN,1271,NaN,attrae,fermano,NaN,NaN,acceptable,1271,SP,0,NaN,NaN,1,ragazzo,donne,attraggono,ferma,madri,,8.2218598016521,6.4,objrel_that_________SP
objrel_nounpp,le_sorelle che i_contadini davanti alle_madri osservano ricordiamo i_fratelli,feminine,plural,masculine,plural,feminine,plural,559,ricordiamo,osserva,ricorda,V2,ricordano,wrong_person,7400,PPP,-8,NaN,NaN,4,sorelle,contadini,madri,osservano,ricordiamo,fratelli,6.83830230061443,8,objrel_nounpp_______PPP
objrel_nounpp,le_sorelle che i_contadini davanti alle_madri osservano ricordano i_fratelli,feminine,plural,masculine,plural,feminine,plural,3949,NaN,osserva,ricorda,NaN,NaN,acceptable,3949,PPP,0,NaN,NaN,1,sorelle,contadini,madri,osservano,ricordano,fratelli,6.94246194139321,7.83333333333333,objrel_nounpp_______PPP
objrel_nounpp,l'_attore che le_studentesse vicino al_fratello interrompono ignorano le_contadine,masculine,singular,feminine,plural,masculine,singular,3265,ignorano,interrompe,ignorano,V2,ignora,num_violation,5121,SPS,8,NaN,NaN,1,attore,studentesse,fratello,interrompono,ignorano,contadine,5.96389360617788,9,objrel_nounpp_______SPS
