a_Sentence_Type	b_Sentence	c_GenderN1	d_NumN1	e_GenderN2	f_NumN2	g_GenderN3	h_NumN3	i_NumFraseOrigine	j_New_word	k_Verb1	l_Verb2	m_Element_changed	n_Old_word	o_Violation_Type	p_number	q_condition
embedding_mental	l' antipatia ricorda che le bambine vicino alle figlie interrompono i ragazzi	feminine	singular	feminine	plural	feminine	plural	1013	antipatia	ricordano	interrompe	N1	l'amica	abstract	1	SPP
embedding_mental	l' antipatia dice che le madri davanti alle studentesse attraggono gli uomini	feminine	singular	feminine	plural	feminine	plural	1017	antipatia	dicono	attrae	N1	l'attrice	abstract	2	SPP
embedding_mental	l' antipatia dichiara che le donne davanti alle ragazze evitano la madre	feminine	singular	feminine	plural	feminine	plural	1024	antipatia	dichiarano	evita	N1	labambina	abstract	3	SPP
embedding_mental	l' antipatia dichiara che le attrici dietro alle madri fermano i padri	feminine	singular	feminine	plural	feminine	plural	1026	antipatia	dichiarano	ferma	N1	lacontadina	abstract	4	SPP
embedding_mental	l' antipatia dichiara che le studentesse davanti alle attrici guardano il fratello	feminine	singular	feminine	plural	feminine	plural	1030	antipatia	dichiarano	guarda	N1	lacontadina	abstract	5	SPP
embedding_mental	l' antipatia ricorda che le amiche dietro alle madri conoscono le figlie	feminine	singular	feminine	plural	feminine	plural	1031	antipatia	ricordano	conosce	N1	lacontadina	abstract	6	SPP
embedding_mental	l' antipatia dichiara che le figlie davanti alle sorelle guardano le attrici	feminine	singular	feminine	plural	feminine	plural	1035	antipatia	dichiarano	guarda	N1	ladonna	abstract	7	SPP
embedding_mental	l' antipatia dice che le contadine vicino alle bambine amano le attrici	feminine	singular	feminine	plural	feminine	plural	1040	antipatia	dicono	ama	N1	lafiglia	abstract	8	SPP
embedding_mental	l' antipatia dice che le contadine vicino alle madri ignorano l' amica	feminine	singular	feminine	plural	feminine	plural	1041	antipatia	dicono	ignora	N1	lafiglia	abstract	9	SPP
embedding_mental	l' antipatia dice che le attrici davanti alle amiche conoscono la figlia	feminine	singular	feminine	plural	feminine	plural	1050	antipatia	dicono	conosce	N1	laragazza	abstract	10	SPP
embedding_mental	l' antipatia ricorda che le contadine vicino alle studentesse criticano il ragazzo	feminine	singular	feminine	plural	feminine	plural	1062	antipatia	ricordano	critica	N1	lasorella	abstract	11	SPP
embedding_mental	l' antipatia ricorda che le figlie davanti alle bambine indicano le studentesse	feminine	singular	feminine	plural	feminine	plural	1063	antipatia	ricordano	indica	N1	lasorella	abstract	12	SPP
embedding_mental	l' antipatia dichiara che le bambine davanti alle sorelle accolgono la figlia	feminine	singular	feminine	plural	feminine	plural	1067	antipatia	dichiarano	accoglie	N1	lastudentessa	abstract	13	SPP
embedding_mental	l' antipatia ricorda che le madri vicino alle contadine conoscono la donna	feminine	singular	feminine	plural	feminine	plural	1071	antipatia	ricordano	conosce	N1	lastudentessa	abstract	14	SPP
embedding_mental	l' antipatia dichiara che le bambine accanto alla figlia ignorano la madre	feminine	singular	feminine	plural	feminine	singular	1074	antipatia	dichiarano	ignora	N1	l'amica	abstract	15	SPS
embedding_mental	l' antipatia dichiara che le donne dietro alla studentessa ignorano gli attori	feminine	singular	feminine	plural	feminine	singular	1076	antipatia	dichiarano	ignora	N1	l'amica	abstract	16	SPS
embedding_mental	l' antipatia ricorda che le attrici dietro alla ragazza amano la figlia	feminine	singular	feminine	plural	feminine	singular	1077	antipatia	ricordano	ama	N1	l'amica	abstract	17	SPS
embedding_mental	l' antipatia dice che le contadine dietro alla bambina ignorano l' amica	feminine	singular	feminine	plural	feminine	singular	1083	antipatia	dicono	ignora	N1	l'attrice	abstract	18	SPS
embedding_mental	l' antipatia dichiara che le donne vicino alla contadina evitano la sorella	feminine	singular	feminine	plural	feminine	singular	1084	antipatia	dichiarano	evita	N1	l'attrice	abstract	19	SPS
embedding_mental	l' antipatia dichiara che le ragazze vicino alla bambina osservano le figlie	feminine	singular	feminine	plural	feminine	singular	1086	antipatia	dichiarano	osserva	N1	l'attrice	abstract	20	SPS
embedding_mental	l' antipatia dichiara che le figlie dietro alla ragazza ignorano l' attrice	feminine	singular	feminine	plural	feminine	singular	1089	antipatia	dichiarano	ignora	N1	labambina	abstract	21	SPS
embedding_mental	l' antipatia ricorda che le contadine vicino alla sorella amano l' attore	feminine	singular	feminine	plural	feminine	singular	1091	antipatia	ricordano	ama	N1	labambina	abstract	22	SPS
embedding_mental	l' antipatia dice che le bambine davanti all' attrice incontrano lo studente	feminine	singular	feminine	plural	feminine	singular	1096	antipatia	dicono	incontra	N1	lacontadina	abstract	23	SPS
embedding_mental	l' antipatia dice che le ragazze vicino alla madre guardano lo studente	feminine	singular	feminine	plural	feminine	singular	1097	antipatia	dicono	guarda	N1	lacontadina	abstract	24	SPS
embedding_mental	l' antipatia dice che le contadine accanto alla ragazza guardano gli uomini	feminine	singular	feminine	plural	feminine	singular	1103	antipatia	dicono	guarda	N1	ladonna	abstract	25	SPS
embedding_mental	l' antipatia dice che le ragazze davanti alla studentessa accolgono i fratelli	feminine	singular	feminine	plural	feminine	singular	1105	antipatia	dicono	accoglie	N1	ladonna	abstract	26	SPS
embedding_mental	l' antipatia dichiara che le bambine davanti alla contadina criticano i padri	feminine	singular	feminine	plural	feminine	singular	1110	antipatia	dichiarano	critica	N1	lafiglia	abstract	27	SPS
embedding_mental	l' antipatia dichiara che le bambine vicino alla studentessa fermano la contadina	feminine	singular	feminine	plural	feminine	singular	1111	antipatia	dichiarano	ferma	N1	lafiglia	abstract	28	SPS
embedding_mental	l' antipatia dichiara che le amiche dietro all' attrice incontrano i padri	feminine	singular	feminine	plural	feminine	singular	1116	antipatia	dichiarano	incontra	N1	lamadre	abstract	29	SPS
embedding_mental	l' antipatia dice che le amiche accanto alla madre bloccano le studentesse	feminine	singular	feminine	plural	feminine	singular	1122	antipatia	dicono	blocca	N1	laragazza	abstract	30	SPS
embedding_mental	l' antipatia dice che le attrici dietro alla figlia incontrano la sorella	feminine	singular	feminine	plural	feminine	singular	1124	antipatia	dicono	incontra	N1	laragazza	abstract	31	SPS
embedding_mental	l' antipatia ricorda che le amiche accanto alla donna accolgono gli uomini	feminine	singular	feminine	plural	feminine	singular	1127	antipatia	ricordano	accoglie	N1	laragazza	abstract	32	SPS
embedding_mental	l' antipatia ricorda che le attrici vicino alla figlia attraggono la madre	feminine	singular	feminine	plural	feminine	singular	1130	antipatia	ricordano	attrae	N1	lasorella	abstract	33	SPS
embedding_mental	l' antipatia dice che le madri davanti ai fratelli bloccano i ragazzi	feminine	singular	feminine	plural	masculine	plural	1137	antipatia	dicono	blocca	N1	l'amica	abstract	34	SPP
embedding_mental	l' antipatia dichiara che le donne davanti ai contadini interrompono la madre	feminine	singular	feminine	plural	masculine	plural	1139	antipatia	dichiarano	interrompe	N1	l'amica	abstract	35	SPP
embedding_mental	l' antipatia ricorda che le bambine accanto ai figli interrompono i fratelli	feminine	singular	feminine	plural	masculine	plural	1140	antipatia	ricordano	interrompe	N1	l'amica	abstract	36	SPP
embedding_mental	l' antipatia dichiara che le attrici vicino ai contadini attraggono gli amici	feminine	singular	feminine	plural	masculine	plural	1147	antipatia	dichiarano	attrae	N1	labambina	abstract	37	SPP
embedding_mental	l' antipatia ricorda che le sorelle dietro ai figli conoscono la studentessa	feminine	singular	feminine	plural	masculine	plural	1150	antipatia	ricordano	conosce	N1	labambina	abstract	38	SPP
embedding_mental	l' antipatia dice che le donne vicino ai fratelli difendono il figlio	feminine	singular	feminine	plural	masculine	plural	1151	antipatia	dicono	difende	N1	lacontadina	abstract	39	SPP
embedding_mental	l' antipatia dice che le ragazze davanti agli attori salutano le sorelle	feminine	singular	feminine	plural	masculine	plural	1156	antipatia	dicono	saluta	N1	ladonna	abstract	40	SPP
embedding_mental	l' antipatia dichiara che le attrici dietro ai padri fermano l' uomo	feminine	singular	feminine	plural	masculine	plural	1157	antipatia	dichiarano	ferma	N1	ladonna	abstract	41	SPP
embedding_mental	l' antipatia dice che le amiche davanti agli attori salutano le bambine	feminine	singular	feminine	plural	masculine	plural	1174	antipatia	dicono	saluta	N1	laragazza	abstract	42	SPP
embedding_mental	l' antipatia ricorda che le donne dietro ai padri evitano gli uomini	feminine	singular	feminine	plural	masculine	plural	1181	antipatia	ricordano	evita	N1	laragazza	abstract	43	SPP
embedding_mental	l' antipatia dichiara che le contadine dietro ai ragazzi salutano i fratelli	feminine	singular	feminine	plural	masculine	plural	1186	antipatia	dichiarano	saluta	N1	lasorella	abstract	44	SPP
