a_Sentence_Type	b_Sentence	c_GenderN1	d_NumN1	e_GenderN2	f_NumN2	g_GenderN3	h_NumN3	i_NumFraseOrigine	j_New_word	k_Verb1	l_Verb2	m_Element_changed	n_Old_word	o_Violation_Type	p_number	q_condition
objrel_that	la figlia che il padre accogliere ama gli studenti	feminine	singular	masculine	singular			1870	accogliere	V1	accolgono	amano	accoglie	infinitive	1	SS
objrel_that	la sorella che il bambino accogliere ama gli attori	feminine	singular	masculine	singular			1938	accogliere	V1	accolgono	amano	accoglie	infinitive	2	SS
objrel_that	l' amica che la sorella accogliere attrae le madri	feminine	singular	feminine	singular			1263	accogliere	V1	accolgono	attraggono	accoglie	infinitive	3	SS
objrel_that	la contadina che l' amica accogliere attrae la donna	feminine	singular	feminine	singular			1320	accogliere	V1	accolgono	attraggono	accoglie	infinitive	4	SS
objrel_that	il ragazzo che il bambino accogliere attrae la studentessa	masculine	singular	masculine	singular			3857	accogliere	V1	accolgono	attraggono	accoglie	infinitive	5	SS
objrel_that	l' uomo che il fratello accogliere attrae le ragazze	masculine	singular	masculine	singular			3949	accogliere	V1	accolgono	attraggono	accoglie	infinitive	6	SS
objrel_that	la figlia che l' uomo accogliere blocca la bambina	feminine	singular	masculine	singular			1880	accogliere	V1	accolgono	bloccano	accoglie	infinitive	7	SS
objrel_that	il bambino che l' amico accogliere blocca le studentesse	masculine	singular	masculine	singular			3765	accogliere	V1	accolgono	bloccano	accoglie	infinitive	8	SS
objrel_that	il fratello che lo studente accogliere blocca la sorella	masculine	singular	masculine	singular			3833	accogliere	V1	accolgono	bloccano	accoglie	infinitive	9	SS
objrel_that	l' attrice che l' uomo accogliere conosce i bambini	feminine	singular	masculine	singular			1792	accogliere	V1	accolgono	conoscono	accoglie	infinitive	10	SS
objrel_that	la bambina che l' attore accogliere conosce i padri	feminine	singular	masculine	singular			1812	accogliere	V1	accolgono	conoscono	accoglie	infinitive	11	SS
objrel_that	la studentessa che l' amico accogliere conosce gli attori	feminine	singular	masculine	singular			1989	accogliere	V1	accolgono	conoscono	accoglie	infinitive	12	SS
objrel_that	lo studente che la contadina accogliere conosce le figlie	masculine	singular	feminine	singular			3485	accogliere	V1	accolgono	conoscono	accoglie	infinitive	13	SS
objrel_that	la contadina che la donna accogliere critica i padri	feminine	singular	feminine	singular			1334	accogliere	V1	accolgono	criticano	accoglie	infinitive	14	SS
objrel_that	la contadina che l' amico accogliere critica lo studente	feminine	singular	masculine	singular			1832	accogliere	V1	accolgono	criticano	accoglie	infinitive	15	SS
objrel_that	il padre che la studentessa accogliere critica il ragazzo	masculine	singular	feminine	singular			3356	accogliere	V1	accolgono	criticano	accoglie	infinitive	16	SS
objrel_that	il fratello che il padre accogliere critica le ragazze	masculine	singular	masculine	singular			3818	accogliere	V1	accolgono	criticano	accoglie	infinitive	17	SS
objrel_that	il ragazzo che il padre accogliere critica le studentesse	masculine	singular	masculine	singular			3872	accogliere	V1	accolgono	criticano	accoglie	infinitive	18	SS
objrel_that	la contadina che la bambina accogliere difende l' amico	feminine	singular	feminine	singular			1328	accogliere	V1	accolgono	difendono	accoglie	infinitive	19	SS
objrel_that	il ragazzo che la donna accogliere difende la bambina	masculine	singular	feminine	singular			3377	accogliere	V1	accolgono	difendono	accoglie	infinitive	20	SS
objrel_that	lo studente che la sorella accogliere difende gli uomini	masculine	singular	feminine	singular			3498	accogliere	V1	accolgono	difendono	accoglie	infinitive	21	SS
objrel_that	il ragazzo che l' uomo accogliere difende le studentesse	masculine	singular	masculine	singular			3881	accogliere	V1	accolgono	difendono	accoglie	infinitive	22	SS
objrel_that	l' attrice che il padre accogliere evita i figli	feminine	singular	masculine	singular			1780	accogliere	V1	accolgono	evitano	accoglie	infinitive	23	SS
objrel_that	l' amica che il padre accogliere ferma le ragazze	feminine	singular	masculine	singular			1756	accogliere	V1	accolgono	fermano	accoglie	infinitive	24	SS
objrel_that	la sorella che il padre accogliere ferma le figlie	feminine	singular	masculine	singular			1955	accogliere	V1	accolgono	fermano	accoglie	infinitive	25	SS
objrel_that	il bambino che la studentessa accogliere ferma il padre	masculine	singular	feminine	singular			3274	accogliere	V1	accolgono	fermano	accoglie	infinitive	26	SS
objrel_that	l' attore che la sorella accogliere ferma le contadine	masculine	singular	feminine	singular			3441	accogliere	V1	accolgono	fermano	accoglie	infinitive	27	SS
objrel_that	il fratello che il padre accogliere guarda l' amica	masculine	singular	masculine	singular			3819	accogliere	V1	accolgono	guardano	accoglie	infinitive	28	SS
