a_Sentence_Type	b_Sentence	c_GenderN1	d_NumN1	e_GenderN2	f_NumN2	g_GenderN3	h_NumN3	i_NumFraseOrigine	j_New_word	k_Verb1	l_Verb2	m_Element_changed	n_Old_word	o_Violation_Type	p_number	q_condition
embedding_mental_SR	l' amica dice che la ragazza accogliere i bambini	feminine	singular	feminine	singular			1257	accogliere	dicono	accolgono	V2	accoglie	infinitive	1	SS
embedding_mental_SR	l' attrice dice che la bambina accogliere l' amico	feminine	singular	feminine	singular			1283	accogliere	dicono	accolgono	V2	accoglie	infinitive	2	SS
embedding_mental_SR	l' attrice dice che la contadina accogliere i padri	feminine	singular	feminine	singular			1285	accogliere	dicono	accolgono	V2	accoglie	infinitive	3	SS
embedding_mental_SR	l' attrice dice che la ragazza accogliere la figlia	feminine	singular	feminine	singular			1290	accogliere	dicono	accolgono	V2	accoglie	infinitive	4	SS
embedding_mental_SR	la madre dice che la studentessa accogliere le ragazze	feminine	singular	feminine	singular			1407	accogliere	dicono	accolgono	V2	accoglie	infinitive	5	SS
embedding_mental_SR	la ragazza dice che la studentessa accogliere le attrici	feminine	singular	feminine	singular			1435	accogliere	dicono	accolgono	V2	accoglie	infinitive	6	SS
embedding_mental_SR	la sorella dice che l' amica accogliere il figlio	feminine	singular	feminine	singular			1451	accogliere	dicono	accolgono	V2	accoglie	infinitive	7	SS
embedding_mental_SR	la sorella dice che la madre accogliere l' amico	feminine	singular	feminine	singular			1457	accogliere	dicono	accolgono	V2	accoglie	infinitive	8	SS
embedding_mental_SR	la bambina dice che l' amico accogliere le donne	feminine	singular	masculine	singular			1810	accogliere	dicono	accolgono	V2	accoglie	infinitive	9	SS
embedding_mental_SR	la donna dice che lo studente accogliere gli amici	feminine	singular	masculine	singular			1858	accogliere	dicono	accolgono	V2	accoglie	infinitive	10	SS
embedding_mental_SR	la figlia dice che il contadino accogliere l' attore	feminine	singular	masculine	singular			1875	accogliere	dicono	accolgono	V2	accoglie	infinitive	11	SS
embedding_mental_SR	la madre dice che il figlio accogliere i bambini	feminine	singular	masculine	singular			1905	accogliere	dicono	accolgono	V2	accoglie	infinitive	12	SS
embedding_mental_SR	la madre dice che l' uomo accogliere le ragazze	feminine	singular	masculine	singular			1910	accogliere	dicono	accolgono	V2	accoglie	infinitive	13	SS
embedding_mental_SR	la ragazza dice che l' attore accogliere la madre	feminine	singular	masculine	singular			1933	accogliere	dicono	accolgono	V2	accoglie	infinitive	14	SS
embedding_mental_SR	la sorella dice che l' amico accogliere la madre	feminine	singular	masculine	singular			1954	accogliere	dicono	accolgono	V2	accoglie	infinitive	15	SS
embedding_mental_SR	il bambino dice che la madre accogliere gli uomini	masculine	singular	feminine	singular			3254	accogliere	dicono	accolgono	V2	accoglie	infinitive	16	SS
embedding_mental_SR	il fratello dice che l' amica accogliere il padre	masculine	singular	feminine	singular			3307	accogliere	dicono	accolgono	V2	accoglie	infinitive	17	SS
embedding_mental_SR	il fratello dice che la ragazza accogliere l' uomo	masculine	singular	feminine	singular			3318	accogliere	dicono	accolgono	V2	accoglie	infinitive	18	SS
embedding_mental_SR	il padre dice che la sorella accogliere il bambino	masculine	singular	feminine	singular			3344	accogliere	dicono	accolgono	V2	accoglie	infinitive	19	SS
embedding_mental_SR	l' attore dice che la contadina accogliere le ragazze	masculine	singular	feminine	singular			3430	accogliere	dicono	accolgono	V2	accoglie	infinitive	20	SS
embedding_mental_SR	lo studente dice che la sorella accogliere l' attore	masculine	singular	feminine	singular			3482	accogliere	dicono	accolgono	V2	accoglie	infinitive	21	SS
embedding_mental_SR	il bambino dice che il fratello accogliere i figli	masculine	singular	masculine	singular			3757	accogliere	dicono	accolgono	V2	accoglie	infinitive	22	SS
embedding_mental_SR	il bambino dice che il fratello accogliere le ragazze	masculine	singular	masculine	singular			3758	accogliere	dicono	accolgono	V2	accoglie	infinitive	23	SS
embedding_mental_SR	il bambino dice che l' amico accogliere gli attori	masculine	singular	masculine	singular			3762	accogliere	dicono	accolgono	V2	accoglie	infinitive	24	SS
embedding_mental_SR	il figlio dice che il contadino accogliere la madre	masculine	singular	masculine	singular			3814	accogliere	dicono	accolgono	V2	accoglie	infinitive	25	SS
embedding_mental_SR	il figlio dice che l' amico accogliere le studentesse	masculine	singular	masculine	singular			3820	accogliere	dicono	accolgono	V2	accoglie	infinitive	26	SS
embedding_mental_SR	l' amico dice che l' uomo accogliere la studentessa	masculine	singular	masculine	singular			3916	accogliere	dicono	accolgono	V2	accoglie	infinitive	27	SS
embedding_mental_SR	l' attore dice che il bambino accogliere gli studenti	masculine	singular	masculine	singular			3930	accogliere	dicono	accolgono	V2	accoglie	infinitive	28	SS
embedding_mental_SR	la contadina dice che le attrici accogliere le figlie	feminine	singular	feminine	plural			1074	accogliere	dicono	accoglie	V2	accolgono	infinitive	29	SP
embedding_mental_SR	la donna dice che le contadine accogliere l' attore	feminine	singular	feminine	plural			1104	accogliere	dicono	accoglie	V2	accolgono	infinitive	30	SP
embedding_mental_SR	la donna dice che le ragazze accogliere le studentesse	feminine	singular	feminine	plural			1107	accogliere	dicono	accoglie	V2	accolgono	infinitive	31	SP
embedding_mental_SR	la sorella dice che le contadine accogliere l' amica	feminine	singular	feminine	plural			1195	accogliere	dicono	accoglie	V2	accolgono	infinitive	32	SP
embedding_mental_SR	l' amica dice che i figli accogliere l' attrice	feminine	singular	masculine	plural			1504	accogliere	dicono	accoglie	V2	accolgono	infinitive	33	SP
embedding_mental_SR	l' attrice dice che i ragazzi accogliere il bambino	feminine	singular	masculine	plural			1535	accogliere	dicono	accoglie	V2	accolgono	infinitive	34	SP
embedding_mental_SR	la ragazza dice che i contadini accogliere i bambini	feminine	singular	masculine	plural			1686	accogliere	dicono	accoglie	V2	accolgono	infinitive	35	SP
embedding_mental_SR	il fratello dice che le attrici accogliere il padre	masculine	singular	feminine	plural			3083	accogliere	dicono	accoglie	V2	accolgono	infinitive	36	SP
embedding_mental_SR	l' uomo dice che le figlie accogliere le donne	masculine	singular	feminine	plural			3204	accogliere	dicono	accoglie	V2	accolgono	infinitive	37	SP
embedding_mental_SR	il fratello dice che gli studenti accogliere il contadino	masculine	singular	masculine	plural			3587	accogliere	dicono	accoglie	V2	accolgono	infinitive	38	SP
embedding_mental_SR	il fratello dice che i bambini accogliere l' uomo	masculine	singular	masculine	plural			3592	accogliere	dicono	accoglie	V2	accolgono	infinitive	39	SP
embedding_mental_SR	il padre dice che gli attori accogliere la contadina	masculine	singular	masculine	plural			3607	accogliere	dicono	accoglie	V2	accolgono	infinitive	40	SP
embedding_mental_SR	il padre dice che gli studenti accogliere i figli	masculine	singular	masculine	plural			3610	accogliere	dicono	accoglie	V2	accolgono	infinitive	41	SP
embedding_mental_SR	il padre dice che gli uomini accogliere la sorella	masculine	singular	masculine	plural			3613	accogliere	dicono	accoglie	V2	accolgono	infinitive	42	SP
embedding_mental_SR	l' attore dice che i figli accogliere le sorelle	masculine	singular	masculine	plural			3687	accogliere	dicono	accoglie	V2	accolgono	infinitive	43	SP
embedding_mental_SR	la contadina dichiara che l' attrice accogliere le madri	feminine	singular	feminine	singular			1344	accogliere	dichiarano	accolgono	V2	accoglie	infinitive	44	SS
embedding_mental_SR	la ragazza dichiara che la bambina accogliere i padri	feminine	singular	feminine	singular			1437	accogliere	dichiarano	accolgono	V2	accoglie	infinitive	45	SS
embedding_mental_SR	l' amica dichiara che il bambino accogliere le sorelle	feminine	singular	masculine	singular			1758	accogliere	dichiarano	accolgono	V2	accoglie	infinitive	46	SS
embedding_mental_SR	l' attrice dichiara che il fratello accogliere le amiche	feminine	singular	masculine	singular			1794	accogliere	dichiarano	accolgono	V2	accoglie	infinitive	47	SS
embedding_mental_SR	l' attrice dichiara che l' uomo accogliere i bambini	feminine	singular	masculine	singular			1797	accogliere	dichiarano	accolgono	V2	accoglie	infinitive	48	SS
embedding_mental_SR	la ragazza dichiara che il contadino accogliere gli studenti	feminine	singular	masculine	singular			1934	accogliere	dichiarano	accolgono	V2	accoglie	infinitive	49	SS
embedding_mental_SR	la ragazza dichiara che il fratello accogliere i figli	feminine	singular	masculine	singular			1936	accogliere	dichiarano	accolgono	V2	accoglie	infinitive	50	SS
embedding_mental_SR	la studentessa dichiara che l' uomo accogliere le donne	feminine	singular	masculine	singular			1988	accogliere	dichiarano	accolgono	V2	accoglie	infinitive	51	SS
embedding_mental_SR	il fratello dichiara che la contadina accogliere la studentessa	masculine	singular	feminine	singular			3324	accogliere	dichiarano	accolgono	V2	accoglie	infinitive	52	SS
embedding_mental_SR	il ragazzo dichiara che l' attrice accogliere i figli	masculine	singular	feminine	singular			3384	accogliere	dichiarano	accolgono	V2	accoglie	infinitive	53	SS
embedding_mental_SR	l' amico dichiara che la madre accogliere i padri	masculine	singular	feminine	singular			3415	accogliere	dichiarano	accolgono	V2	accoglie	infinitive	54	SS
embedding_mental_SR	l' uomo dichiara che la sorella accogliere la figlia	masculine	singular	feminine	singular			3461	accogliere	dichiarano	accolgono	V2	accoglie	infinitive	55	SS
embedding_mental_SR	lo studente dichiara che la madre accogliere il contadino	masculine	singular	feminine	singular			3488	accogliere	dichiarano	accolgono	V2	accoglie	infinitive	56	SS
embedding_mental_SR	il figlio dichiara che l' amico accogliere l' uomo	masculine	singular	masculine	singular			3832	accogliere	dichiarano	accolgono	V2	accoglie	infinitive	57	SS
embedding_mental_SR	l' attore dichiara che l' uomo accogliere i ragazzi	masculine	singular	masculine	singular			3947	accogliere	dichiarano	accolgono	V2	accoglie	infinitive	58	SS
embedding_mental_SR	l' uomo dichiara che il bambino accogliere la donna	masculine	singular	masculine	singular			3959	accogliere	dichiarano	accolgono	V2	accoglie	infinitive	59	SS
embedding_mental_SR	la contadina dichiara che le madri accogliere i bambini	feminine	singular	feminine	plural			1089	accogliere	dichiarano	accoglie	V2	accolgono	infinitive	60	SP
embedding_mental_SR	la studentessa dichiara che le bambine accogliere le figlie	feminine	singular	feminine	plural			1239	accogliere	dichiarano	accoglie	V2	accolgono	infinitive	61	SP
embedding_mental_SR	la bambina dichiara che gli uomini accogliere i fratelli	feminine	singular	masculine	plural			1566	accogliere	dichiarano	accoglie	V2	accolgono	infinitive	62	SP
embedding_mental_SR	la bambina dichiara che i contadini accogliere il fratello	feminine	singular	masculine	plural			1568	accogliere	dichiarano	accoglie	V2	accolgono	infinitive	63	SP
embedding_mental_SR	la bambina dichiara che i ragazzi accogliere l' attore	feminine	singular	masculine	plural			1573	accogliere	dichiarano	accoglie	V2	accolgono	infinitive	64	SP
embedding_mental_SR	la donna dichiara che i contadini accogliere le attrici	feminine	singular	masculine	plural			1619	accogliere	dichiarano	accoglie	V2	accolgono	infinitive	65	SP
embedding_mental_SR	la figlia dichiara che gli uomini accogliere il fratello	feminine	singular	masculine	plural			1643	accogliere	dichiarano	accoglie	V2	accolgono	infinitive	66	SP
embedding_mental_SR	la madre dichiara che i figli accogliere i fratelli	feminine	singular	masculine	plural			1669	accogliere	dichiarano	accoglie	V2	accolgono	infinitive	67	SP
