a_Sentence_Type	b_Sentence	c_GenderN1	d_NumN1	e_GenderN2	f_NumN2	g_GenderN3	h_NumN3	i_NumFraseOrigine	j_New_word	k_Verb1	l_Verb2	m_Element_changed	n_Old_word	o_Violation_Type	p_number	q_condition
embedding_mental_SR	il bambino dice che il contadino ama gli uomini	masculine	singular	masculine	singular			1		dicono	amano			acceptable	1	SS
embedding_mental_SR	il bambino dice che il contadino ama le ragazze	masculine	singular	masculine	singular			2		dicono	amano			acceptable	2	SS
embedding_mental_SR	il bambino dice che il contadino attrae le madri	masculine	singular	masculine	singular			3		dicono	attraggono			acceptable	3	SS
embedding_mental_SR	il bambino dice che il contadino indica le sorelle	masculine	singular	masculine	singular			4		dicono	indicano			acceptable	4	SS
embedding_mental_SR	il bambino dice che il figlio blocca la donna	masculine	singular	masculine	singular			5		dicono	bloccano			acceptable	5	SS
embedding_mental_SR	il bambino dice che il figlio ignora i contadini	masculine	singular	masculine	singular			6		dicono	ignorano			acceptable	6	SS
embedding_mental_SR	il bambino dice che il fratello accoglie i figli	masculine	singular	masculine	singular			7		dicono	accolgono			acceptable	7	SS
embedding_mental_SR	il bambino dice che il fratello accoglie le ragazze	masculine	singular	masculine	singular			8		dicono	accolgono			acceptable	8	SS
embedding_mental_SR	il bambino dice che il fratello critica gli uomini	masculine	singular	masculine	singular			9		dicono	criticano			acceptable	9	SS
embedding_mental_SR	il bambino dice che il padre conosce le amiche	masculine	singular	masculine	singular			10		dicono	conoscono			acceptable	10	SS
embedding_mental_SR	il bambino dice che il padre osserva le studentesse	masculine	singular	masculine	singular			11		dicono	osservano			acceptable	11	SS
embedding_mental_SR	il bambino dice che l' amico accoglie gli attori	masculine	singular	masculine	singular			12		dicono	accolgono			acceptable	12	SS
embedding_mental_SR	il bambino dice che l' amico difende i contadini	masculine	singular	masculine	singular			13		dicono	difendono			acceptable	13	SS
embedding_mental_SR	il bambino dice che l' attore conosce la ragazza	masculine	singular	masculine	singular			14		dicono	conoscono			acceptable	14	SS
embedding_mental_SR	il bambino dice che l' attore ferma i padri	masculine	singular	masculine	singular			15		dicono	fermano			acceptable	15	SS
embedding_mental_SR	il bambino dice che l' attrice difende l' amico	masculine	singular	feminine	singular			16		dicono	difendono			acceptable	16	SS
embedding_mental_SR	il bambino dice che l' attrice ignora l' amica	masculine	singular	feminine	singular			17		dicono	ignorano			acceptable	17	SS
embedding_mental_SR	il bambino dice che l' attrice saluta il contadino	masculine	singular	feminine	singular			18		dicono	salutano			acceptable	18	SS
embedding_mental_SR	il bambino dice che l' uomo critica le ragazze	masculine	singular	masculine	singular			19		dicono	criticano			acceptable	19	SS
embedding_mental_SR	il bambino dice che l' uomo difende la ragazza	masculine	singular	masculine	singular			20		dicono	difendono			acceptable	20	SS
embedding_mental_SR	il bambino dice che la madre accoglie gli uomini	masculine	singular	feminine	singular			21		dicono	accolgono			acceptable	21	SS
embedding_mental_SR	il bambino dice che la madre critica la sorella	masculine	singular	feminine	singular			22		dicono	criticano			acceptable	22	SS
embedding_mental_SR	il bambino dice che la ragazza conosce la madre	masculine	singular	feminine	singular			23		dicono	conoscono			acceptable	23	SS
embedding_mental_SR	il bambino dice che la sorella incontra la contadina	masculine	singular	feminine	singular			24		dicono	incontrano			acceptable	24	SS
embedding_mental_SR	il bambino dichiara che il fratello interrompe le ragazze	masculine	singular	masculine	singular			25		dichiarano	interrompono			acceptable	25	SS
embedding_mental_SR	il bambino dichiara che il padre evita l' amico	masculine	singular	masculine	singular			26		dichiarano	evitano			acceptable	26	SS
embedding_mental_SR	il bambino dichiara che il ragazzo guarda il padre	masculine	singular	masculine	singular			27		dichiarano	guardano			acceptable	27	SS
embedding_mental_SR	il bambino dichiara che l' amico conosce il padre	masculine	singular	masculine	singular			28		dichiarano	conoscono			acceptable	28	SS
embedding_mental_SR	il bambino dichiara che la donna conosce le madri	masculine	singular	feminine	singular			29		dichiarano	conoscono			acceptable	29	SS
embedding_mental_SR	il bambino dichiara che la donna indica le figlie	masculine	singular	feminine	singular			30		dichiarano	indicano			acceptable	30	SS
embedding_mental_SR	il bambino dichiara che la figlia ferma il ragazzo	masculine	singular	feminine	singular			31		dichiarano	fermano			acceptable	31	SS
embedding_mental_SR	il bambino dichiara che la figlia guarda gli amici	masculine	singular	feminine	singular			32		dichiarano	guardano			acceptable	32	SS
embedding_mental_SR	il bambino dichiara che la ragazza ferma la contadina	masculine	singular	feminine	singular			33		dichiarano	fermano			acceptable	33	SS
embedding_mental_SR	il bambino dichiara che la sorella osserva le attrici	masculine	singular	feminine	singular			34		dichiarano	osservano			acceptable	34	SS
embedding_mental_SR	il bambino dichiara che la studentessa evita le figlie	masculine	singular	feminine	singular			35		dichiarano	evitano			acceptable	35	SS
embedding_mental_SR	il bambino dichiara che lo studente attrae la figlia	masculine	singular	masculine	singular			36		dichiarano	attraggono			acceptable	36	SS
embedding_mental_SR	il bambino ricorda che il figlio incontra le madri	masculine	singular	masculine	singular			37		ricordano	incontrano			acceptable	37	SS
embedding_mental_SR	il bambino ricorda che il padre osserva l' amico	masculine	singular	masculine	singular			38		ricordano	osservano			acceptable	38	SS
embedding_mental_SR	il bambino ricorda che il ragazzo indica il fratello	masculine	singular	masculine	singular			39		ricordano	indicano			acceptable	39	SS
embedding_mental_SR	il bambino ricorda che l' amica attrae i padri	masculine	singular	feminine	singular			40		ricordano	attraggono			acceptable	40	SS
embedding_mental_SR	il bambino ricorda che l' amica blocca il padre	masculine	singular	feminine	singular			41		ricordano	bloccano			acceptable	41	SS
embedding_mental_SR	il bambino ricorda che l' amica evita gli studenti	masculine	singular	feminine	singular			42		ricordano	evitano			acceptable	42	SS
embedding_mental_SR	il bambino ricorda che l' attore critica i ragazzi	masculine	singular	masculine	singular			43		ricordano	criticano			acceptable	43	SS
embedding_mental_SR	il bambino ricorda che l' attore evita i contadini	masculine	singular	masculine	singular			44		ricordano	evitano			acceptable	44	SS
embedding_mental_SR	il bambino ricorda che l' attore incontra l' amica	masculine	singular	masculine	singular			45		ricordano	incontrano			acceptable	45	SS
embedding_mental_SR	il bambino ricorda che l' attore saluta i fratelli	masculine	singular	masculine	singular			46		ricordano	salutano			acceptable	46	SS
embedding_mental_SR	il bambino ricorda che l' attrice osserva il contadino	masculine	singular	feminine	singular			47		ricordano	osservano			acceptable	47	SS
embedding_mental_SR	il bambino ricorda che la donna accoglie gli uomini	masculine	singular	feminine	singular			48		ricordano	accolgono			acceptable	48	SS
embedding_mental_SR	il bambino ricorda che la figlia accoglie i padri	masculine	singular	feminine	singular			49		ricordano	accolgono			acceptable	49	SS
embedding_mental_SR	il bambino ricorda che la ragazza ama la sorella	masculine	singular	feminine	singular			50		ricordano	amano			acceptable	50	SS
embedding_mental_SR	il bambino ricorda che la ragazza guarda la contadina	masculine	singular	feminine	singular			51		ricordano	guardano			acceptable	51	SS
embedding_mental_SR	il bambino ricorda che la ragazza incontra le donne	masculine	singular	feminine	singular			52		ricordano	incontrano			acceptable	52	SS
embedding_mental_SR	il bambino ricorda che la sorella osserva le attrici	masculine	singular	feminine	singular			53		ricordano	osservano			acceptable	53	SS
embedding_mental_SR	il bambino ricorda che la sorella saluta l' attore	masculine	singular	feminine	singular			54		ricordano	salutano			acceptable	54	SS
embedding_mental_SR	il bambino ricorda che la sorella saluta l' attore	masculine	singular	feminine	singular			55		ricordano	salutano			acceptable	55	SS
embedding_mental_SR	il contadino dice che il bambino osserva l' uomo	masculine	singular	masculine	singular			56		dicono	osservano			acceptable	56	SS
embedding_mental_SR	il contadino dice che il padre interrompe l' amica	masculine	singular	masculine	singular			57		dicono	interrompono			acceptable	57	SS
embedding_mental_SR	il contadino dice che il padre osserva l' attore	masculine	singular	masculine	singular			58		dicono	osservano			acceptable	58	SS
embedding_mental_SR	il contadino dice che il ragazzo attrae il fratello	masculine	singular	masculine	singular			59		dicono	attraggono			acceptable	59	SS
embedding_mental_SR	il contadino dice che l' amico interrompe le sorelle	masculine	singular	masculine	singular			60		dicono	interrompono			acceptable	60	SS
embedding_mental_SR	il contadino dice che l' attrice evita i figli	masculine	singular	feminine	singular			61		dicono	evitano			acceptable	61	SS
embedding_mental_SR	il contadino dice che l' uomo ama le madri	masculine	singular	masculine	singular			62		dicono	amano			acceptable	62	SS
embedding_mental_SR	il contadino dice che la madre saluta l' amica	masculine	singular	feminine	singular			63		dicono	salutano			acceptable	63	SS
embedding_mental_SR	il contadino dice che la sorella conosce l' attrice	masculine	singular	feminine	singular			64		dicono	conoscono			acceptable	64	SS
embedding_mental_SR	il contadino dice che la sorella osserva la bambina	masculine	singular	feminine	singular			65		dicono	osservano			acceptable	65	SS
embedding_mental_SR	il contadino dice che lo studente ama la sorella	masculine	singular	masculine	singular			66		dicono	amano			acceptable	66	SS
embedding_mental_SR	il contadino dice che lo studente conosce le madri	masculine	singular	masculine	singular			67		dicono	conoscono			acceptable	67	SS
embedding_mental_SR	il contadino dice che lo studente evita l' attore	masculine	singular	masculine	singular			68		dicono	evitano			acceptable	68	SS
embedding_mental_SR	il contadino dice che lo studente incontra i fratelli	masculine	singular	masculine	singular			69		dicono	incontrano			acceptable	69	SS
embedding_mental_SR	il contadino dichiara che il padre attrae la ragazza	masculine	singular	masculine	singular			70		dichiarano	attraggono			acceptable	70	SS
embedding_mental_SR	il contadino dichiara che il padre conosce l' attrice	masculine	singular	masculine	singular			71		dichiarano	conoscono			acceptable	71	SS
embedding_mental_SR	il contadino dichiara che il padre difende le ragazze	masculine	singular	masculine	singular			72		dichiarano	difendono			acceptable	72	SS
embedding_mental_SR	il contadino dichiara che il padre incontra le studentesse	masculine	singular	masculine	singular			73		dichiarano	incontrano			acceptable	73	SS
embedding_mental_SR	il contadino dichiara che il padre interrompe il fratello	masculine	singular	masculine	singular			74		dichiarano	interrompono			acceptable	74	SS
embedding_mental_SR	il contadino dichiara che l' amico interrompe la sorella	masculine	singular	masculine	singular			75		dichiarano	interrompono			acceptable	75	SS
embedding_mental_SR	il contadino dichiara che l' uomo guarda le donne	masculine	singular	masculine	singular			76		dichiarano	guardano			acceptable	76	SS
embedding_mental_SR	il contadino dichiara che la bambina blocca le attrici	masculine	singular	feminine	singular			77		dichiarano	bloccano			acceptable	77	SS
embedding_mental_SR	il contadino dichiara che la figlia ferma le ragazze	masculine	singular	feminine	singular			78		dichiarano	fermano			acceptable	78	SS
embedding_mental_SR	il contadino dichiara che la madre guarda gli amici	masculine	singular	feminine	singular			79		dichiarano	guardano			acceptable	79	SS
embedding_mental_SR	il contadino dichiara che la ragazza ama gli amici	masculine	singular	feminine	singular			80		dichiarano	amano			acceptable	80	SS
embedding_mental_SR	il contadino dichiara che la studentessa osserva il padre	masculine	singular	feminine	singular			81		dichiarano	osservano			acceptable	81	SS
embedding_mental_SR	il contadino dichiara che lo studente ama la sorella	masculine	singular	masculine	singular			82		dichiarano	amano			acceptable	82	SS
embedding_mental_SR	il contadino dichiara che lo studente evita le figlie	masculine	singular	masculine	singular			83		dichiarano	evitano			acceptable	83	SS
embedding_mental_SR	il contadino dichiara che lo studente indica le bambine	masculine	singular	masculine	singular			84		dichiarano	indicano			acceptable	84	SS
embedding_mental_SR	il contadino ricorda che il figlio ignora gli amici	masculine	singular	masculine	singular			85		ricordano	ignorano			acceptable	85	SS
embedding_mental_SR	il contadino ricorda che il figlio ignora gli attori	masculine	singular	masculine	singular			86		ricordano	ignorano			acceptable	86	SS
embedding_mental_SR	il contadino ricorda che il figlio indica le bambine	masculine	singular	masculine	singular			87		ricordano	indicano			acceptable	87	SS
embedding_mental_SR	il contadino ricorda che il figlio interrompe le amiche	masculine	singular	masculine	singular			88		ricordano	interrompono			acceptable	88	SS
embedding_mental_SR	il contadino ricorda che il fratello evita il ragazzo	masculine	singular	masculine	singular			89		ricordano	evitano			acceptable	89	SS
embedding_mental_SR	il contadino ricorda che il fratello evita la studentessa	masculine	singular	masculine	singular			90		ricordano	evitano			acceptable	90	SS
embedding_mental_SR	il contadino ricorda che il padre blocca gli studenti	masculine	singular	masculine	singular			91		ricordano	bloccano			acceptable	91	SS
embedding_mental_SR	il contadino ricorda che il ragazzo critica la sorella	masculine	singular	masculine	singular			92		ricordano	criticano			acceptable	92	SS
embedding_mental_SR	il contadino ricorda che l' amico guarda il bambino	masculine	singular	masculine	singular			93		ricordano	guardano			acceptable	93	SS
embedding_mental_SR	il contadino ricorda che l' attore critica le donne	masculine	singular	masculine	singular			94		ricordano	criticano			acceptable	94	SS
embedding_mental_SR	il contadino ricorda che l' uomo difende le madri	masculine	singular	masculine	singular			95		ricordano	difendono			acceptable	95	SS
embedding_mental_SR	il contadino ricorda che l' uomo ignora la figlia	masculine	singular	masculine	singular			96		ricordano	ignorano			acceptable	96	SS
embedding_mental_SR	il contadino ricorda che la figlia difende l' uomo	masculine	singular	feminine	singular			97		ricordano	difendono			acceptable	97	SS
embedding_mental_SR	il contadino ricorda che la figlia osserva l' uomo	masculine	singular	feminine	singular			98		ricordano	osservano			acceptable	98	SS
embedding_mental_SR	il contadino ricorda che la madre ama la donna	masculine	singular	feminine	singular			99		ricordano	amano			acceptable	99	SS
embedding_mental_SR	il contadino ricorda che la ragazza guarda gli attori	masculine	singular	feminine	singular			100		ricordano	guardano			acceptable	100	SS
embedding_mental_SR	il contadino ricorda che la sorella attrae l' amico	masculine	singular	feminine	singular			101		ricordano	attraggono			acceptable	101	SS
embedding_mental_SR	il contadino ricorda che la studentessa saluta le figlie	masculine	singular	feminine	singular			102		ricordano	salutano			acceptable	102	SS
embedding_mental_SR	il contadino ricorda che lo studente critica le donne	masculine	singular	masculine	singular			103		ricordano	criticano			acceptable	103	SS
embedding_mental_SR	il figlio dice che il bambino saluta i padri	masculine	singular	masculine	singular			104		dicono	salutano			acceptable	104	SS
embedding_mental_SR	il figlio dice che il contadino accoglie la madre	masculine	singular	masculine	singular			105		dicono	accolgono			acceptable	105	SS
embedding_mental_SR	il figlio dice che il contadino ama la ragazza	masculine	singular	masculine	singular			106		dicono	amano			acceptable	106	SS
embedding_mental_SR	il figlio dice che il contadino ignora la sorella	masculine	singular	masculine	singular			107		dicono	ignorano			acceptable	107	SS
embedding_mental_SR	il figlio dice che il contadino indica i ragazzi	masculine	singular	masculine	singular			108		dicono	indicano			acceptable	108	SS
embedding_mental_SR	il figlio dice che il padre saluta le attrici	masculine	singular	masculine	singular			109		dicono	salutano			acceptable	109	SS
embedding_mental_SR	il figlio dice che il ragazzo guarda la studentessa	masculine	singular	masculine	singular			110		dicono	guardano			acceptable	110	SS
embedding_mental_SR	il figlio dice che l' amica osserva i padri	masculine	singular	feminine	singular			111		dicono	osservano			acceptable	111	SS
embedding_mental_SR	il figlio dice che l' amico accoglie le studentesse	masculine	singular	masculine	singular			112		dicono	accolgono			acceptable	112	SS
embedding_mental_SR	il figlio dice che l' amico critica i bambini	masculine	singular	masculine	singular			113		dicono	criticano			acceptable	113	SS
embedding_mental_SR	il figlio dice che l' amico difende le studentesse	masculine	singular	masculine	singular			114		dicono	difendono			acceptable	114	SS
embedding_mental_SR	il figlio dice che l' amico indica l' attore	masculine	singular	masculine	singular			115		dicono	indicano			acceptable	115	SS
embedding_mental_SR	il figlio dice che l' attrice attrae le sorelle	masculine	singular	feminine	singular			116		dicono	attraggono			acceptable	116	SS
embedding_mental_SR	il figlio dice che l' uomo conosce la sorella	masculine	singular	masculine	singular			117		dicono	conoscono			acceptable	117	SS
embedding_mental_SR	il figlio dice che l' uomo critica la contadina	masculine	singular	masculine	singular			118		dicono	criticano			acceptable	118	SS
embedding_mental_SR	il figlio dice che la contadina indica la ragazza	masculine	singular	feminine	singular			119		dicono	indicano			acceptable	119	SS
embedding_mental_SR	il figlio dichiara che il bambino evita l' amica	masculine	singular	masculine	singular			120		dichiarano	evitano			acceptable	120	SS
embedding_mental_SR	il figlio dichiara che il fratello blocca le contadine	masculine	singular	masculine	singular			121		dichiarano	bloccano			acceptable	121	SS
embedding_mental_SR	il figlio dichiara che il padre ama la studentessa	masculine	singular	masculine	singular			122		dichiarano	amano			acceptable	122	SS
embedding_mental_SR	il figlio dichiara che il padre indica le madri	masculine	singular	masculine	singular			123		dichiarano	indicano			acceptable	123	SS
embedding_mental_SR	il figlio dichiara che il padre interrompe la sorella	masculine	singular	masculine	singular			124		dichiarano	interrompono			acceptable	124	SS
embedding_mental_SR	il figlio dichiara che il ragazzo attrae la sorella	masculine	singular	masculine	singular			125		dichiarano	attraggono			acceptable	125	SS
embedding_mental_SR	il figlio dichiara che l' amico accoglie l' uomo	masculine	singular	masculine	singular			126		dichiarano	accolgono			acceptable	126	SS
embedding_mental_SR	il figlio dichiara che l' amico ama le ragazze	masculine	singular	masculine	singular			127		dichiarano	amano			acceptable	127	SS
embedding_mental_SR	il figlio dichiara che l' attore interrompe il padre	masculine	singular	masculine	singular			128		dichiarano	interrompono			acceptable	128	SS
embedding_mental_SR	il figlio dichiara che l' uomo attrae il bambino	masculine	singular	masculine	singular			129		dichiarano	attraggono			acceptable	129	SS
embedding_mental_SR	il figlio dichiara che l' uomo interrompe il ragazzo	masculine	singular	masculine	singular			130		dichiarano	interrompono			acceptable	130	SS
embedding_mental_SR	il figlio dichiara che la bambina ama le donne	masculine	singular	feminine	singular			131		dichiarano	amano			acceptable	131	SS
embedding_mental_SR	il figlio dichiara che la bambina incontra le studentesse	masculine	singular	feminine	singular			132		dichiarano	incontrano			acceptable	132	SS
embedding_mental_SR	il figlio dichiara che la contadina conosce le sorelle	masculine	singular	feminine	singular			133		dichiarano	conoscono			acceptable	133	SS
embedding_mental_SR	il figlio dichiara che la donna conosce le ragazze	masculine	singular	feminine	singular			134		dichiarano	conoscono			acceptable	134	SS
embedding_mental_SR	il figlio dichiara che la donna critica il contadino	masculine	singular	feminine	singular			135		dichiarano	criticano			acceptable	135	SS
embedding_mental_SR	il figlio dichiara che la madre attrae la contadina	masculine	singular	feminine	singular			136		dichiarano	attraggono			acceptable	136	SS
embedding_mental_SR	il figlio dichiara che lo studente incontra gli attori	masculine	singular	masculine	singular			137		dichiarano	incontrano			acceptable	137	SS
embedding_mental_SR	il figlio ricorda che il bambino osserva le studentesse	masculine	singular	masculine	singular			138		ricordano	osservano			acceptable	138	SS
embedding_mental_SR	il figlio ricorda che il contadino ignora lo studente	masculine	singular	masculine	singular			139		ricordano	ignorano			acceptable	139	SS
embedding_mental_SR	il figlio ricorda che il fratello difende la ragazza	masculine	singular	masculine	singular			140		ricordano	difendono			acceptable	140	SS
embedding_mental_SR	il figlio ricorda che il ragazzo evita gli uomini	masculine	singular	masculine	singular			141		ricordano	evitano			acceptable	141	SS
embedding_mental_SR	il figlio ricorda che l' amico saluta il contadino	masculine	singular	masculine	singular			142		ricordano	salutano			acceptable	142	SS
embedding_mental_SR	il figlio ricorda che l' attrice incontra le amiche	masculine	singular	feminine	singular			143		ricordano	incontrano			acceptable	143	SS
embedding_mental_SR	il figlio ricorda che l' uomo conosce la sorella	masculine	singular	masculine	singular			144		ricordano	conoscono			acceptable	144	SS
embedding_mental_SR	il figlio ricorda che la donna ferma l' amica	masculine	singular	feminine	singular			145		ricordano	fermano			acceptable	145	SS
embedding_mental_SR	il figlio ricorda che la madre ferma le sorelle	masculine	singular	feminine	singular			146		ricordano	fermano			acceptable	146	SS
embedding_mental_SR	il figlio ricorda che la ragazza blocca i padri	masculine	singular	feminine	singular			147		ricordano	bloccano			acceptable	147	SS
embedding_mental_SR	il figlio ricorda che la ragazza conosce le amiche	masculine	singular	feminine	singular			148		ricordano	conoscono			acceptable	148	SS
embedding_mental_SR	il figlio ricorda che la sorella incontra le bambine	masculine	singular	feminine	singular			149		ricordano	incontrano			acceptable	149	SS
embedding_mental_SR	il fratello dice che il bambino indica la figlia	masculine	singular	masculine	singular			150		dicono	indicano			acceptable	150	SS
embedding_mental_SR	il fratello dice che il figlio attrae il padre	masculine	singular	masculine	singular			151		dicono	attraggono			acceptable	151	SS
embedding_mental_SR	il fratello dice che il padre critica gli uomini	masculine	singular	masculine	singular			152		dicono	criticano			acceptable	152	SS
embedding_mental_SR	il fratello dice che il padre indica l' attrice	masculine	singular	masculine	singular			153		dicono	indicano			acceptable	153	SS
embedding_mental_SR	il fratello dice che il padre indica gli studenti	masculine	singular	masculine	singular			154		dicono	indicano			acceptable	154	SS
embedding_mental_SR	il fratello dice che il ragazzo incontra le madri	masculine	singular	masculine	singular			155		dicono	incontrano			acceptable	155	SS
embedding_mental_SR	il fratello dice che l' amica accoglie il padre	masculine	singular	feminine	singular			156		dicono	accolgono			acceptable	156	SS
