a_Sentence_Type	b_Sentence	c_GenderN1	d_NumN1	e_GenderN2	f_NumN2	g_GenderN3	h_NumN3	i_NumFraseOrigine	j_New_word	k_Verb1	l_Verb2	m_Element_changed	n_Old_word	o_Violation_Type		p_number	q_condition
objrel_nounpp	la ragazza che il padre accanto alla sorella amica ama la donna	feminine	singular	masculine	singular	feminine	singular	1875	amica	accolgono	amano	1	accoglie	verb_noun		1	SSS
objrel_nounpp	la studentessa che la madre accanto all' attrice accoglie amica la figlia	feminine	singular	feminine	singular	feminine	singular	1385	amica	accolgono	difendono	2	difende	verb_noun		2	SSS
objrel_nounpp	il fratello che la ragazza vicino al figlio accoglie amica l' amica	masculine	singular	feminine	singular	masculine	singular	3493	amica	accolgono	fermano	2	ferma	verb_noun		3	SSS
objrel_nounpp	i figli che lo studente dietro al contadino accoglie amica l' amica	masculine	plural	masculine	singular	masculine	singular	2996	amica	accolgono	conosce	2	conoscono	verb_noun		4	PSS
objrel_nounpp	le donne che la bambina accanto alle contadine accoglie amica le ragazze	feminine	plural	feminine	singular	feminine	plural	276	amica	accolgono	difende	2	difendono	verb_noun		5	PSP
objrel_nounpp	gli studenti che l' attrice vicino al fratello accoglie amica il ragazzo	masculine	plural	feminine	singular	masculine	singular	2474	amica	accolgono	indica	2	indicano	verb_noun		6	PSS
objrel_nounpp	i figli che l' attore dietro ai bambini accoglie amica gli amici	masculine	plural	masculine	singular	masculine	plural	2945	amica	accolgono	interrompe	2	interrompono	verb_noun		7	PSP
objrel_nounpp	le sorelle che la figlia accanto alle donne amica osservano l' uomo	feminine	plural	feminine	singular	feminine	plural	306	amica	accolgono	osserva	1	accoglie	verb_noun		8	PSP
objrel_nounpp	la bambina che la studentessa davanti all' attore amica difende i contadini	feminine	singular	feminine	singular	masculine	singular	1474	amica	amano	difendono	1	ama	verb_noun		9	SSS
objrel_nounpp	la contadina che l' attore vicino alla studentessa amica ferma la madre	feminine	singular	masculine	singular	feminine	singular	1852	amica	amano	fermano	1	ama	verb_noun		10	SSS
objrel_nounpp	il fratello che l' attore accanto ai padri ama amica le bambine	masculine	singular	masculine	singular	masculine	plural	3930	amica	amano	incontrano	2	incontra	verb_noun		11	SSP
objrel_nounpp	lo studente che la ragazza davanti alle figlie ama amica gli amici	masculine	singular	feminine	singular	feminine	plural	3339	amica	amano	indicano	2	indica	verb_noun		12	SSP
objrel_nounpp	le sorelle che il contadino dietro alla studentessa ama amica l' attrice	feminine	plural	masculine	singular	feminine	singular	877	amica	amano	blocca	2	bloccano	verb_noun		13	PSS
objrel_nounpp	i padri che la sorella dietro all' uomo ama amica i figli	masculine	plural	feminine	singular	masculine	singular	2516	amica	amano	difende	2	difendono	verb_noun		14	PSS
objrel_nounpp	le madri che la contadina accanto alle figlie amica interrompono i padri	feminine	plural	feminine	singular	feminine	plural	293	amica	amano	interrompe	1	ama	verb_noun		15	PSP
objrel_nounpp	la donna che l' attrice accanto alle sorelle amica ama le studentesse	feminine	singular	feminine	singular	feminine	plural	1282	amica	attraggono	amano	1	attrae	verb_noun		16	SSP
objrel_nounpp	l' attrice che il fratello davanti alla bambina attrae amica l' amico	feminine	singular	masculine	singular	feminine	singular	1837	amica	attraggono	amano	2	ama	verb_noun		17	SSS
objrel_nounpp	l' attore che il figlio davanti alla ragazza attrae amica il padre	masculine	singular	masculine	singular	feminine	singular	3891	amica	attraggono	amano	2	ama	verb_noun		18	SSS
objrel_nounpp	il fratello che l' attore davanti agli studenti amica osserva la madre	masculine	singular	masculine	singular	masculine	plural	3931	amica	attraggono	osservano	1	attrae	verb_noun		19	SSP
objrel_nounpp	la madre che l' attrice accanto al ragazzo amica ricorda la bambina	feminine	singular	feminine	singular	masculine	singular	1491	amica	attraggono	ricordano	1	attrae	verb_noun		20	SSS
objrel_nounpp	la ragazza che la sorella davanti ai padri blocca amica la figlia	feminine	singular	feminine	singular	masculine	plural	1430	amica	bloccano	salutano	2	saluta	verb_noun		21	SSP
objrel_nounpp	i bambini che la madre vicino ai ragazzi blocca amica il fratello	masculine	plural	feminine	singular	masculine	plural	2421	amica	bloccano	accoglie	2	accolgono	verb_noun		22	PSP
objrel_nounpp	i bambini che il fratello davanti ai figli blocca amica gli uomini	masculine	plural	masculine	singular	masculine	plural	2926	amica	bloccano	interrompe	2	interrompono	verb_noun		23	PSP
objrel_nounpp	la contadina che il bambino accanto al figlio conosce amica le ragazze	feminine	singular	masculine	singular	masculine	singular	1968	amica	conoscono	accolgono	2	accoglie	verb_noun		24	SSS
objrel_nounpp	l' uomo che la sorella dietro alla figlia amica difende il bambino	masculine	singular	feminine	singular	feminine	singular	3395	amica	conoscono	difendono	1	conosce	verb_noun		25	SSS
objrel_nounpp	la donna che l' attore accanto agli studenti conosce amica il padre	feminine	singular	masculine	singular	masculine	plural	1919	amica	conoscono	fermano	2	ferma	verb_noun		26	SSP
objrel_nounpp	l' attrice che la ragazza vicino alla figlia amica ignora la madre	feminine	singular	feminine	singular	feminine	singular	1335	amica	conoscono	ignorano	1	conosce	verb_noun		27	SSS
objrel_nounpp	l' uomo che la figlia davanti alle sorelle conosce amica la donna	masculine	singular	feminine	singular	feminine	plural	3332	amica	conoscono	osservano	2	osserva	verb_noun		28	SSP
objrel_nounpp	gli uomini che lo studente dietro alle contadine conosce amica le ragazze	masculine	plural	masculine	singular	feminine	plural	2799	amica	conoscono	attrae	2	attraggono	verb_noun		29	PSP
objrel_nounpp	le attrici che il fratello davanti al padre amica bloccano i figli	feminine	plural	masculine	singular	masculine	singular	956	amica	conoscono	blocca	1	conosce	verb_noun		30	PSS
objrel_nounpp	gli uomini che la ragazza dietro alle studentesse amica difendono l' amica	masculine	plural	feminine	singular	feminine	plural	2288	amica	conoscono	difende	1	conosce	verb_noun		31	PSP
objrel_nounpp	le figlie che il ragazzo dietro all' attrice conosce amica i fratelli	feminine	plural	masculine	singular	feminine	singular	865	amica	conoscono	guarda	2	guardano	verb_noun		32	PSS
objrel_nounpp	le donne che il fratello dietro alle attrici amica salutano il bambino	feminine	plural	masculine	singular	feminine	plural	783	amica	conoscono	saluta	1	conosce	verb_noun		33	PSP
objrel_nounpp	la ragazza che lo studente vicino all' attrice amica difende il padre	feminine	singular	masculine	singular	feminine	singular	1880	amica	criticano	difendono	1	critica	verb_noun		34	SSS
objrel_nounpp	il padre che il figlio dietro agli uomini critica amica gli studenti	masculine	singular	masculine	singular	masculine	plural	3933	amica	criticano	guardano	2	guarda	verb_noun		35	SSP
objrel_nounpp	il figlio che la bambina dietro ai ragazzi critica amica l' attore	masculine	singular	feminine	singular	masculine	plural	3419	amica	criticano	osservano	2	osserva	verb_noun		36	SSP
objrel_nounpp	l' uomo che il fratello accanto agli attori critica amica le contadine	masculine	singular	masculine	singular	masculine	plural	3954	amica	criticano	ricordano	2	ricorda	verb_noun		37	SSP
objrel_nounpp	gli attori che la figlia davanti all' uomo critica amica il fratello	masculine	plural	feminine	singular	masculine	singular	2466	amica	criticano	blocca	2	bloccano	verb_noun		38	PSS
objrel_nounpp	i contadini che la madre accanto alle ragazze critica amica la figlia	masculine	plural	feminine	singular	feminine	plural	2303	amica	criticano	incontra	2	incontrano	verb_noun		39	PSP
objrel_nounpp	i figli che la bambina vicino al padre amica incontrano la studentessa	masculine	plural	feminine	singular	masculine	singular	2501	amica	criticano	incontra	1	critica	verb_noun		40	PSS
objrel_nounpp	le donne che la studentessa accanto alle attrici amica salutano il bambino	feminine	plural	feminine	singular	feminine	plural	281	amica	criticano	saluta	1	critica	verb_noun		41	PSP
objrel_nounpp	le madri che il bambino dietro agli attori critica amica lo studente	feminine	plural	masculine	singular	masculine	plural	918	amica	criticano	saluta	2	salutano	verb_noun		42	PSP
objrel_nounpp	il figlio che il padre vicino al ragazzo difende amica le contadine	masculine	singular	masculine	singular	masculine	singular	3979	amica	difendono	amano	2	ama	verb_noun		43	SSS
objrel_nounpp	il ragazzo che il bambino vicino alle figlie amica attrae i contadini	masculine	singular	masculine	singular	feminine	plural	3811	amica	difendono	attraggono	1	difende	verb_noun		44	SSP
objrel_nounpp	il fratello che la madre dietro al ragazzo difende amica gli uomini	masculine	singular	feminine	singular	masculine	singular	3492	amica	difendono	indicano	2	indica	verb_noun		45	SSS
objrel_nounpp	le figlie che l' attore davanti alle ragazze difende amica la studentessa	feminine	plural	masculine	singular	feminine	plural	791	amica	difendono	accoglie	2	accolgono	verb_noun		46	PSP
objrel_nounpp	l' uomo che la madre dietro alle attrici evita amica le donne	masculine	singular	feminine	singular	feminine	plural	3334	amica	evitano	accolgono	2	accoglie	verb_noun		47	SSP
objrel_nounpp	il contadino che l' attrice accanto agli uomini amica saluta la sorella	masculine	singular	feminine	singular	masculine	plural	3412	amica	evitano	salutano	1	evita	verb_noun		48	SSP
objrel_nounpp	le contadine che la madre vicino ai figli amica bloccano gli uomini	feminine	plural	feminine	singular	masculine	plural	398	amica	evitano	blocca	1	evita	verb_noun		49	PSP
objrel_nounpp	gli attori che il ragazzo dietro al fratello amica ignorano i bambini	masculine	plural	masculine	singular	masculine	singular	2968	amica	evitano	ignora	1	evita	verb_noun		50	PSS
objrel_nounpp	i contadini che la bambina vicino alla donna evita amica l' attrice	masculine	plural	feminine	singular	feminine	singular	2361	amica	evitano	indica	2	indicano	verb_noun		51	PSS
objrel_nounpp	le contadine che il padre accanto alle figlie amica interrompono lo studente	feminine	plural	masculine	singular	feminine	plural	777	amica	evitano	interrompe	1	evita	verb_noun		52	PSP
objrel_nounpp	la ragazza che lo studente vicino all' uomo ferma amica l' attrice	feminine	singular	masculine	singular	masculine	singular	1998	amica	fermano	accolgono	2	accoglie	verb_noun		53	SSS
objrel_nounpp	il fratello che l' attore accanto al figlio ferma amica i contadini	masculine	singular	masculine	singular	masculine	singular	3988	amica	fermano	attraggono	2	attrae	verb_noun		54	SSS
objrel_nounpp	la figlia che la studentessa vicino alle bambine ferma amica i fratelli	feminine	singular	feminine	singular	feminine	plural	1297	amica	fermano	evitano	2	evita	verb_noun		55	SSP
objrel_nounpp	la donna che la bambina vicino alla ragazza amica ignora i padri	feminine	singular	feminine	singular	feminine	singular	1349	amica	fermano	ignorano	1	ferma	verb_noun		56	SSS
objrel_nounpp	le studentesse che il bambino accanto alla figlia ferma amica le donne	feminine	plural	masculine	singular	feminine	singular	880	amica	fermano	blocca	2	bloccano	verb_noun		57	PSS
objrel_nounpp	le ragazze che la donna vicino ai contadini amica indicano gli attori	feminine	plural	feminine	singular	masculine	plural	418	amica	fermano	indica	1	ferma	verb_noun		58	PSP
objrel_nounpp	il padre che la sorella davanti alle studentesse guarda amica i fratelli	masculine	singular	feminine	singular	feminine	plural	3309	amica	guardano	accolgono	2	accoglie	verb_noun		59	SSP
objrel_nounpp	il bambino che l' attore dietro ai padri guarda amica i fratelli	masculine	singular	masculine	singular	masculine	plural	3914	amica	guardano	amano	2	ama	verb_noun		60	SSP
objrel_nounpp	l' uomo che il padre vicino allo studente amica blocca le sorelle	masculine	singular	masculine	singular	masculine	singular	4021	amica	guardano	bloccano	1	guarda	verb_noun		61	SSS
objrel_nounpp	la sorella che lo studente vicino alle donne amica interrompe la contadina	feminine	singular	masculine	singular	feminine	plural	1822	amica	guardano	interrompono	1	guarda	verb_noun		62	SSP
objrel_nounpp	il padre che la donna vicino alla sorella guarda amica la contadina	masculine	singular	feminine	singular	feminine	singular	3373	amica	guardano	interrompono	2	interrompe	verb_noun		63	SSS
objrel_nounpp	gli attori che il contadino davanti alle madri amica amano la bambina	masculine	plural	masculine	singular	feminine	plural	2777	amica	guardano	ama	1	guarda	verb_noun		64	PSP
objrel_nounpp	i padri che la donna accanto all' attore guarda amica le studentesse	masculine	plural	feminine	singular	masculine	singular	2512	amica	guardano	critica	2	criticano	verb_noun		65	PSS
objrel_nounpp	i padri che la figlia dietro alla bambina amica fermano la madre	masculine	plural	feminine	singular	feminine	singular	2387	amica	guardano	ferma	1	guarda	verb_noun		66	PSS
objrel_nounpp	la ragazza che la figlia accanto ai bambini amica blocca i padri	feminine	singular	feminine	singular	masculine	plural	1423	amica	ignorano	bloccano	1	ignora	verb_noun		67	SSP
