a_Sentence_Type	b_Sentence	c_GenderN1	d_NumN1	e_GenderN2	f_NumN2	g_GenderN3	h_NumN3	i_NumFraseOrigine	j_New_word	k_Verb1	l_Verb2	m_Element_changed	n_Old_word	o_Violation_Type	p_number	q_condition
embedding_mental	i compassi dichiarano che le donne vicino alle bambine evitano gli studenti	masculine	plural	feminine	plural	feminine	plural	2017	compassi	dichiara	evita	1	gliamici	inanimate	1	PPP
embedding_mental	i compassi dichiarano che le studentesse dietro alle contadine ignorano l' uomo	masculine	plural	feminine	plural	feminine	plural	2019	compassi	dichiara	ignora	1	gliamici	inanimate	2	PPP
embedding_mental	i compassi dicono che le attrici vicino alle studentesse difendono i figli	masculine	plural	feminine	plural	feminine	plural	2022	compassi	dice	difende	1	gliamici	inanimate	3	PPP
embedding_mental	i compassi dicono che le figlie vicino alle ragazze incontrano i padri	masculine	plural	feminine	plural	feminine	plural	2032	compassi	dice	incontra	1	gliattori	inanimate	4	PPP
embedding_mental	i compassi ricordano che le madri dietro alle sorelle evitano la contadina	masculine	plural	feminine	plural	feminine	plural	2034	compassi	ricorda	evita	1	gliattori	inanimate	5	PPP
embedding_mental	i compassi ricordano che le contadine vicino alle figlie conoscono gli amici	masculine	plural	feminine	plural	feminine	plural	2043	compassi	ricorda	conosce	1	gliuomini	inanimate	6	PPP
embedding_mental	i compassi dicono che le figlie vicino alle sorelle difendono i bambini	masculine	plural	feminine	plural	feminine	plural	2053	compassi	dice	difende	1	icontadini	inanimate	7	PPP
embedding_mental	i compassi dicono che le ragazze accanto alle attrici incontrano il bambino	masculine	plural	feminine	plural	feminine	plural	2054	compassi	dice	incontra	1	icontadini	inanimate	8	PPP
embedding_mental	i compassi dicono che le amiche davanti alle studentesse salutano il padre	masculine	plural	feminine	plural	feminine	plural	2064	compassi	dice	saluta	1	ifigli	inanimate	9	PPP
embedding_mental	i compassi dicono che le ragazze davanti alle bambine conoscono le sorelle	masculine	plural	feminine	plural	feminine	plural	2065	compassi	dice	conosce	1	ifigli	inanimate	10	PPP
embedding_mental	i compassi dichiarano che le amiche davanti alle donne salutano il ragazzo	masculine	plural	feminine	plural	feminine	plural	2068	compassi	dichiara	saluta	1	ifratelli	inanimate	11	PPP
embedding_mental	i compassi dichiarano che le bambine vicino alle madri accolgono il ragazzo	masculine	plural	feminine	plural	feminine	plural	2069	compassi	dichiara	accoglie	1	ifratelli	inanimate	12	PPP
embedding_mental	i compassi dichiarano che le ragazze accanto alle donne conoscono il padre	masculine	plural	feminine	plural	feminine	plural	2070	compassi	dichiara	conosce	1	ifratelli	inanimate	13	PPP
embedding_mental	i compassi dichiarano che le donne vicino alle attrici criticano il figlio	masculine	plural	feminine	plural	feminine	plural	2075	compassi	dichiara	critica	1	iragazzi	inanimate	14	PPP
embedding_mental	i compassi dichiarano che le contadine dietro alla figlia indicano la donna	masculine	plural	feminine	plural	feminine	singular	2080	compassi	dichiara	indica	1	gliamici	inanimate	15	PPS
embedding_mental	i compassi dicono che le sorelle vicino alla figlia criticano la madre	masculine	plural	feminine	plural	feminine	singular	2084	compassi	dice	critica	1	gliamici	inanimate	16	PPS
embedding_mental	i compassi dicono che le bambine accanto alla donna evitano l' amica	masculine	plural	feminine	plural	feminine	singular	2090	compassi	dice	evita	1	gliattori	inanimate	17	PPS
embedding_mental	i compassi ricordano che le figlie accanto all' amica guardano il contadino	masculine	plural	feminine	plural	feminine	singular	2094	compassi	ricorda	guarda	1	gliattori	inanimate	18	PPS
embedding_mental	i compassi dicono che le madri dietro alla figlia conoscono l' amica	masculine	plural	feminine	plural	feminine	singular	2098	compassi	dice	conosce	1	glistudenti	inanimate	19	PPS
embedding_mental	i compassi dichiarano che le studentesse accanto alla donna conoscono i ragazzi	masculine	plural	feminine	plural	feminine	singular	2108	compassi	dichiara	conosce	1	ibambini	inanimate	20	PPS
embedding_mental	i compassi dicono che le madri accanto alla donna attraggono i fratelli	masculine	plural	feminine	plural	feminine	singular	2117	compassi	dice	attrae	1	icontadini	inanimate	21	PPS
embedding_mental	i compassi dichiarano che le attrici vicino alla bambina incontrano i figli	masculine	plural	feminine	plural	feminine	singular	2126	compassi	dichiara	incontra	1	ifratelli	inanimate	22	PPS
embedding_mental	i compassi dicono che le madri davanti all' attrice interrompono le ragazze	masculine	plural	feminine	plural	feminine	singular	2131	compassi	dice	interrompe	1	ifratelli	inanimate	23	PPS
embedding_mental	i compassi dichiarano che le bambine accanto ai fratelli amano la sorella	masculine	plural	feminine	plural	masculine	plural	2144	compassi	dichiara	ama	1	gliamici	inanimate	24	PPP
embedding_mental	i compassi dicono che le bambine dietro agli uomini conoscono le sorelle	masculine	plural	feminine	plural	masculine	plural	2149	compassi	dice	conosce	1	gliattori	inanimate	25	PPP
embedding_mental	i compassi ricordano che le studentesse davanti ai figli bloccano le sorelle	masculine	plural	feminine	plural	masculine	plural	2154	compassi	ricorda	blocca	1	gliattori	inanimate	26	PPP
embedding_mental	i compassi ricordano che le bambine vicino agli uomini evitano l' attore	masculine	plural	feminine	plural	masculine	plural	2157	compassi	ricorda	evita	1	glistudenti	inanimate	27	PPP
embedding_mental	i compassi dichiarano che le studentesse vicino ai bambini evitano i fratelli	masculine	plural	feminine	plural	masculine	plural	2160	compassi	dichiara	evita	1	gliuomini	inanimate	28	PPP
embedding_mental	i compassi ricordano che le contadine davanti ai figli fermano le bambine	masculine	plural	feminine	plural	masculine	plural	2162	compassi	ricorda	ferma	1	gliuomini	inanimate	29	PPP
embedding_mental	i compassi dichiarano che le studentesse accanto ai figli evitano l' amica	masculine	plural	feminine	plural	masculine	plural	2164	compassi	dichiara	evita	1	ibambini	inanimate	30	PPP
embedding_mental	i compassi dichiarano che le sorelle dietro agli amici ignorano la figlia	masculine	plural	feminine	plural	masculine	plural	2170	compassi	dichiara	ignora	1	icontadini	inanimate	31	PPP
embedding_mental	i compassi dicono che le amiche vicino ai bambini ignorano gli studenti	masculine	plural	feminine	plural	masculine	plural	2172	compassi	dice	ignora	1	icontadini	inanimate	32	PPP
embedding_mental	i compassi ricordano che le ragazze davanti agli attori ignorano i figli	masculine	plural	feminine	plural	masculine	plural	2175	compassi	ricorda	ignora	1	icontadini	inanimate	33	PPP
embedding_mental	i compassi dicono che le ragazze davanti ai fratelli indicano i contadini	masculine	plural	feminine	plural	masculine	plural	2178	compassi	dice	indica	1	ifigli	inanimate	34	PPP
embedding_mental	i compassi ricordano che le ragazze davanti agli amici salutano l' attore	masculine	plural	feminine	plural	masculine	plural	2183	compassi	ricorda	saluta	1	ifigli	inanimate	35	PPP
embedding_mental	i compassi dicono che le donne accanto ai contadini incontrano gli amici	masculine	plural	feminine	plural	masculine	plural	2196	compassi	dice	incontra	1	ipadri	inanimate	36	PPP
embedding_mental	i compassi dicono che le studentesse accanto ai ragazzi amano il contadino	masculine	plural	feminine	plural	masculine	plural	2197	compassi	dice	ama	1	ipadri	inanimate	37	PPP
embedding_mental	i compassi ricordano che le figlie accanto agli amici evitano le bambine	masculine	plural	feminine	plural	masculine	plural	2198	compassi	ricorda	evita	1	ipadri	inanimate	38	PPP
embedding_mental	i compassi dicono che le madri vicino agli studenti amano i bambini	masculine	plural	feminine	plural	masculine	plural	2202	compassi	dice	ama	1	iragazzi	inanimate	39	PPP
embedding_mental	i compassi dicono che le studentesse vicino ai fratelli conoscono le figlie	masculine	plural	feminine	plural	masculine	plural	2203	compassi	dice	conosce	1	iragazzi	inanimate	40	PPP
embedding_mental	i compassi dicono che le studentesse vicino ai fratelli indicano le amiche	masculine	plural	feminine	plural	masculine	plural	2204	compassi	dice	indica	1	iragazzi	inanimate	41	PPP
embedding_mental	i compassi dichiarano che le donne davanti al contadino attraggono le sorelle	masculine	plural	feminine	plural	masculine	singular	2206	compassi	dichiara	attrae	1	gliamici	inanimate	42	PPS
embedding_mental	i compassi dichiarano che le madri davanti al contadino interrompono il bambino	masculine	plural	feminine	plural	masculine	singular	2207	compassi	dichiara	interrompe	1	gliamici	inanimate	43	PPS
embedding_mental	i compassi ricordano che le studentesse davanti al padre ignorano il figlio	masculine	plural	feminine	plural	masculine	singular	2210	compassi	ricorda	ignora	1	gliamici	inanimate	44	PPS
embedding_mental	i compassi dichiarano che le contadine accanto all' amico accolgono il bambino	masculine	plural	feminine	plural	masculine	singular	2212	compassi	dichiara	accoglie	1	gliattori	inanimate	45	PPS
embedding_mental	i compassi ricordano che le attrici vicino al padre indicano le sorelle	masculine	plural	feminine	plural	masculine	singular	2222	compassi	ricorda	indica	1	glistudenti	inanimate	46	PPS
embedding_mental	i compassi ricordano che le bambine vicino al figlio amano le attrici	masculine	plural	feminine	plural	masculine	singular	2225	compassi	ricorda	ama	1	gliuomini	inanimate	47	PPS
embedding_mental	i compassi dicono che le figlie accanto all' uomo salutano la ragazza	masculine	plural	feminine	plural	masculine	singular	2235	compassi	dice	saluta	1	icontadini	inanimate	48	PPS
embedding_mental	i compassi dichiarano che le sorelle davanti al ragazzo osservano gli amici	masculine	plural	feminine	plural	masculine	singular	2242	compassi	dichiara	osserva	1	ifigli	inanimate	49	PPS
embedding_mental	i compassi dicono che le figlie vicino all' attore amano la madre	masculine	plural	feminine	plural	masculine	singular	2256	compassi	dice	ama	1	ifratelli	inanimate	50	PPS
embedding_mental	i compassi dicono che le studentesse accanto all' attore salutano le amiche	masculine	plural	feminine	plural	masculine	singular	2257	compassi	dice	saluta	1	ifratelli	inanimate	51	PPS
embedding_mental	i compassi dichiarano che le amiche accanto allo studente conoscono la figlia	masculine	plural	feminine	plural	masculine	singular	2259	compassi	dichiara	conosce	1	ipadri	inanimate	52	PPS
embedding_mental	i compassi ricordano che le bambine vicino al fratello guardano i ragazzi	masculine	plural	feminine	plural	masculine	singular	2261	compassi	ricorda	guarda	1	ipadri	inanimate	53	PPS
embedding_mental	i compassi ricordano che le studentesse dietro al contadino interrompono i fratelli	masculine	plural	feminine	plural	masculine	singular	2264	compassi	ricorda	interrompe	1	ipadri	inanimate	54	PPS
embedding_mental	i compassi ricordano che la studentessa vicino alle bambine accoglie i ragazzi	masculine	plural	feminine	singular	feminine	plural	2275	compassi	ricorda	accolgono	1	gliamici	inanimate	55	PSP
