a_Sentence_Type	b_Sentence	c_GenderN1	d_NumN1	e_GenderN2	f_NumN2	g_GenderN3	h_NumN3	i_NumFraseOrigine	j_New_word	k_Verb1	l_Verb2	m_Element_changed	n_Old_word	o_Violation_Type	p_number	q_condition
objrel_that	il ragazzo che il bambino amica attrae la studentessa	masculine	singular	masculine	singular			3857	amica	accolgono	attraggono	V1	accoglie	verb_noun	1	SS
objrel_that	il bambino che la studentessa amica ferma il padre	masculine	singular	feminine	singular			3274	amica	accolgono	fermano	V1	accoglie	verb_noun	2	SS
objrel_that	il padre che la donna accoglie amica il bambino	masculine	singular	feminine	singular			3344	amica	accolgono	salutano	V2	saluta	verb_noun	3	SS
objrel_that	gli attori che la contadina accoglie amica la bambina	masculine	plural	feminine	singular			2273	amica	accolgono	attrae	V2	attraggono	verb_noun	4	PS
objrel_that	i padri che l' uomo accoglie amica la madre	masculine	plural	masculine	singular			2974	amica	accolgono	critica	V2	criticano	verb_noun	5	PS
objrel_that	le contadine che la figlia amica ignorano la sorella	feminine	plural	feminine	singular			335	amica	accolgono	ignora	V1	accoglie	verb_noun	6	PS
objrel_that	la sorella che il padre ama amica il bambino	feminine	singular	masculine	singular			1956	amica	amano	fermano	V2	ferma	verb_noun	7	SS
objrel_that	la donna che il figlio amica incontra l' uomo	feminine	singular	masculine	singular			1851	amica	amano	incontrano	V1	ama	verb_noun	8	SS
objrel_that	lo studente che il bambino ama amica il contadino	masculine	singular	masculine	singular			3966	amica	amano	ricordano	V2	ricorda	verb_noun	9	SS
objrel_that	le attrici che la sorella amica bloccano i figli	feminine	plural	feminine	singular			289	amica	amano	blocca	V1	ama	verb_noun	10	PS
objrel_that	la bambina che il contadino attrae amica gli uomini	feminine	singular	masculine	singular			1795	amica	attraggono	amano	V2	ama	verb_noun	11	SS
objrel_that	l' attore che il padre attrae amica le figlie	masculine	singular	masculine	singular			3924	amica	attraggono	evitano	V2	evita	verb_noun	12	SS
objrel_that	il figlio che la bambina attrae amica le contadine	masculine	singular	feminine	singular			3295	amica	attraggono	guardano	V2	guarda	verb_noun	13	SS
objrel_that	il figlio che la contadina attrae amica l' amica	masculine	singular	feminine	singular			3298	amica	attraggono	ricordano	V2	ricorda	verb_noun	14	SS
objrel_that	i bambini che la ragazza amica ignorano le amiche	masculine	plural	feminine	singular			2364	amica	attraggono	ignora	V1	attrae	verb_noun	15	PS
objrel_that	le ragazze che la madre amica interrompono gli studenti	feminine	plural	feminine	singular			437	amica	attraggono	interrompe	V1	attrae	verb_noun	16	PS
objrel_that	la donna che il figlio blocca amica lo studente	feminine	singular	masculine	singular			1852	amica	bloccano	ricordano	V2	ricorda	verb_noun	17	SS
objrel_that	le donne che la sorella blocca amica il padre	feminine	plural	feminine	singular			358	amica	bloccano	conosce	V2	conoscono	verb_noun	18	PS
objrel_that	le attrici che l' uomo blocca amica il figlio	feminine	plural	masculine	singular			796	amica	bloccano	difende	V2	difendono	verb_noun	19	PS
objrel_that	i fratelli che il bambino blocca amica la figlia	masculine	plural	masculine	singular			2937	amica	bloccano	guarda	V2	guardano	verb_noun	20	PS
objrel_that	i figli che l' attore amica salutano la ragazza	masculine	plural	masculine	singular			2924	amica	bloccano	saluta	V1	blocca	verb_noun	21	PS
objrel_that	il ragazzo che il fratello amica accoglie i bambini	masculine	singular	masculine	singular			3870	amica	conoscono	accolgono	V1	conosce	verb_noun	22	SS
objrel_that	la donna che l' attrice amica ama la bambina	feminine	singular	feminine	singular			1353	amica	conoscono	amano	V1	conosce	verb_noun	23	SS
objrel_that	la sorella che l' attore conosce amica le amiche	feminine	singular	masculine	singular			1964	amica	conoscono	amano	V2	ama	verb_noun	24	SS
objrel_that	il ragazzo che la bambina amica difende gli studenti	masculine	singular	feminine	singular			3373	amica	conoscono	difendono	V1	conosce	verb_noun	25	SS
objrel_that	la donna che la madre conosce amica le sorelle	feminine	singular	feminine	singular			1365	amica	conoscono	ignorano	V2	ignora	verb_noun	26	SS
objrel_that	la sorella che la figlia conosce amica il ragazzo	feminine	singular	feminine	singular			1463	amica	conoscono	indicano	V2	indica	verb_noun	27	SS
objrel_that	il padre che l' attrice amica saluta le bambine	masculine	singular	feminine	singular			3335	amica	conoscono	salutano	V1	conosce	verb_noun	28	SS
objrel_that	le studentesse che la sorella amica criticano la madre	feminine	plural	feminine	singular			500	amica	conoscono	critica	V1	conosce	verb_noun	29	PS
objrel_that	le donne che lo studente conosce amica i padri	feminine	plural	masculine	singular			873	amica	conoscono	critica	V2	criticano	verb_noun	30	PS
objrel_that	le studentesse che il figlio conosce amica le ragazze	feminine	plural	masculine	singular			985	amica	conoscono	evita	V2	evitano	verb_noun	31	PS
objrel_that	i contadini che l' uomo amica guardano la figlia	masculine	plural	masculine	singular			2900	amica	conoscono	guarda	V1	conosce	verb_noun	32	PS
objrel_that	il bambino che la ragazza amica evita i fratelli	masculine	singular	feminine	singular			3272	amica	criticano	evitano	V1	critica	verb_noun	33	SS
objrel_that	l' attrice che il padre critica amica le sorelle	feminine	singular	masculine	singular			1783	amica	criticano	osservano	V2	osserva	verb_noun	34	SS
objrel_that	le ragazze che la donna critica amica l' attrice	feminine	plural	feminine	singular			428	amica	criticano	interrompe	V2	interrompono	verb_noun	35	PS
objrel_that	le bambine che il figlio critica amica le studentesse	feminine	plural	masculine	singular			803	amica	criticano	ricorda	V2	ricordano	verb_noun	36	PS
objrel_that	il figlio che il contadino difende amica la ragazza	masculine	singular	masculine	singular			3792	amica	difendono	ignorano	V2	ignora	verb_noun	37	SS
objrel_that	le ragazze che la figlia difende amica la studentessa	feminine	plural	feminine	singular			430	amica	difendono	ignora	V2	ignorano	verb_noun	38	PS
objrel_that	gli uomini che il padre amica osservano la ragazza	masculine	plural	masculine	singular			2830	amica	difendono	osserva	V1	difende	verb_noun	39	PS
objrel_that	il figlio che la contadina amica ama lo studente	masculine	singular	feminine	singular			3300	amica	evitano	amano	V1	evita	verb_noun	40	SS
objrel_that	le ragazze che la madre amica amano il padre	feminine	plural	feminine	singular			439	amica	evitano	ama	V1	evita	verb_noun	41	PS
objrel_that	gli attori che il bambino amica indicano le ragazze	masculine	plural	masculine	singular			2773	amica	evitano	indica	V1	evita	verb_noun	42	PS
objrel_that	i bambini che il fratello evita amica le figlie	masculine	plural	masculine	singular			2860	amica	evitano	interrompe	V2	interrompono	verb_noun	43	PS
objrel_that	il fratello che il bambino amica blocca le figlie	masculine	singular	masculine	singular			3813	amica	fermano	bloccano	V1	ferma	verb_noun	44	SS
objrel_that	il figlio che l' attrice amica ricorda i padri	masculine	singular	feminine	singular			3294	amica	fermano	ricordano	V1	ferma	verb_noun	45	SS
objrel_that	gli attori che la studentessa ferma amica gli uomini	masculine	plural	feminine	singular			2293	amica	fermano	critica	V2	criticano	verb_noun	46	PS
objrel_that	i fratelli che l' attrice amica incontrano la figlia	masculine	plural	feminine	singular			2433	amica	fermano	incontra	V1	ferma	verb_noun	47	PS
objrel_that	i fratelli che l' attrice ferma amica la figlia	masculine	plural	feminine	singular			2433	amica	fermano	incontra	V2	incontrano	verb_noun	48	PS
objrel_that	la ragazza che il figlio amica attrae l' uomo	feminine	singular	masculine	singular			1918	amica	guardano	attraggono	V1	guarda	verb_noun	49	SS
objrel_that	il ragazzo che l' attore guarda amica la figlia	masculine	singular	masculine	singular			3878	amica	guardano	criticano	V2	critica	verb_noun	50	SS
objrel_that	la studentessa che la contadina amica evita la sorella	feminine	singular	feminine	singular			1486	amica	guardano	evitano	V1	guarda	verb_noun	51	SS
objrel_that	la bambina che il fratello guarda amica l' attore	feminine	singular	masculine	singular			1804	amica	guardano	indicano	V2	indica	verb_noun	52	SS
objrel_that	la contadina che l' attore guarda amica la madre	feminine	singular	masculine	singular			1836	amica	guardano	indicano	V2	indica	verb_noun	53	SS
objrel_that	il bambino che la donna guarda amica gli uomini	masculine	singular	feminine	singular			3263	amica	guardano	salutano	V2	saluta	verb_noun	54	SS
objrel_that	i bambini che l' attore amica conoscono le ragazze	masculine	plural	masculine	singular			2873	amica	guardano	conosce	V1	guarda	verb_noun	55	PS
objrel_that	i fratelli che il bambino amica salutano le madri	masculine	plural	masculine	singular			2938	amica	guardano	saluta	V1	guarda	verb_noun	56	PS
objrel_that	la contadina che la studentessa ignora amica il fratello	feminine	singular	feminine	singular			1350	amica	ignorano	incontrano	V2	incontra	verb_noun	57	SS
objrel_that	gli studenti che la contadina amica accolgono il figlio	masculine	plural	feminine	singular			2313	amica	ignorano	accoglie	V1	ignora	verb_noun	58	PS
objrel_that	le madri che la bambina amica attraggono i padri	feminine	plural	feminine	singular			401	amica	ignorano	attrae	V1	ignora	verb_noun	59	PS
objrel_that	gli studenti che la madre ignora amica l' uomo	masculine	plural	feminine	singular			2321	amica	ignorano	critica	V2	criticano	verb_noun	60	PS
objrel_that	le studentesse che la madre ignora amica le sorelle	feminine	plural	feminine	singular			494	amica	ignorano	difende	V2	difendono	verb_noun	61	PS
objrel_that	i bambini che la contadina amica difendono le sorelle	masculine	plural	feminine	singular			2356	amica	ignorano	difende	V1	ignora	verb_noun	62	PS
objrel_that	le sorelle che la ragazza amica interrompono la figlia	feminine	plural	feminine	singular			463	amica	ignorano	interrompe	V1	ignora	verb_noun	63	PS
objrel_that	l' attrice che la bambina incontra amica i figli	feminine	singular	feminine	singular			1279	amica	incontrano	attraggono	V2	attrae	verb_noun	64	SS
objrel_that	la ragazza che la bambina incontra amica le figlie	feminine	singular	feminine	singular			1441	amica	incontrano	criticano	V2	critica	verb_noun	65	SS
objrel_that	la sorella che la madre amica indica i bambini	feminine	singular	feminine	singular			1468	amica	incontrano	indicano	V1	incontra	verb_noun	66	SS
objrel_that	il figlio che la donna incontra amica la studentessa	masculine	singular	feminine	singular			3303	amica	incontrano	interrompono	V2	interrompe	verb_noun	67	SS
objrel_that	il contadino che la studentessa incontra amica il bambino	masculine	singular	feminine	singular			3289	amica	incontrano	ricordano	V2	ricorda	verb_noun	68	SS
objrel_that	i contadini che la bambina amica amano le ragazze	masculine	plural	feminine	singular			2377	amica	incontrano	ama	V1	incontra	verb_noun	69	PS
objrel_that	le bambine che la figlia amica evitano la madre	feminine	plural	feminine	singular			315	amica	incontrano	evita	V1	incontra	verb_noun	70	PS
objrel_that	le figlie che la ragazza incontra amica le sorelle	feminine	plural	feminine	singular			391	amica	incontrano	ignora	V2	ignorano	verb_noun	71	PS
objrel_that	i figli che la bambina incontra amica l' attrice	masculine	plural	feminine	singular			2401	amica	incontrano	indica	V2	indicano	verb_noun	72	PS
objrel_that	la ragazza che l' uomo amica blocca il fratello	feminine	singular	masculine	singular			1934	amica	indicano	bloccano	V1	indica	verb_noun	73	SS
objrel_that	l' attrice che il ragazzo amica conosce l' amica	feminine	singular	masculine	singular			1787	amica	indicano	conoscono	V1	indica	verb_noun	74	SS
objrel_that	la donna che il bambino indica amica i ragazzi	feminine	singular	masculine	singular			1846	amica	indicano	guardano	V2	guarda	verb_noun	75	SS
objrel_that	i fratelli che la bambina amica difendono i figli	masculine	plural	feminine	singular			2440	amica	indicano	difende	V1	indica	verb_noun	76	PS
objrel_that	l' attore che la sorella amica attrae i ragazzi	masculine	singular	feminine	singular			3444	amica	interrompono	attraggono	V1	interrompe	verb_noun	77	SS
objrel_that	il ragazzo che il contadino amica evita l' amica	masculine	singular	masculine	singular			3866	amica	interrompono	evitano	V1	interrompe	verb_noun	78	SS
objrel_that	il figlio che il ragazzo amica indica il fratello	masculine	singular	masculine	singular			3801	amica	interrompono	indicano	V1	interrompe	verb_noun	79	SS
objrel_that	l' uomo che la ragazza amica ricorda le amiche	masculine	singular	feminine	singular			3471	amica	interrompono	ricordano	V1	interrompe	verb_noun	80	SS
objrel_that	le figlie che l' attore amica osservano gli studenti	feminine	plural	masculine	singular			890	amica	interrompono	osserva	V1	interrompe	verb_noun	81	PS
objrel_that	l' attrice che il fratello osserva amica gli uomini	feminine	singular	masculine	singular			1778	amica	osservano	bloccano	V2	blocca	verb_noun	82	SS
objrel_that	il ragazzo che il padre osserva amica le bambine	masculine	singular	masculine	singular			3873	amica	osservano	conoscono	V2	conosce	verb_noun	83	SS
objrel_that	l' uomo che la sorella osserva amica il bambino	masculine	singular	feminine	singular			3473	amica	osservano	criticano	V2	critica	verb_noun	84	SS
objrel_that	l' uomo che il figlio amica evita i padri	masculine	singular	masculine	singular			3947	amica	osservano	evitano	V1	osserva	verb_noun	85	SS
objrel_that	l' attore che il padre amica guarda lo studente	masculine	singular	masculine	singular			3927	amica	osservano	guardano	V1	osserva	verb_noun	86	SS
objrel_that	l' uomo che la studentessa amica indica l' attrice	masculine	singular	feminine	singular			3474	amica	osservano	indicano	V1	osserva	verb_noun	87	SS
objrel_that	gli attori che la madre amica bloccano i padri	masculine	plural	feminine	singular			2283	amica	osservano	blocca	V1	osserva	verb_noun	88	PS
objrel_that	i fratelli che il padre osserva amica gli attori	masculine	plural	masculine	singular			2947	amica	osservano	conosce	V2	conoscono	verb_noun	89	PS
objrel_that	le bambine che il padre amica ignorano le attrici	feminine	plural	masculine	singular			811	amica	osservano	ignora	V1	osserva	verb_noun	90	PS
objrel_that	i bambini che la studentessa osserva amica i fratelli	masculine	plural	feminine	singular			2368	amica	osservano	ignora	V2	ignorano	verb_noun	91	PS
objrel_that	le madri che la figlia osserva amica l' uomo	feminine	plural	feminine	singular			409	amica	osservano	incontra	V2	incontrano	verb_noun	92	PS
objrel_that	gli uomini che il ragazzo osserva amica il bambino	masculine	plural	masculine	singular			2837	amica	osservano	incontra	V2	incontrano	verb_noun	93	PS
objrel_that	la bambina che la sorella amica ama il padre	feminine	singular	feminine	singular			1316	amica	ricordano	amano	V1	ricorda	verb_noun	94	SS
objrel_that	la ragazza che la bambina ricorda amica le contadine	feminine	singular	feminine	singular			1442	amica	ricordano	amano	V2	ama	verb_noun	95	SS
objrel_that	il ragazzo che la bambina amica ama le donne	masculine	singular	feminine	singular			3374	amica	ricordano	amano	V1	ricorda	verb_noun	96	SS
objrel_that	il figlio che la ragazza ricorda amica la donna	masculine	singular	feminine	singular			3309	amica	ricordano	bloccano	V2	blocca	verb_noun	97	SS
objrel_that	il fratello che lo studente ricorda amica il ragazzo	masculine	singular	masculine	singular			3835	amica	ricordano	ignorano	V2	ignora	verb_noun	98	SS
objrel_that	il contadino che la figlia amica osserva il ragazzo	masculine	singular	feminine	singular			3283	amica	ricordano	osservano	V1	ricorda	verb_noun	99	SS
objrel_that	le ragazze che la figlia ricorda amica le attrici	feminine	plural	feminine	singular			432	amica	ricordano	blocca	V2	bloccano	verb_noun	100	PS
objrel_that	i ragazzi che l' attore ricorda amica l' amica	masculine	plural	masculine	singular			2997	amica	ricordano	blocca	V2	bloccano	verb_noun	101	PS
objrel_that	i contadini che l' uomo amica evitano le madri	masculine	plural	masculine	singular			2901	amica	ricordano	evita	V1	ricorda	verb_noun	102	PS
objrel_that	le attrici che lo studente amica ricordano le amiche	feminine	plural	masculine	singular			799	amica	salutano	ricorda	V1	saluta	verb_noun	103	PS
objrel_that	il contadino che gli uomini accolgono amica i bambini	masculine	singular	masculine	plural			3531	amica	accoglie	evitano	V2	evita	verb_noun	104	SP
objrel_that	la contadina che le sorelle amica interrompe gli uomini	feminine	singular	feminine	plural			1101	amica	accoglie	interrompono	V1	accolgono	verb_noun	105	SP
objrel_that	il fratello che i padri amica saluta gli uomini	masculine	singular	masculine	plural			3597	amica	accoglie	salutano	V1	accolgono	verb_noun	106	SP
objrel_that	le donne che gli studenti accolgono amica le contadine	feminine	plural	masculine	plural			595	amica	accoglie	blocca	V2	bloccano	verb_noun	107	PP
objrel_that	i ragazzi che i contadini accolgono amica l' attore	masculine	plural	masculine	plural			2740	amica	accoglie	blocca	V2	bloccano	verb_noun	108	PP
objrel_that	le bambine che le sorelle accolgono amica la donna	feminine	plural	feminine	plural			80	amica	accoglie	indica	V2	indicano	verb_noun	109	PP
objrel_that	la madre che le sorelle amano amica il fratello	feminine	singular	feminine	plural			1174	amica	ama	accolgono	V2	accoglie	verb_noun	110	SP
objrel_that	il bambino che le madri amica blocca le donne	masculine	singular	feminine	plural			3011	amica	ama	bloccano	V1	amano	verb_noun	111	SP
objrel_that	il bambino che le madri amano amica le donne	masculine	singular	feminine	plural			3011	amica	ama	bloccano	V2	blocca	verb_noun	112	SP
objrel_that	il padre che le attrici amano amica la sorella	masculine	singular	feminine	plural			3092	amica	ama	difendono	V2	difende	verb_noun	113	SP
objrel_that	il padre che gli uomini amano amica l' attore	masculine	singular	masculine	plural			3610	amica	ama	osservano	V2	osserva	verb_noun	114	SP
objrel_that	le studentesse che i ragazzi amica salutano i contadini	feminine	plural	masculine	plural			748	amica	ama	saluta	V1	amano	verb_noun	115	PP
objrel_that	i ragazzi che i bambini amano amica l' attrice	masculine	plural	masculine	plural			2739	amica	ama	saluta	V2	salutano	verb_noun	116	PP
objrel_that	la contadina che gli attori attraggono amica il ragazzo	feminine	singular	masculine	plural			1576	amica	attrae	bloccano	V2	blocca	verb_noun	117	SP
objrel_that	la contadina che le attrici attraggono amica l' amica	feminine	singular	feminine	plural			1082	amica	attrae	fermano	V2	ferma	verb_noun	118	SP
objrel_that	la bambina che i ragazzi attraggono amica le amiche	feminine	singular	masculine	plural			1571	amica	attrae	fermano	V2	ferma	verb_noun	119	SP
objrel_that	le ragazze che i figli amica osservano il bambino	feminine	plural	masculine	plural			675	amica	attrae	osserva	V1	attraggono	verb_noun	120	PP
objrel_that	l' attrice che le ragazze amica ricorda le contadine	feminine	singular	feminine	plural			1041	amica	blocca	ricordano	V1	bloccano	verb_noun	121	SP
objrel_that	le figlie che le donne bloccano amica l' amico	feminine	plural	feminine	plural			135	amica	blocca	critica	V2	criticano	verb_noun	122	PP
objrel_that	le studentesse che i bambini bloccano amica le donne	feminine	plural	masculine	plural			723	amica	blocca	evita	V2	evitano	verb_noun	123	PP
objrel_that	i figli che le donne bloccano amica l' attore	masculine	plural	feminine	plural			2160	amica	blocca	saluta	V2	salutano	verb_noun	124	PP
objrel_that	il ragazzo che i bambini amica accoglie l' attore	masculine	singular	masculine	plural			3638	amica	conosce	accolgono	V1	conoscono	verb_noun	125	SP
objrel_that	la bambina che le contadine conoscono amica l' amica	feminine	singular	feminine	plural			1060	amica	conosce	bloccano	V2	blocca	verb_noun	126	SP
