a_Sentence_Type	b_Sentence	c_GenderN1	d_NumN1	e_GenderN2	f_NumN2	g_GenderN3	h_NumN3	i_NumFraseOrigine	j_New_word	k_Verb1	l_Verb2	m_Element_changed	n_Old_word	o_Violation_Type	p_number	q_condition
objrel_that	i compassi che le attrici osservano fermano i bambini	masculine	plural	feminine	plural			2002	compassi	osserva	ferma	N1	gli amici	inanimate	1	PP
objrel_that	i compassi che le figlie criticano conoscono le attrici	masculine	plural	feminine	plural			2007	compassi	critica	conosce	N1	gli amici	inanimate	2	PP
objrel_that	i compassi che le madri fermano accolgono la donna	masculine	plural	feminine	plural			2012	compassi	ferma	accoglie	N1	gli amici	inanimate	3	PP
objrel_that	i compassi che le sorelle conoscono salutano i padri	masculine	plural	feminine	plural			2017	compassi	conosce	saluta	N1	gli amici	inanimate	4	PP
objrel_that	i compassi che le amiche accolgono osservano le contadine	masculine	plural	feminine	plural			2022	compassi	accoglie	osserva	N1	gli attori	inanimate	5	PP
objrel_that	i compassi che le amiche salutano conoscono la studentessa	masculine	plural	feminine	plural			2027	compassi	saluta	conosce	N1	gli attori	inanimate	6	PP
objrel_that	i compassi che le donne difendono conoscono il fratello	masculine	plural	feminine	plural			2032	compassi	difende	conosce	N1	gli attori	inanimate	7	PP
objrel_that	i compassi che le madri osservano fermano la contadina	masculine	plural	feminine	plural			2037	compassi	osserva	ferma	N1	gli attori	inanimate	8	PP
objrel_that	i compassi che le sorelle conoscono attraggono i fratelli	masculine	plural	feminine	plural			2042	compassi	conosce	attrae	N1	gli attori	inanimate	9	PP
objrel_that	i compassi che le amiche osservano guardano le madri	masculine	plural	feminine	plural			2047	compassi	osserva	guarda	N1	gli studenti	inanimate	10	PP
objrel_that	i compassi che le bambine ricordano interrompono le donne	masculine	plural	feminine	plural			2052	compassi	ricorda	interrompe	N1	gli studenti	inanimate	11	PP
objrel_that	i compassi che le donne osservano criticano la figlia	masculine	plural	feminine	plural			2057	compassi	osserva	critica	N1	gli studenti	inanimate	12	PP
objrel_that	i compassi che le ragazze criticano conoscono le figlie	masculine	plural	feminine	plural			2062	compassi	critica	conosce	N1	gli studenti	inanimate	13	PP
objrel_that	i compassi che le sorelle conoscono interrompono l' amica	masculine	plural	feminine	plural			2067	compassi	conosce	interrompe	N1	gli studenti	inanimate	14	PP
objrel_that	i compassi che le amiche guardano bloccano i contadini	masculine	plural	feminine	plural			2072	compassi	guarda	blocca	N1	gli uomini	inanimate	15	PP
objrel_that	i compassi che le attrici fermano evitano il ragazzo	masculine	plural	feminine	plural			2077	compassi	ferma	evita	N1	gli uomini	inanimate	16	PP
