a_Sentence_Type	b_Sentence	c_GenderN1	d_NumN1	e_GenderN2	f_NumN2	g_GenderN3	h_NumN3	i_NumFraseOrigine	j_New_word	k_Verb1	l_Verb2	m_Element_changed	n_Old_word	o_Violation_Type	p_number	q_condition
embedding_mental_SR	la madre dice che il figlio amica i bambini	feminine	singular	masculine	singular			1905	amica	V2	dicono	accolgono	accoglie	verb_noun	1	SS
embedding_mental_SR	il padre dice che la sorella amica il bambino	masculine	singular	feminine	singular			3344	amica	V2	dicono	accolgono	accoglie	verb_noun	2	SS
embedding_mental_SR	l' attrice dice che il figlio amica il padre	feminine	singular	masculine	singular			1784	amica	V2	dicono	attraggono	attrae	verb_noun	3	SS
embedding_mental_SR	l' attrice dice che la contadina amica i fratelli	feminine	singular	feminine	singular			1286	amica	V2	dicono	criticano	critica	verb_noun	4	SS
embedding_mental_SR	la studentessa dice che il figlio amica il ragazzo	feminine	singular	masculine	singular			1974	amica	V2	dicono	criticano	critica	verb_noun	5	SS
embedding_mental_SR	la figlia dice che la ragazza amica le contadine	feminine	singular	feminine	singular			1381	amica	V2	dicono	evitano	evita	verb_noun	6	SS
embedding_mental_SR	la sorella dice che il figlio amica il ragazzo	feminine	singular	masculine	singular			1951	amica	V2	dicono	evitano	evita	verb_noun	7	SS
embedding_mental_SR	il contadino dice che l' attrice amica i figli	masculine	singular	feminine	singular			3277	amica	V2	dicono	evitano	evita	verb_noun	8	SS
embedding_mental_SR	la donna dice che il ragazzo amica il padre	feminine	singular	masculine	singular			1856	amica	V2	dicono	ignorano	ignora	verb_noun	9	SS
embedding_mental_SR	la studentessa dice che l' uomo amica le attrici	feminine	singular	masculine	singular			1979	amica	V2	dicono	ignorano	ignora	verb_noun	10	SS
embedding_mental_SR	il contadino dice che lo studente amica i fratelli	masculine	singular	masculine	singular			3789	amica	V2	dicono	incontrano	incontra	verb_noun	11	SS
embedding_mental_SR	il ragazzo dice che la madre amica i contadini	masculine	singular	feminine	singular			3382	amica	V2	dicono	salutano	saluta	verb_noun	12	SS
embedding_mental_SR	il padre dice che le ragazze amica le donne	masculine	singular	feminine	plural			3118	amica	V2	dicono	ama	amano	verb_noun	13	SP
embedding_mental_SR	il padre dice che le attrici amica le amiche	masculine	singular	feminine	plural			3111	amica	V2	dicono	attrae	attraggono	verb_noun	14	SP
embedding_mental_SR	la sorella dice che i ragazzi amica le contadine	feminine	singular	masculine	plural			1709	amica	V2	dicono	blocca	bloccano	verb_noun	15	SP
embedding_mental_SR	il padre dice che i contadini amica le attrici	masculine	singular	masculine	plural			3615	amica	V2	dicono	blocca	bloccano	verb_noun	16	SP
embedding_mental_SR	lo studente dice che le attrici amica l' amica	masculine	singular	feminine	plural			3223	amica	V2	dicono	difende	difendono	verb_noun	17	SP
embedding_mental_SR	il contadino dice che i bambini amica il fratello	masculine	singular	masculine	plural			3539	amica	V2	dicono	difende	difendono	verb_noun	18	SP
embedding_mental_SR	il padre dice che le donne amica l' attore	masculine	singular	feminine	plural			3115	amica	V2	dicono	ferma	fermano	verb_noun	19	SP
embedding_mental_SR	la contadina dice che le studentesse amica il bambino	feminine	singular	feminine	plural			1085	amica	V2	dicono	guarda	guardano	verb_noun	20	SP
embedding_mental_SR	il fratello dice che le donne amica le bambine	masculine	singular	feminine	plural			3088	amica	V2	dicono	ignora	ignorano	verb_noun	21	SP
embedding_mental_SR	la donna dice che le figlie amica le contadine	feminine	singular	feminine	plural			1106	amica	V2	dicono	osserva	osservano	verb_noun	22	SP
embedding_mental_SR	la ragazza dichiara che lo studente amica la sorella	feminine	singular	masculine	singular			1940	amica	V2	dichiarano	bloccano	blocca	verb_noun	23	SS
embedding_mental_SR	lo studente dichiara che la sorella amica la donna	masculine	singular	feminine	singular			3491	amica	V2	dichiarano	conoscono	conosce	verb_noun	24	SS
embedding_mental_SR	il fratello dichiara che la figlia amica i padri	masculine	singular	feminine	singular			3327	amica	V2	dichiarano	criticano	critica	verb_noun	25	SS
embedding_mental_SR	la sorella dichiara che il ragazzo amica la studentessa	feminine	singular	masculine	singular			1960	amica	V2	dichiarano	difendono	difende	verb_noun	26	SS
embedding_mental_SR	l' uomo dichiara che la studentessa amica la bambina	masculine	singular	feminine	singular			3466	amica	V2	dichiarano	evitano	evita	verb_noun	27	SS
embedding_mental_SR	l' uomo dichiara che la sorella amica il contadino	masculine	singular	feminine	singular			3462	amica	V2	dichiarano	ignorano	ignora	verb_noun	28	SS
embedding_mental_SR	la bambina dichiara che la studentessa amica la sorella	feminine	singular	feminine	singular			1325	amica	V2	dichiarano	indicano	indica	verb_noun	29	SS
embedding_mental_SR	la donna dichiara che il contadino amica la studentessa	feminine	singular	masculine	singular			1861	amica	V2	dichiarano	salutano	saluta	verb_noun	30	SS
embedding_mental_SR	la bambina dichiara che gli uomini amica i fratelli	feminine	singular	masculine	plural			1566	amica	V2	dichiarano	accoglie	accolgono	verb_noun	31	SP
embedding_mental_SR	il figlio dichiara che le attrici amica i contadini	masculine	singular	feminine	plural			3069	amica	V2	dichiarano	ama	amano	verb_noun	32	SP
embedding_mental_SR	la sorella dichiara che le contadine amica la studentessa	feminine	singular	feminine	plural			1208	amica	V2	dichiarano	blocca	bloccano	verb_noun	33	SP
embedding_mental_SR	il contadino dichiara che le ragazze amica il padre	masculine	singular	feminine	plural			3047	amica	V2	dichiarano	blocca	bloccano	verb_noun	34	SP
embedding_mental_SR	la studentessa dichiara che i bambini amica la sorella	feminine	singular	masculine	plural			1738	amica	V2	dichiarano	conosce	conoscono	verb_noun	35	SP
embedding_mental_SR	la bambina dichiara che le attrici amica i fratelli	feminine	singular	feminine	plural			1061	amica	V2	dichiarano	ferma	fermano	verb_noun	36	SP
embedding_mental_SR	la studentessa dichiara che i ragazzi amica la contadina	feminine	singular	masculine	plural			1744	amica	V2	dichiarano	indica	indicano	verb_noun	37	SP
embedding_mental_SR	l' attrice dichiara che i ragazzi amica il figlio	feminine	singular	masculine	plural			1545	amica	V2	dichiarano	saluta	salutano	verb_noun	38	SP
embedding_mental_SR	la figlia ricorda che il padre amica le sorelle	feminine	singular	masculine	singular			1896	amica	V2	ricordano	conoscono	conosce	verb_noun	39	SS
embedding_mental_SR	il fratello ricorda che la ragazza amica le figlie	masculine	singular	feminine	singular			3337	amica	V2	ricordano	conoscono	conosce	verb_noun	40	SS
embedding_mental_SR	la bambina ricorda che la figlia amica le amiche	feminine	singular	feminine	singular			1328	amica	V2	ricordano	fermano	ferma	verb_noun	41	SS
embedding_mental_SR	la donna ricorda che il bambino amica l' attrice	feminine	singular	masculine	singular			1867	amica	V2	ricordano	interrompono	interrompe	verb_noun	42	SS
embedding_mental_SR	l' attrice ricorda che gli studenti amica le bambine	feminine	singular	masculine	plural			1549	amica	V2	ricordano	accoglie	accolgono	verb_noun	43	SP
embedding_mental_SR	il fratello ricorda che gli uomini amica il padre	masculine	singular	masculine	plural			3602	amica	V2	ricordano	accoglie	accolgono	verb_noun	44	SP
embedding_mental_SR	la figlia ricorda che i padri amica le attrici	feminine	singular	masculine	plural			1659	amica	V2	ricordano	ama	amano	verb_noun	45	SP
embedding_mental_SR	il ragazzo ricorda che i bambini amica il figlio	masculine	singular	masculine	plural			3655	amica	V2	ricordano	blocca	bloccano	verb_noun	46	SP
embedding_mental_SR	la ragazza ricorda che le studentesse amica l' amico	feminine	singular	feminine	plural			1190	amica	V2	ricordano	critica	criticano	verb_noun	47	SP
embedding_mental_SR	la sorella ricorda che i padri amica lo studente	feminine	singular	masculine	plural			1720	amica	V2	ricordano	difende	difendono	verb_noun	48	SP
embedding_mental_SR	il figlio ricorda che gli studenti amica l' attore	masculine	singular	masculine	plural			3577	amica	V2	ricordano	evita	evitano	verb_noun	49	SP
embedding_mental_SR	la ragazza ricorda che gli studenti amica i bambini	feminine	singular	masculine	plural			1697	amica	V2	ricordano	ferma	fermano	verb_noun	50	SP
embedding_mental_SR	la sorella ricorda che le bambine amica il figlio	feminine	singular	feminine	plural			1213	amica	V2	ricordano	ignora	ignorano	verb_noun	51	SP
embedding_mental_SR	il figlio ricorda che le sorelle amica i ragazzi	masculine	singular	feminine	plural			3082	amica	V2	ricordano	ignora	ignorano	verb_noun	52	SP
embedding_mental_SR	la figlia ricorda che gli uomini amica l' attrice	feminine	singular	masculine	plural			1652	amica	V2	ricordano	indica	indicano	verb_noun	53	SP
embedding_mental_SR	il padre ricorda che i fratelli amica la sorella	masculine	singular	masculine	plural			3634	amica	V2	ricordano	indica	indicano	verb_noun	54	SP
embedding_mental_SR	le attrici dicono che il fratello amica i bambini	feminine	plural	masculine	singular			795	amica	V2	dice	accolgono	accoglie	verb_noun	55	PS
embedding_mental_SR	le madri dicono che lo studente amica i fratelli	feminine	plural	masculine	singular			921	amica	V2	dice	bloccano	blocca	verb_noun	56	PS
embedding_mental_SR	le madri dicono che la studentessa amica il padre	feminine	plural	feminine	singular			414	amica	V2	dice	criticano	critica	verb_noun	57	PS
