a_Sentence_Type	b_Sentence	c_GenderN1	d_NumN1	e_GenderN2	f_NumN2	g_GenderN3	h_NumN3	i_NumFraseOrigine	j_New_word	k_Verb1	l_Verb2	m_Element_changed	n_Old_word	o_Violation_Type	p_number	q_condition
objrel_nounpp	la ragazza che il padre accanto alla sorella accogli ama la donna	feminine	singular	masculine	singular	feminine	singular	1875	accogli	accolgono	amano	V1	accoglie	wrong_person	1	SSS
objrel_nounpp	il figlio che l' attrice vicino alle amiche accogli ama la contadina	masculine	singular	feminine	singular	feminine	plural	3286	accogli	accolgono	amano	V1	accoglie	wrong_person	2	SSP
objrel_nounpp	l' amica che il contadino accanto alla madre accogli attrae la ragazza	feminine	singular	masculine	singular	feminine	singular	1828	accogli	accolgono	attraggono	V1	accoglie	wrong_person	3	SSS
objrel_nounpp	l' uomo che il bambino accanto allo studente accogli attrae la madre	masculine	singular	masculine	singular	masculine	singular	4018	accogli	accolgono	attraggono	V1	accoglie	wrong_person	4	SSS
objrel_nounpp	la sorella che l' attore vicino al padre accogli blocca i fratelli	feminine	singular	masculine	singular	masculine	singular	2009	accogli	accolgono	bloccano	V1	accoglie	wrong_person	5	SSS
objrel_nounpp	la ragazza che l' amico davanti al fratello accogli conosce le donne	feminine	singular	masculine	singular	masculine	singular	1994	accogli	accolgono	conoscono	V1	accoglie	wrong_person	6	SSS
objrel_nounpp	l' amica che la figlia davanti alla contadina accogli critica la ragazza	feminine	singular	feminine	singular	feminine	singular	1327	accogli	accolgono	criticano	V1	accoglie	wrong_person	7	SSS
objrel_nounpp	la bambina che l' amica vicino alla madre accogli critica il contadino	feminine	singular	feminine	singular	feminine	singular	1339	accogli	accolgono	criticano	V1	accoglie	wrong_person	8	SSS
objrel_nounpp	l' amica che lo studente vicino alla madre accogli critica i padri	feminine	singular	masculine	singular	feminine	singular	1836	accogli	accolgono	criticano	V1	accoglie	wrong_person	9	SSS
objrel_nounpp	il ragazzo che l' amico davanti alle attrici accogli difende il bambino	masculine	singular	masculine	singular	feminine	plural	3814	accogli	accolgono	difendono	V1	accoglie	wrong_person	10	SSP
objrel_nounpp	la contadina che la madre vicino agli amici accogli ferma la bambina	feminine	singular	feminine	singular	masculine	plural	1405	accogli	accolgono	fermano	V1	accoglie	wrong_person	11	SSP
objrel_nounpp	la ragazza che lo studente davanti alla donna accogli ferma l' uomo	feminine	singular	masculine	singular	feminine	singular	1878	accogli	accolgono	fermano	V1	accoglie	wrong_person	12	SSS
objrel_nounpp	il fratello che la ragazza vicino al figlio accogli ferma l' amica	masculine	singular	feminine	singular	masculine	singular	3493	accogli	accolgono	fermano	V1	accoglie	wrong_person	13	SSS
objrel_nounpp	l' amico che il padre dietro alle attrici accogli ferma gli studenti	masculine	singular	masculine	singular	feminine	plural	3817	accogli	accolgono	fermano	V1	accoglie	wrong_person	14	SSP
objrel_nounpp	il figlio che l' amico accanto alla madre accogli ferma il padre	masculine	singular	masculine	singular	feminine	singular	3855	accogli	accolgono	fermano	V1	accoglie	wrong_person	15	SSS
objrel_nounpp	il padre che la donna dietro al ragazzo accogli guarda l' uomo	masculine	singular	feminine	singular	masculine	singular	3496	accogli	accolgono	guardano	V1	accoglie	wrong_person	16	SSS
objrel_nounpp	il ragazzo che l' uomo dietro alle figlie accogli guarda gli amici	masculine	singular	masculine	singular	feminine	plural	3815	accogli	accolgono	guardano	V1	accoglie	wrong_person	17	SSP
objrel_nounpp	l' attore che il contadino davanti agli uomini accogli guarda l' amico	masculine	singular	masculine	singular	masculine	plural	3948	accogli	accolgono	guardano	V1	accoglie	wrong_person	18	SSP
objrel_nounpp	il bambino che il fratello davanti alle amiche accogli ignora la contadina	masculine	singular	masculine	singular	feminine	plural	3783	accogli	accolgono	ignorano	V1	accoglie	wrong_person	19	SSP
objrel_nounpp	l' uomo che il figlio dietro alle sorelle accogli ignora lo studente	masculine	singular	masculine	singular	feminine	plural	3828	accogli	accolgono	ignorano	V1	accoglie	wrong_person	20	SSP
objrel_nounpp	la ragazza che la sorella davanti all' amica accogli incontra le madri	feminine	singular	feminine	singular	feminine	singular	1377	accogli	accolgono	incontrano	V1	accoglie	wrong_person	21	SSS
objrel_nounpp	l' amico che il bambino accanto agli attori accogli incontra le donne	masculine	singular	masculine	singular	masculine	plural	3942	accogli	accolgono	incontrano	V1	accoglie	wrong_person	22	SSP
objrel_nounpp	il contadino che l' amica davanti allo studente accogli interrompe le sorelle	masculine	singular	feminine	singular	masculine	singular	3473	accogli	accolgono	interrompono	V1	accoglie	wrong_person	23	SSS
objrel_nounpp	il ragazzo che il contadino davanti alla bambina accogli interrompe l' attore	masculine	singular	masculine	singular	feminine	singular	3876	accogli	accolgono	interrompono	V1	accoglie	wrong_person	24	SSS
objrel_nounpp	la donna che la ragazza davanti alla sorella accogli osserva gli studenti	feminine	singular	feminine	singular	feminine	singular	1351	accogli	accolgono	osservano	V1	accoglie	wrong_person	25	SSS
objrel_nounpp	l' amico che l' attrice vicino alle studentesse accogli osserva le bambine	masculine	singular	feminine	singular	feminine	plural	3318	accogli	accolgono	osservano	V1	accoglie	wrong_person	26	SSP
objrel_nounpp	le attrici che la sorella dietro ai figli accogli amano i bambini	feminine	plural	feminine	singular	masculine	plural	386	accogli	accolgono	ama	V1	accoglie	wrong_person	27	PSP
objrel_nounpp	gli uomini che lo studente vicino all' amica accogli amano la bambina	masculine	plural	masculine	singular	feminine	singular	2863	accogli	accolgono	ama	V1	accoglie	wrong_person	28	PSS
objrel_nounpp	le ragazze che il fratello dietro all' uomo accogli attraggono le contadine	feminine	plural	masculine	singular	masculine	singular	988	accogli	accolgono	attrae	V1	accoglie	wrong_person	29	PSS
objrel_nounpp	i padri che l' attrice dietro alle bambine accogli attraggono il ragazzo	masculine	plural	feminine	singular	feminine	plural	2318	accogli	accolgono	attrae	V1	accoglie	wrong_person	30	PSP
objrel_nounpp	le donne che la madre dietro ai ragazzi accogli bloccano le bambine	feminine	plural	feminine	singular	masculine	plural	402	accogli	accolgono	blocca	V1	accoglie	wrong_person	31	PSP
objrel_nounpp	i figli che lo studente dietro al contadino accogli conoscono l' amica	masculine	plural	masculine	singular	masculine	singular	2996	accogli	accolgono	conosce	V1	accoglie	wrong_person	32	PSS
objrel_nounpp	i bambini che la figlia accanto alle sorelle accogli criticano gli uomini	masculine	plural	feminine	singular	feminine	plural	2296	accogli	accolgono	critica	V1	accoglie	wrong_person	33	PSP
objrel_nounpp	i ragazzi che l' amico dietro alla contadina accogli difendono i padri	masculine	plural	masculine	singular	feminine	singular	2896	accogli	accolgono	difende	V1	accoglie	wrong_person	34	PSS
objrel_nounpp	i contadini che il fratello vicino ai padri accogli evitano la donna	masculine	plural	masculine	singular	masculine	plural	2935	accogli	accolgono	evita	V1	accoglie	wrong_person	35	PSP
objrel_nounpp	i fratelli che la studentessa vicino al padre accogli fermano gli attori	masculine	plural	feminine	singular	masculine	singular	2509	accogli	accolgono	ferma	V1	accoglie	wrong_person	36	PSS
objrel_nounpp	le bambine che il padre vicino ai contadini accogli guardano lo studente	feminine	plural	masculine	singular	masculine	plural	894	accogli	accolgono	guarda	V1	accoglie	wrong_person	37	PSP
objrel_nounpp	i contadini che l' amica accanto alle donne accogli guardano i padri	masculine	plural	feminine	singular	feminine	plural	2299	accogli	accolgono	guarda	V1	accoglie	wrong_person	38	PSP
objrel_nounpp	i contadini che la figlia vicino alla madre accogli guardano i padri	masculine	plural	feminine	singular	feminine	singular	2364	accogli	accolgono	guarda	V1	accoglie	wrong_person	39	PSS
objrel_nounpp	le bambine che il figlio dietro all' attrice accogli ignorano le amiche	feminine	plural	masculine	singular	feminine	singular	839	accogli	accolgono	ignora	V1	accoglie	wrong_person	40	PSS
objrel_nounpp	le figlie che l' uomo dietro al bambino accogli ignorano le attrici	feminine	plural	masculine	singular	masculine	singular	976	accogli	accolgono	ignora	V1	accoglie	wrong_person	41	PSS
objrel_nounpp	i padri che il bambino dietro al figlio accogli ignorano l' amica	masculine	plural	masculine	singular	masculine	singular	3012	accogli	accolgono	ignora	V1	accoglie	wrong_person	42	PSS
objrel_nounpp	i figli che la studentessa accanto ai ragazzi accogli incontrano il contadino	masculine	plural	feminine	singular	masculine	plural	2441	accogli	accolgono	incontra	V1	accoglie	wrong_person	43	PSP
objrel_nounpp	le bambine che la contadina vicino alle sorelle accogli indicano il ragazzo	feminine	plural	feminine	singular	feminine	plural	265	accogli	accolgono	indica	V1	accoglie	wrong_person	44	PSP
objrel_nounpp	le madri che l' uomo davanti al contadino accogli indicano i fratelli	feminine	plural	masculine	singular	masculine	singular	981	accogli	accolgono	indica	V1	accoglie	wrong_person	45	PSS
objrel_nounpp	le donne che la figlia accanto alle sorelle accogli interrompono i ragazzi	feminine	plural	feminine	singular	feminine	plural	279	accogli	accolgono	interrompe	V1	accoglie	wrong_person	46	PSP
objrel_nounpp	le studentesse che la figlia vicino alla sorella accogli interrompono i padri	feminine	plural	feminine	singular	feminine	singular	375	accogli	accolgono	interrompe	V1	accoglie	wrong_person	47	PSS
objrel_nounpp	i bambini che la figlia vicino al padre accogli interrompono l' attrice	masculine	plural	feminine	singular	masculine	singular	2487	accogli	accolgono	interrompe	V1	accoglie	wrong_person	48	PSS
objrel_nounpp	i contadini che il padre vicino ai bambini accogli interrompono gli attori	masculine	plural	masculine	singular	masculine	plural	2937	accogli	accolgono	interrompe	V1	accoglie	wrong_person	49	PSP
objrel_nounpp	i fratelli che il figlio davanti all' attore accogli interrompono le donne	masculine	plural	masculine	singular	masculine	singular	3004	accogli	accolgono	interrompe	V1	accoglie	wrong_person	50	PSS
objrel_nounpp	gli attori che la sorella dietro all' amica accogli osservano i ragazzi	masculine	plural	feminine	singular	feminine	singular	2341	accogli	accolgono	osserva	V1	accoglie	wrong_person	51	PSS
objrel_nounpp	le ragazze che l' attrice accanto ai bambini accogli ricordano le studentesse	feminine	plural	feminine	singular	masculine	plural	414	accogli	accolgono	ricorda	V1	accoglie	wrong_person	52	PSP
objrel_nounpp	gli attori che la madre vicino ai contadini accogli ricordano la studentessa	masculine	plural	feminine	singular	masculine	plural	2400	accogli	accolgono	ricorda	V1	accoglie	wrong_person	53	PSP
objrel_nounpp	le amiche che l' uomo vicino al bambino accogli salutano la madre	feminine	plural	masculine	singular	masculine	singular	952	accogli	accolgono	saluta	V1	accoglie	wrong_person	54	PSS
objrel_nounpp	i padri che la bambina dietro all' amico accogli salutano le ragazze	masculine	plural	feminine	singular	masculine	singular	2511	accogli	accolgono	saluta	V1	accoglie	wrong_person	55	PSS
objrel_nounpp	l' amica che lo studente accanto alle madri ama accogli la ragazza	feminine	singular	masculine	singular	feminine	plural	1771	accogli	amano	accolgono	V2	accoglie	wrong_person	56	SSP
objrel_nounpp	l' attore che la donna dietro alle figlie attrae accogli lo studente	masculine	singular	feminine	singular	feminine	plural	3325	accogli	attraggono	accolgono	V2	accoglie	wrong_person	57	SSP
objrel_nounpp	il figlio che la studentessa davanti al bambino attrae accogli l' amica	masculine	singular	feminine	singular	masculine	singular	3485	accogli	attraggono	accolgono	V2	accoglie	wrong_person	58	SSS
