Sentence,Sentence_Type,condition,slide,Element_changed,Violation_Type
la_ragazza che la_donna vicino alla_bambina blocca ama la_figlia,objrel_nounpp,SSS,0,NaN,acceptable
i_padri che gli_uomini accanto alla_figlia conoscere ricordano le_studentesse,objrel_nounpp,PPS,-7,V1,infinitive
l'_amico che l'_uomo accanto alle_attrici conosce ignorano il_fratello,objrel_nounpp,SSP,8,V2,num_violation
le_ragazze che le_simpatie accanto alle_figlie amano attraggono la_madre,objrel_nounpp,PPP,-3,N2,abstract
i_fratelli dichiarano che gli_studenti accanto alla_madre uomini le_contadine,embedding_mental,PPS,-7,V2,verb_noun
i_bambini che gli_uomini davanti alle_sorelle salutano figlia le_madri,objrel_nounpp,PPP,-8,V2,verb_noun
le_ragazze ricordano che l'_amica ferma i_figli,embedding_mental_SR,PS,0,NaN,acceptable
i_contadini che gli_uomini vicino al_figlio accolgono evitano le_donne,objrel_nounpp,PPS,0,NaN,acceptable
il_contadino ricorda che gli_attori davanti agli_studenti_figli la_ragazza,embedding_mental,SPP,-7,V2,verb_noun
le_amiche ricordano che i_figli interrompono il_bambino,embedding_mental_SR,PP,0,NaN,acceptable
lo_studente che il_bambino davanti al_fratello difendono interrompe la_madre,objrel_nounpp,SSS,7,V1,num_violation
il_ragazzo che i_fratelli bloccano ricorda i_padri,objrel_that,SP,0,NaN,acceptable
gli_uomini che i_ragazzi difendono blocca il_contadino,objrel_that,PP,5,V2,num_violation
la_figlia che gli_amici dietro ai_ragazzi evitano indico la_sorella,objrel_nounpp,SPP,-8,V2,wrong_person
le_studentesse che le_filosofie davanti alla_donna attrae indicano i_contadini,objrel_nounpp,PSS,-3,N2,abstract
le_contadine che la_figlia accoglie ignora la_sorella,objrel_that,PS,5,V2,num_violation
la_sorella che il_bambino dietro al_padre ignora criticare le_ragazze,objrel_nounpp,SSS,-8,V2,infinitive
la_donna dichiara che la_figlia dietro alla_bambina fermo i_ragazzi,embedding_mental,SSS,-7,V2,wrong_person
il_fratello dice che l'_amica criticano le_contadine,embedding_mental_SR,SS,5,V2,num_violation
l'_amica dice che la_contadina accanto alle_bambine interrompe i_fratelli,embedding_mental,SSP,0,NaN,acceptable
lo_studente dichiara che le_amiche davanti agli_attori indicano la_figlia,embedding_mental,SPP,0,NaN,acceptable
i_ragazzi che i_padri accolgono critica il_fratello,objrel_that,PP,5,V2,num_violation
le_madri dicono che la_studentessa indicano i_fratelli,embedding_mental_SR,PS,5,V2,num_violation
l'_uomo dice che gli_studenti vicino alle_figlie fermate la_donna,embedding_mental,SPP,-7,V2,wrong_person
il_figlio che i_ragazzi fermano incontrare i_bambini,objrel_that,SP,-5,V2,infinitive
l'_attrice ricorda che le_madri ferma l'_amico,embedding_mental_SR,SP,5,V2,num_violation
il_ragazzo che i_fratelli conosce attrae le_madri,objrel_that,SP,4,V1,num_violation
i_contadini che l'_amico interrompe indica l'_attore,objrel_that,PS,5,V2,num_violation
il_padre ricorda che i_ragazzi vicino ai_figli interrompe i_fratelli,embedding_mental,SPP,7,V2,num_violation
il_contadino che le_figlie fermano ama la_bambina,objrel_that,SP,0,NaN,acceptable
gli_uomini che i_figli accanto alle_attrici ignorano accolgono la_madre,objrel_nounpp,PPP,0,NaN,acceptable
la_ragazza che la_madre criticano accoglie i_figli,objrel_that,SS,4,V1,num_violation
i_bambini che la_studentessa davanti ai_contadini guardano ignorano il_padre,objrel_nounpp,PSP,7,V1,num_violation
il_contadino che i_figli blocca ignora le_madri,objrel_that,SP,4,V1,num_violation
le_attrici che il_contadino incontra amano le_ragazze,objrel_that,PS,0,NaN,acceptable
le_contadine che il_figlio guarda critica la_donna,objrel_that,PS,5,V2,num_violation
gli_uomini dicono che i_padri dietro alle_attrici incontrano le_amiche,embedding_mental,PPP,0,NaN,acceptable
il_padre ricorda che i_ragazzi vicino ai_figli interrompete i_fratelli,embedding_mental,SPP,-7,V2,wrong_person
le_attrici dicono che il_padre davanti all'_amico indicano i_fratelli,embedding_mental,PSS,7,V2,num_violation
i_dispiaceri che la_sorella difende accolgono le_figlie,objrel_that,PS,-1,N1,abstract
la_simpatia che la_donna accanto agli_attori accoglie interrompe le_figlie,objrel_nounpp,SSP,-1,N1,abstract
le_contadine dicono che gli_amici accanto alle_ragazze conosce gli_uomini,embedding_mental,PPP,7,V2,num_violation
il_fratello dice che le_studentesse attrici le_contadine,embedding_mental_SR,SP,-5,V2,verb_noun
il_bambino dice che l'_uomo davanti alle_madri difende le_figlie,embedding_mental,SSP,0,NaN,acceptable
le_bambine che le_amiche accanto all'_uomo ignorano fermano il_padre,objrel_nounpp,PPS,0,NaN,acceptable
le_attrici ricordano che le_contadine dietro ai_ragazzi attraggono gli_amici,embedding_mental,PPP,0,NaN,acceptable
la_contadina che i_fratelli dietro ai_bambini ignoriamo evita l'_attore,objrel_nounpp,SPP,-7,V1,wrong_person
i_figli che le_contadine conoscono evitano le_amiche,objrel_that,PP,0,NaN,acceptable
i_ragazzi che la_madre vicino alle_donne osserva sogna il_figlio,objrel_nounpp,PSP,8,V2,num_violation
i_contadini che gli_amici accanto al_ragazzo conoscete salutano i_padri,objrel_nounpp,PPS,-7,V1,wrong_person
il_contadino che gli_uomini dietro alle_sorelle osservare accoglie la_donna,objrel_nounpp,SPP,-7,V1,infinitive
i_bambini dicono che i_padri vicino alla_studentessa attraggono la_figlia,embedding_mental,PPS,0,NaN,acceptable
l'_attrice che l'_uomo accanto all'_amica conosce ricorda le_sorelle,objrel_nounpp,SSS,0,NaN,acceptable
le_bambine che le_sorelle accanto alla_ragazza salutano ricordano le_studentesse,objrel_nounpp,PPS,0,NaN,acceptable
i_bambini che le_ragazze osservano interrompono l'_uomo,objrel_that,PP,0,NaN,acceptable
il_ragazzo che i_contadini davanti alle_figlie osservano conosce la_bambina,objrel_nounpp,SPP,0,NaN,acceptable
