a_Sentence_Type	b_Sentence	c_GenderN1	d_NumN1	e_GenderN2	f_NumN2	g_GenderN3	h_NumN3	i_NumFraseOrigine	j_New_word	k_Verb1	l_Verb2	m_Element_changed	n_Old_word	o_Violation_Type	p_number	q_condition
objrel_nounpp	le madri che l' amica accanto ai figli ama accoglie le studentesse	feminine	plural	feminine	singular	masculine	plural	408	accoglie	amano	accoglie	V2	accolgono	num_violation	1	PSP
objrel_nounpp	le madri che il contadino vicino all' attrice ama accoglie la sorella	feminine	plural	masculine	singular	feminine	singular	867	accoglie	amano	accoglie	V2	accolgono	num_violation	2	PSS
objrel_nounpp	le attrici che la bambina davanti alle amiche attrae accoglie le studentesse	feminine	plural	feminine	singular	feminine	plural	258	accoglie	attraggono	accoglie	V2	accolgono	num_violation	3	PSP
objrel_nounpp	le contadine che la bambina davanti allo studente attrae accoglie i ragazzi	feminine	plural	feminine	singular	masculine	singular	465	accoglie	attraggono	accoglie	V2	accolgono	num_violation	4	PSS
objrel_nounpp	i figli che la bambina accanto allo studente attrae accoglie le amiche	masculine	plural	feminine	singular	masculine	singular	2498	accoglie	attraggono	accoglie	V2	accolgono	num_violation	5	PSS
objrel_nounpp	le bambine che l' attrice davanti ai fratelli blocca accoglie l' uomo	feminine	plural	feminine	singular	masculine	plural	388	accoglie	bloccano	accoglie	V2	accolgono	num_violation	6	PSP
objrel_nounpp	le sorelle che l' attore dietro ai bambini blocca accoglie la figlia	feminine	plural	masculine	singular	masculine	plural	937	accoglie	bloccano	accoglie	V2	accolgono	num_violation	7	PSP
objrel_nounpp	i bambini che la madre vicino ai ragazzi blocca accoglie il fratello	masculine	plural	feminine	singular	masculine	plural	2421	accoglie	bloccano	accoglie	V2	accolgono	num_violation	8	PSP
objrel_nounpp	le bambine che il padre vicino all' amica conosce accoglie le ragazze	feminine	plural	masculine	singular	feminine	singular	841	accoglie	conoscono	accoglie	V2	accolgono	num_violation	9	PSS
objrel_nounpp	i contadini che il padre accanto all' attrice conosce accoglie lo studente	masculine	plural	masculine	singular	feminine	singular	2874	accoglie	conoscono	accoglie	V2	accolgono	num_violation	10	PSS
objrel_nounpp	le studentesse che la figlia accanto al bambino critica accoglie i ragazzi	feminine	plural	feminine	singular	masculine	singular	501	accoglie	criticano	accoglie	V2	accolgono	num_violation	11	PSS
objrel_nounpp	le donne che l' amico dietro ai contadini critica accoglie la sorella	feminine	plural	masculine	singular	masculine	plural	912	accoglie	criticano	accoglie	V2	accolgono	num_violation	12	PSP
objrel_nounpp	i figli che la bambina davanti all' uomo critica accoglie le attrici	masculine	plural	feminine	singular	masculine	singular	2500	accoglie	criticano	accoglie	V2	accolgono	num_violation	13	PSS
objrel_nounpp	i padri che il bambino davanti alla sorella critica accoglie il ragazzo	masculine	plural	masculine	singular	feminine	singular	2886	accoglie	criticano	accoglie	V2	accolgono	num_violation	14	PSS
objrel_nounpp	i bambini che il ragazzo davanti all' uomo critica accoglie le donne	masculine	plural	masculine	singular	masculine	singular	2984	accoglie	criticano	accoglie	V2	accolgono	num_violation	15	PSS
objrel_nounpp	le figlie che l' attrice vicino alle madri difende accoglie la studentessa	feminine	plural	feminine	singular	feminine	plural	283	accoglie	difendono	accoglie	V2	accolgono	num_violation	16	PSP
objrel_nounpp	le attrici che il fratello dietro alle bambine difende accoglie la ragazza	feminine	plural	masculine	singular	feminine	plural	762	accoglie	difendono	accoglie	V2	accolgono	num_violation	17	PSP
objrel_nounpp	le figlie che l' attore davanti alle ragazze difende accoglie la studentessa	feminine	plural	masculine	singular	feminine	plural	791	accoglie	difendono	accoglie	V2	accolgono	num_violation	18	PSP
objrel_nounpp	le figlie che la bambina davanti alla studentessa evita accoglie le attrici	feminine	plural	feminine	singular	feminine	singular	348	accoglie	evitano	accoglie	V2	accolgono	num_violation	19	PSS
objrel_nounpp	le donne che il fratello davanti alla bambina evita accoglie la contadina	feminine	plural	masculine	singular	feminine	singular	855	accoglie	evitano	accoglie	V2	accolgono	num_violation	20	PSS
objrel_nounpp	le bambine che il figlio davanti alla ragazza ferma accoglie l' uomo	feminine	plural	masculine	singular	feminine	singular	838	accoglie	fermano	accoglie	V2	accolgono	num_violation	21	PSS
objrel_nounpp	gli studenti che la bambina davanti alle ragazze ferma accoglie l' attrice	masculine	plural	feminine	singular	feminine	plural	2276	accoglie	fermano	accoglie	V2	accolgono	num_violation	22	PSP
objrel_nounpp	gli uomini che la bambina vicino alle amiche ferma accoglie il padre	masculine	plural	feminine	singular	feminine	plural	2285	accoglie	fermano	accoglie	V2	accolgono	num_violation	23	PSP
