a_Sentence_Type	b_Sentence	c_GenderN1	d_NumN1	e_GenderN2	f_NumN2	g_GenderN3	h_NumN3	i_NumFraseOrigine	j_New_word	k_Verb1	l_Verb2	m_Element_changed	n_Old_word	o_Violation_Type	p_number	q_condition
objrel_nounpp	l' antipatia che le madri vicino alle ragazze attraggono indica la contadina	feminine	singular	feminine	plural	feminine	plural	1016	antipatia	attrae	indicano	N1	l'attrice	abstract	1	SPP
objrel_nounpp	l' antipatia che le studentesse davanti alle amiche interrompono ama la sorella	feminine	singular	feminine	plural	feminine	plural	1021	antipatia	interrompe	amano	N1	l'attrice	abstract	2	SPP
objrel_nounpp	l' antipatia che le studentesse dietro alle ragazze bloccano evita l' attrice	feminine	singular	feminine	plural	feminine	plural	1029	antipatia	blocca	evitano	N1	labambina	abstract	3	SPP
objrel_nounpp	l' antipatia che le figlie dietro alle amiche incontrano ricorda i padri	feminine	singular	feminine	plural	feminine	plural	1032	antipatia	incontra	ricordano	N1	lacontadina	abstract	4	SPP
objrel_nounpp	l' antipatia che le studentesse vicino alle ragazze indicano ricorda gli attori	feminine	singular	feminine	plural	feminine	plural	1034	antipatia	indica	ricordano	N1	lacontadina	abstract	5	SPP
objrel_nounpp	l' antipatia che le sorelle davanti alle donne ricordano ignora i padri	feminine	singular	feminine	plural	feminine	plural	1042	antipatia	ricorda	ignorano	N1	lafiglia	abstract	6	SPP
objrel_nounpp	l' antipatia che le studentesse davanti alle ragazze conoscono ama l' attore	feminine	singular	feminine	plural	feminine	plural	1043	antipatia	conosce	amano	N1	lafiglia	abstract	7	SPP
objrel_nounpp	l' antipatia che le sorelle davanti alle bambine bloccano ricorda i figli	feminine	singular	feminine	plural	feminine	plural	1056	antipatia	blocca	ricordano	N1	laragazza	abstract	8	SPP
objrel_nounpp	l' antipatia che le amiche dietro alle ragazze ricordano osserva la madre	feminine	singular	feminine	plural	feminine	plural	1059	antipatia	ricorda	osservano	N1	lasorella	abstract	9	SPP
objrel_nounpp	l' antipatia che le madri dietro alle bambine amano blocca le contadine	feminine	singular	feminine	plural	feminine	plural	1068	antipatia	ama	bloccano	N1	lastudentessa	abstract	10	SPP
objrel_nounpp	l' antipatia che le amiche dietro alla sorella indicano saluta le figlie	feminine	singular	feminine	plural	feminine	singular	1076	antipatia	indica	salutano	N1	l'attrice	abstract	11	SPS
objrel_nounpp	l' antipatia che le madri accanto alla bambina fermano conosce l' amico	feminine	singular	feminine	plural	feminine	singular	1095	antipatia	ferma	conoscono	N1	ladonna	abstract	12	SPS
objrel_nounpp	l' antipatia che le ragazze vicino alla contadina fermano osserva gli attori	feminine	singular	feminine	plural	feminine	singular	1098	antipatia	ferma	osservano	N1	ladonna	abstract	13	SPS
objrel_nounpp	l' antipatia che le sorelle vicino all' amica evitano conosce le bambine	feminine	singular	feminine	plural	feminine	singular	1101	antipatia	evita	conoscono	N1	ladonna	abstract	14	SPS
objrel_nounpp	l' antipatia che le ragazze dietro alla contadina osservano incontra gli amici	feminine	singular	feminine	plural	feminine	singular	1132	antipatia	osserva	incontrano	N1	lastudentessa	abstract	15	SPS
objrel_nounpp	l' antipatia che le studentesse accanto agli attori criticano interrompe i fratelli	feminine	singular	feminine	plural	masculine	plural	1141	antipatia	critica	interrompono	N1	l'amica	abstract	16	SPP
objrel_nounpp	l' antipatia che le sorelle accanto ai figli amano critica il contadino	feminine	singular	feminine	plural	masculine	plural	1146	antipatia	ama	criticano	N1	l'attrice	abstract	17	SPP
objrel_nounpp	l' antipatia che le madri davanti ai ragazzi evitano attrae l' uomo	feminine	singular	feminine	plural	masculine	plural	1152	antipatia	evita	attraggono	N1	labambina	abstract	18	SPP
objrel_nounpp	l' antipatia che le bambine vicino ai figli difendono incontra la madre	feminine	singular	feminine	plural	masculine	plural	1154	antipatia	difende	incontrano	N1	lacontadina	abstract	19	SPP
objrel_nounpp	l' antipatia che le donne dietro ai ragazzi ricordano ama l' attrice	feminine	singular	feminine	plural	masculine	plural	1156	antipatia	ricorda	amano	N1	lacontadina	abstract	20	SPP
objrel_nounpp	l' antipatia che le amiche vicino ai bambini indicano ricorda le sorelle	feminine	singular	feminine	plural	masculine	plural	1171	antipatia	indica	ricordano	N1	lamadre	abstract	21	SPP
objrel_nounpp	l' antipatia che le sorelle vicino ai bambini amano accoglie le ragazze	feminine	singular	feminine	plural	masculine	plural	1177	antipatia	ama	accolgono	N1	lamadre	abstract	22	SPP
objrel_nounpp	l' antipatia che le donne vicino ai figli interrompono incontra il padre	feminine	singular	feminine	plural	masculine	plural	1185	antipatia	interrompe	incontrano	N1	lasorella	abstract	23	SPP
objrel_nounpp	l' antipatia che le ragazze accanto agli attori conoscono critica l' amica	feminine	singular	feminine	plural	masculine	plural	1188	antipatia	conosce	criticano	N1	lasorella	abstract	24	SPP
objrel_nounpp	l' antipatia che le amiche vicino ai padri difendono guarda i ragazzi	feminine	singular	feminine	plural	masculine	plural	1190	antipatia	difende	guardano	N1	lastudentessa	abstract	25	SPP
objrel_nounpp	l' antipatia che le attrici davanti al padre attraggono critica gli studenti	feminine	singular	feminine	plural	masculine	singular	1198	antipatia	attrae	criticano	N1	l'amica	abstract	26	SPS
objrel_nounpp	l' antipatia che le bambine davanti al figlio osservano indica gli uomini	feminine	singular	feminine	plural	masculine	singular	1200	antipatia	osserva	indicano	N1	l'amica	abstract	27	SPS
objrel_nounpp	l' antipatia che le amiche accanto all' uomo conoscono ignora le bambine	feminine	singular	feminine	plural	masculine	singular	1206	antipatia	conosce	ignorano	N1	l'attrice	abstract	28	SPS
objrel_nounpp	l' antipatia che le studentesse vicino al ragazzo ignorano attrae la figlia	feminine	singular	feminine	plural	masculine	singular	1210	antipatia	ignora	attraggono	N1	l'attrice	abstract	29	SPS
objrel_nounpp	l' antipatia che le contadine davanti al padre incontrano conosce le figlie	feminine	singular	feminine	plural	masculine	singular	1212	antipatia	incontra	conoscono	N1	labambina	abstract	30	SPS
objrel_nounpp	l' antipatia che le ragazze accanto all' attore indicano incontra gli studenti	feminine	singular	feminine	plural	masculine	singular	1216	antipatia	indica	incontrano	N1	labambina	abstract	31	SPS
objrel_nounpp	l' antipatia che le figlie accanto allo studente evitano guarda l' amica	feminine	singular	feminine	plural	masculine	singular	1227	antipatia	evita	guardano	N1	ladonna	abstract	32	SPS
objrel_nounpp	l' antipatia che le madri vicino all' attore evitano guarda le contadine	feminine	singular	feminine	plural	masculine	singular	1228	antipatia	evita	guardano	N1	ladonna	abstract	33	SPS
objrel_nounpp	l' antipatia che le ragazze davanti al padre incontrano accoglie il bambino	feminine	singular	feminine	plural	masculine	singular	1229	antipatia	incontra	accolgono	N1	ladonna	abstract	34	SPS
