Sentence_Type,Sentence,GenderN1,NumN1,GenderN2,NumN2,GenderN3,NumN3,NumFraseOrigine,New_word,Verb1,Verb2,Element_changed,Old_word,Violation_Type,number,condition,slide,frequency,length,block,IncludedWords1,IncludedWords2,IncludedWords3,IncludedWords4,IncludedWords5,IncludedWords6,MeanLogFreq_W,MeanLength_W,ConditionAggragated
objrel_nounpp,l'_amico che l'_attrice vicino alle_studentesse accoglie osserva le_bambine,masculine,singular,feminine,singular,feminine,plural,367,NaN,accolgono,osservano,NaN,NaN,acceptable,367,SSP,0,NaN,NaN,1,amico,attrice,studentesse,accoglie,osserva,bambine,7.17692172463148,7.5,objrel_nounpp_______SSP
objrel_nounpp,gli_uomini che gli_studenti davanti al_bambino madre ricordano l'_attrice,masculine,plural,masculine,plural,masculine,singular,2735,madre,difende,ricorda,V1,difendono,verb_noun,5039,PPS,-7,NaN,NaN,4,uomini,studenti,bambino,madre,ricordano,attrice,8.95440100450507,7,objrel_nounpp_______PPS
objrel_nounpp,i_bambini che il_figlio accanto alla_sorella blocca studentesse i_contadini,masculine,plural,masculine,singular,feminine,singular,2864,studentesse,bloccano,osserva,V2,osservano,verb_noun,7329,PSS,-8,NaN,NaN,5,bambini,figlio,sorella,blocca,studentesse,contadini,8.26928466516264,7.66666666666667,objrel_nounpp_______PSS
objrel_nounpp,le_contadine che l'_amica davanti alla_ragazza osserva blocca la_studentessa,feminine,plural,feminine,singular,feminine,singular,334,blocca,osservano,blocca,V2,bloccano,num_violation,1453,PSS,8,NaN,NaN,1,contadine,amica,ragazza,osserva,blocca,studentessa,7.29260033423483,7.5,objrel_nounpp_______PSS
objrel_nounpp,il_ragazzo che i_figli dietro all'_attrice attraggono fermano le_contadine,masculine,singular,masculine,plural,feminine,singular,3632,fermano,attrae,fermano,V2,ferma,num_violation,4150,SPS,8,NaN,NaN,3,ragazzo,figli,attrice,attraggono,fermano,contadine,6.98978578254904,7.5,objrel_nounpp_______SPS
embedding_mental_SR,le_bambine ricordano che i_figli indica le_madri,feminine,plural,masculine,plural,NaN,NaN,580,indica,ricorda,indica,V2,indicano,num_violation,3118,PP,5,NaN,NaN,3,bambine,ricordano,figli,indica,madri,,7.60706771369993,6.4,embedding_mental_SR_PP
embedding_mental,il_ragazzo dichiara che i_bambini davanti agli_attori osservano le_amiche,masculine,singular,masculine,plural,masculine,plural,1663,NaN,dichiarano,osserva,NaN,NaN,acceptable,1663,SPP,0,NaN,NaN,2,ragazzo,dichiara,bambini,attori,osservano,amiche,7.93581935393275,7.16666666666667,embedding_mental____SPP
embedding_mental_SR,i_fratelli dichiarano che i_padri attrarre la_studentessa,masculine,plural,masculine,plural,NaN,NaN,2674,attrarre,dichiara,attrae,V2,attraggono,infinitive,713,PP,-5,NaN,NaN,1,fratelli,dichiarano,padri,attrarre,studentessa,,6.51515506274207,8.4,embedding_mental_SR_PP
objrel_nounpp,le_penne che le_madri davanti all'_uomo ignorano accolgono le_donne,feminine,plural,feminine,plural,masculine,singular,202,penne,ignora,accoglie,N1,le bambine,inanimate,4474,PPS,-1,NaN,NaN,3,penne,madri,uomo,ignorano,accolgono,donne,7.13547127429477,6,objrel_nounpp_______PPS
objrel_that,gli_attori che il_figlio interrompono evitano le_studentesse,masculine,plural,masculine,singular,NaN,NaN,2776,interrompono,interrompono,evita,V1,interrompe,num_violation,6500,PS,4,NaN,NaN,2,attori,figlio,interrompono,evitano,studentesse,,6.43060292813161,8.4,objrel_that_________PS
