a_Sentence_Type	b_Sentence	c_GenderN1	d_NumN1	e_GenderN2	f_NumN2	g_GenderN3	h_NumN3	i_NumFraseOrigine	j_New_word	k_Verb1	l_Verb2	m_Element_changed	n_Old_word	o_Violation_Type	p_number	q_condition
embedding_mental	la ragazza dice che la figlia dietro al fratello accogli l' uomo	feminine	singular	feminine	singular	masculine	singular	1491	accogli	dicono	accolgono	V2	accoglie	wrong_person	1	SSS
embedding_mental	la ragazza dice che la studentessa dietro al contadino accogli l' uomo	feminine	singular	feminine	singular	masculine	singular	1493	accogli	dicono	accolgono	V2	accoglie	wrong_person	2	SSS
embedding_mental	la donna dice che lo studente dietro alle madri accogli le ragazze	feminine	singular	masculine	singular	feminine	plural	1795	accogli	dicono	accolgono	V2	accoglie	wrong_person	3	SSP
embedding_mental	la donna dice che lo studente accanto all' attrice accogli i contadini	feminine	singular	masculine	singular	feminine	singular	1852	accogli	dicono	accolgono	V2	accoglie	wrong_person	4	SSS
embedding_mental	la donna dice che il bambino vicino agli studenti accogli le figlie	feminine	singular	masculine	singular	masculine	plural	1918	accogli	dicono	accolgono	V2	accoglie	wrong_person	5	SSP
embedding_mental	la contadina dice che il padre vicino all' uomo accogli la studentessa	feminine	singular	masculine	singular	masculine	singular	1972	accogli	dicono	accolgono	V2	accoglie	wrong_person	6	SSS
embedding_mental	il padre dice che il fratello davanti alle amiche accogli le bambine	masculine	singular	masculine	singular	feminine	plural	3802	accogli	dicono	accolgono	V2	accoglie	wrong_person	7	SSP
embedding_mental	l' attore dice che l' uomo accanto alla contadina accogli i figli	masculine	singular	masculine	singular	feminine	singular	3887	accogli	dicono	accolgono	V2	accoglie	wrong_person	8	SSS
embedding_mental	l' amica dichiara che la bambina accanto alle madri accogli la ragazza	feminine	singular	feminine	singular	feminine	plural	1265	accogli	dichiarano	accolgono	V2	accoglie	wrong_person	9	SSP
embedding_mental	la ragazza dichiara che la studentessa accanto alla madre accogli l' amica	feminine	singular	feminine	singular	feminine	singular	1370	accogli	dichiarano	accolgono	V2	accoglie	wrong_person	10	SSS
embedding_mental	l' amica dichiara che la sorella vicino agli attori accogli lo studente	feminine	singular	feminine	singular	masculine	plural	1391	accogli	dichiarano	accolgono	V2	accoglie	wrong_person	11	SSP
embedding_mental	la bambina dichiara che la studentessa dietro ai padri accogli l' amico	feminine	singular	feminine	singular	masculine	plural	1405	accogli	dichiarano	accolgono	V2	accoglie	wrong_person	12	SSP
embedding_mental	la contadina dichiara che l' attrice dietro al fratello accogli la sorella	feminine	singular	feminine	singular	masculine	singular	1467	accogli	dichiarano	accolgono	V2	accoglie	wrong_person	13	SSS
embedding_mental	la contadina dichiara che la madre dietro al figlio accogli gli studenti	feminine	singular	feminine	singular	masculine	singular	1469	accogli	dichiarano	accolgono	V2	accoglie	wrong_person	14	SSS
embedding_mental	l' amica dichiara che il bambino davanti alle attrici accogli gli uomini	feminine	singular	masculine	singular	feminine	plural	1770	accogli	dichiarano	accolgono	V2	accoglie	wrong_person	15	SSP
embedding_mental	la donna dichiara che il contadino dietro ai bambini accogli le figlie	feminine	singular	masculine	singular	masculine	plural	1921	accogli	dichiarano	accolgono	V2	accoglie	wrong_person	16	SSP
embedding_mental	il ragazzo dichiara che la donna davanti alle sorelle accogli gli attori	masculine	singular	feminine	singular	feminine	plural	3317	accogli	dichiarano	accolgono	V2	accoglie	wrong_person	17	SSP
embedding_mental	il ragazzo dichiara che la madre accanto alla bambina accogli le sorelle	masculine	singular	feminine	singular	feminine	singular	3366	accogli	dichiarano	accolgono	V2	accoglie	wrong_person	18	SSS
embedding_mental	l' attore dichiara che il ragazzo accanto alla donna accogli le amiche	masculine	singular	masculine	singular	feminine	singular	3889	accogli	dichiarano	accolgono	V2	accoglie	wrong_person	19	SSS
embedding_mental	l' attore dichiara che l' amico davanti alla madre accogli le sorelle	masculine	singular	masculine	singular	feminine	singular	3890	accogli	dichiarano	accolgono	V2	accoglie	wrong_person	20	SSS
embedding_mental	l' amico dichiara che il contadino accanto agli studenti accogli l' attore	masculine	singular	masculine	singular	masculine	plural	3946	accogli	dichiarano	accolgono	V2	accoglie	wrong_person	21	SSP
embedding_mental	la contadina ricorda che la ragazza davanti ai figli accogli la donna	feminine	singular	feminine	singular	masculine	plural	1414	accogli	ricordano	accolgono	V2	accoglie	wrong_person	22	SSP
embedding_mental	la studentessa ricorda che la contadina dietro ai figli accogli l' amico	feminine	singular	feminine	singular	masculine	plural	1449	accogli	ricordano	accolgono	V2	accoglie	wrong_person	23	SSP
embedding_mental	la contadina ricorda che il fratello dietro alle amiche accogli i bambini	feminine	singular	masculine	singular	feminine	plural	1788	accogli	ricordano	accolgono	V2	accoglie	wrong_person	24	SSP
embedding_mental	la contadina ricorda che il figlio davanti alla studentessa accogli le amiche	feminine	singular	masculine	singular	feminine	singular	1845	accogli	ricordano	accolgono	V2	accoglie	wrong_person	25	SSS
embedding_mental	il fratello ricorda che la bambina davanti agli studenti accogli i contadini	masculine	singular	feminine	singular	masculine	plural	3425	accogli	ricordano	accolgono	V2	accoglie	wrong_person	26	SSP
embedding_mental	l' attore ricorda che l' uomo accanto alle sorelle accogli le madri	masculine	singular	masculine	singular	feminine	plural	3831	accogli	ricordano	accolgono	V2	accoglie	wrong_person	27	SSP
embedding_mental	il ragazzo ricorda che il bambino davanti al fratello accogli le contadine	masculine	singular	masculine	singular	masculine	singular	4008	accogli	ricordano	accolgono	V2	accoglie	wrong_person	28	SSS
embedding_mental	le donne dicono che la figlia accanto alle madri accogli le bambine	feminine	plural	feminine	singular	feminine	plural	283	accogli	dice	accolgono	V2	accoglie	wrong_person	29	PSP
embedding_mental	le sorelle dicono che la bambina dietro agli uomini accogli l' amica	feminine	plural	feminine	singular	masculine	plural	428	accogli	dice	accolgono	V2	accoglie	wrong_person	30	PSP
embedding_mental	le contadine dicono che la madre davanti al fratello accogli le studentesse	feminine	plural	feminine	singular	masculine	singular	460	accogli	dice	accolgono	V2	accoglie	wrong_person	31	PSS
embedding_mental	le donne dicono che la sorella davanti al ragazzo accogli gli attori	feminine	plural	feminine	singular	masculine	singular	467	accogli	dice	accolgono	V2	accoglie	wrong_person	32	PSS
embedding_mental	le madri dicono che la ragazza accanto al fratello accogli l' attrice	feminine	plural	feminine	singular	masculine	singular	483	accogli	dice	accolgono	V2	accoglie	wrong_person	33	PSS
embedding_mental	le amiche dicono che il ragazzo dietro alle contadine accogli le madri	feminine	plural	masculine	singular	feminine	plural	763	accogli	dice	accolgono	V2	accoglie	wrong_person	34	PSP
embedding_mental	le bambine dicono che il figlio dietro allo studente accogli la sorella	feminine	plural	masculine	singular	masculine	singular	964	accogli	dice	accolgono	V2	accoglie	wrong_person	35	PSS
embedding_mental	i fratelli dicono che l' attrice dietro alla ragazza accogli la bambina	masculine	plural	feminine	singular	feminine	singular	2377	accogli	dice	accolgono	V2	accoglie	wrong_person	36	PSS
embedding_mental	i fratelli dicono che la ragazza davanti alla bambina accogli il figlio	masculine	plural	feminine	singular	feminine	singular	2380	accogli	dice	accolgono	V2	accoglie	wrong_person	37	PSS
embedding_mental	i bambini dicono che la sorella accanto agli amici accogli la studentessa	masculine	plural	feminine	singular	masculine	plural	2418	accogli	dice	accolgono	V2	accoglie	wrong_person	38	PSP
embedding_mental	i bambini dicono che la studentessa dietro al contadino accogli le ragazze	masculine	plural	feminine	singular	masculine	singular	2485	accogli	dice	accolgono	V2	accoglie	wrong_person	39	PSS
embedding_mental	i padri dicono che la sorella vicino all' attore accogli l' amico	masculine	plural	feminine	singular	masculine	singular	2509	accogli	dice	accolgono	V2	accoglie	wrong_person	40	PSS
embedding_mental	gli amici dicono che il fratello dietro al figlio accogli il padre	masculine	plural	masculine	singular	masculine	singular	2965	accogli	dice	accolgono	V2	accoglie	wrong_person	41	PSS
embedding_mental	gli uomini dicono che il fratello davanti al figlio accogli i padri	masculine	plural	masculine	singular	masculine	singular	2981	accogli	dice	accolgono	V2	accoglie	wrong_person	42	PSS
embedding_mental	le donne dichiarano che la madre dietro all' amica accogli l' attore	feminine	plural	feminine	singular	feminine	singular	340	accogli	dichiara	accolgono	V2	accoglie	wrong_person	43	PSS
embedding_mental	le attrici dichiarano che il ragazzo accanto all' amica accogli la madre	feminine	plural	masculine	singular	feminine	singular	828	accogli	dichiara	accolgono	V2	accoglie	wrong_person	44	PSS
embedding_mental	le sorelle dichiarano che l' amico vicino agli uomini accogli la studentessa	feminine	plural	masculine	singular	masculine	plural	933	accogli	dichiara	accolgono	V2	accoglie	wrong_person	45	PSP
embedding_mental	i contadini dichiarano che la sorella vicino ai bambini accogli le donne	masculine	plural	feminine	singular	masculine	plural	2429	accogli	dichiara	accolgono	V2	accoglie	wrong_person	46	PSP
