Sentence,Sentence_Type,condition,slide,Element_changed,Violation_Type
i_padri che la_figlia ricorda donne il_bambino,objrel_that,PS,-5,V2,verb_noun
gli_amici che il_ragazzo dietro alle_donne ferma attraggono lo_studente,objrel_nounpp,PSP,0,NaN,acceptable
gli_amici che il_figlio dietro ai_ragazzi bloccano attraggono il_contadino,objrel_nounpp,PSP,7,V1,num_violation
il_padre che la_contadina vicino all'_attore attrae difende le_sorelle,objrel_nounpp,SSS,0,NaN,acceptable
il_figlio che gli_uomini attraggono evitano le_ragazze,objrel_that,SP,5,V2,num_violation
i_fratelli che gli_studenti bloccano osservano la_figlia,objrel_that,PP,0,NaN,acceptable
la_contadina che i_figli vicino alle_donne ama conosce gli_amici,objrel_nounpp,SPP,7,V1,num_violation
la_sorella ricorda che gli_amici accanto all'_attrice attrae la_studentessa,embedding_mental,SPS,7,V2,num_violation
la_filosofia che il_padre blocca ferma l'_uomo,objrel_that,SS,-1,N1,abstract
i_padri dichiarano che le_studentesse davanti ai_figli indicare la_donna,embedding_mental,PPP,-7,V2,infinitive
gli_uomini dicono che gli_studenti evitare gli_attori,embedding_mental_SR,PP,-5,V2,infinitive
l'_attrice che le_studentesse attraggono critica le_ragazze,objrel_that,SP,0,NaN,acceptable
l'_amica che la_contadina vicino alla_figlia uomo guarda i_ragazzi,objrel_nounpp,SSS,-7,V1,verb_noun
la_contadina che gli_studenti criticano dico l'_amica,objrel_that,SP,-5,V2,wrong_person
i_padri che il_fratello contadino osservano le_contadine,objrel_that,PS,-4,V1,verb_noun
le_contadine che il_fratello criticare conoscono il_bambino,objrel_that,PS,-4,V1,infinitive
il_contadino dichiara che l'_amico dietro alla_madre ignorano il_figlio,embedding_mental,SSS,7,V2,num_violation
i_figli dicono che l'_uomo davanti all'_attrice madre il_ragazzo,embedding_mental,PSS,-7,V2,verb_noun
le_donne dicono che il_contadino conoscono gli_uomini,embedding_mental_SR,PS,5,V2,num_violation
le_madri dicono che il_bambino ferma l'_amica,embedding_mental_SR,PS,0,NaN,acceptable
l'_amica dice che il_ragazzo contadina i_padri,embedding_mental_SR,SS,-5,V2,verb_noun
le_studentesse che gli_amici davanti alle_attrici fermano evitano il_ragazzo,objrel_nounpp,PPP,0,NaN,acceptable
i_piaceri ricordano che il_padre evita la_contadina,embedding_mental_SR,PS,-1,N1,abstract
il_ragazzo che il_fratello dietro all'_attrice studentesse attrae il_figlio,objrel_nounpp,SSS,-7,V1,verb_noun
il_figlio che l'_orologio dietro all'_amica ricordano interrompe il_padre,objrel_nounpp,SPS,-3,N2,inanimate
la_figlia che le_madri evita osserva le_bambine,objrel_that,SP,4,V1,num_violation
il_padre che la_donna davanti alle_contadine ragazza accoglie la_figlia,objrel_nounpp,SSP,-7,V1,verb_noun
le_bambine ricordano che la_ragazza vicino alle_contadine incontra l'_attore,embedding_mental,PSP,0,NaN,acceptable
la_studentessa che la_figlia accanto agli_uomini conoscono indica l'_attore,objrel_nounpp,SSP,7,V1,num_violation
il_bambino dichiara che i_contadini davanti alle_studentesse ignora gli_amici,embedding_mental,SPP,7,V2,num_violation
le_bambine che la_studentessa vicino alla_figlia incontra fermano gli_amici,objrel_nounpp,PSS,0,NaN,acceptable
la_contadina dichiara che gli_studenti accanto alle_donne guardano i_padri,embedding_mental,SPP,0,NaN,acceptable
la_ragazza che lo_studente dietro alla_donna interrompe critica gli_uomini,objrel_nounpp,SSS,0,NaN,acceptable
le_amiche che le_sorelle conoscono incontra il_ragazzo,objrel_that,PP,5,V2,num_violation
la_bambina dichiara che gli_amici vicino al_ragazzo conoscono la_madre,embedding_mental,SPS,0,NaN,acceptable
la_diatriba che la_sorella accanto al_ragazzo ferma accoglie gli_amici,objrel_nounpp,SSS,-1,N1,abstract
le_studentesse dichiarano che la_contadina interrompe le_amiche,embedding_mental_SR,PS,0,NaN,acceptable
la_madre dice che la_bambina conoscono gli_amici,embedding_mental_SR,SS,5,V2,num_violation
il_padre che le_studentesse criticano ama la_figlia,objrel_that,SP,0,NaN,acceptable
l'_attrice dice che gli_studenti amano le_ragazze,embedding_mental_SR,SP,0,NaN,acceptable
gli_uomini che l'_amico davanti alle_attrici interrompe conosce il_padre,objrel_nounpp,PSP,8,V2,num_violation
le_sorelle dichiarano che l'_uomo vicino alla_bambina evita la_donna,embedding_mental,PSS,0,NaN,acceptable
le_attrici che le_donne accanto alle_studentesse amano interrompete il_bambino,objrel_nounpp,PPP,-8,V2,wrong_person
gli_uomini che la_bambina vicino alle_amiche ferma accolgono il_padre,objrel_nounpp,PSP,0,NaN,acceptable
l'_attore che le_sorelle critica incontra le_contadine,objrel_that,SP,4,V1,num_violation
la_ragazza che le_figlie conoscono osserva le_bambine,objrel_that,SP,0,NaN,acceptable
gli_attori dichiarano che i_ragazzi ferma la_sorella,embedding_mental_SR,PP,5,V2,num_violation
la_bambina che le_ragazze accanto ai_fratelli osservano interrompe lo_studente,objrel_nounpp,SPP,0,NaN,acceptable
le_contadine che la_donna davanti alle_bambine incontra ricorda i_padri,objrel_nounpp,PSP,8,V2,num_violation
la_studentessa che le_madri fermano conosce il_padre,objrel_that,SP,0,NaN,acceptable
il_ragazzo che gli_attori dietro alle_donne salutano incontra la_madre,objrel_nounpp,SPP,0,NaN,acceptable
la_bambina che gli_uomini interrompono contadina l'_attore,objrel_that,SP,-5,V2,verb_noun
