Sentence	Sentence_Type	condition	slide	violation
il ragazzo che la sorella fermano evita le contadine	objrel_that	SS	4	num_violation
il ragazzo che le sorelle incontra ferma le attrici	objrel_that	SP	4	num_violation
le sorelle che i figli ignora incontrano l' amica	objrel_that	PP	4	num_violation
le donne che la ragazza bloccano salutano i figli	objrel_that	PS	4	num_violation
la donna che il contadino saluta fermano l' amico	objrel_that	SS	5	num_violation
l' amico che le sorelle incontrano conoscono i bambini	objrel_that	SP	5	num_violation
le ragazze che i fratelli amano incontra il contadino	objrel_that	PP	5	num_violation
le madri che il ragazzo ricorda accoglie i figli	objrel_that	PS	5	num_violation
il padre che il fratello dietro all' amico criticano osserva le bambine	objrel_nounpp	SSS	7	num_violation
il bambino che il fratello davanti alle madri difendono critica le contadine	objrel_nounpp	SSP	7	num_violation
la sorella che le studentesse vicino all' amica sogna difende il fratello	objrel_nounpp	SPS	7	num_violation
il padre che le ragazze dietro alle bambine ferma saluta il fratello	objrel_nounpp	SPP	7	num_violation
le madri che le amiche davanti agli uomini guarda ricordano gli studenti	objrel_nounpp	PPP	7	num_violation
le contadine che i bambini vicino alla donna attrae incontrano i ragazzi	objrel_nounpp	PPS	7	num_violation
le bambine che l' attrice dietro agli amici ricordano fermano le ragazze	objrel_nounpp	PSP	7	num_violation
le ragazze che il contadino vicino alla sorella difendono bloccano i bambini	objrel_nounpp	PSS	7	num_violation
l' amica che la contadina vicino alla figlia incontra guardano i ragazzi	objrel_nounpp	SSS	8	num_violation
la ragazza che la donna dietro ai padri ama bloccano l' amica	objrel_nounpp	SSP	8	num_violation
l' amica che i fratelli davanti all' uomo attraggono ricordano il figlio	objrel_nounpp	SPS	8	num_violation
la donna che le sorelle vicino alle bambine criticano accolgono le madri	objrel_nounpp	SPP	8	num_violation
i bambini che i figli dietro ai padri interrompono ferma l' uomo	objrel_nounpp	PPP	8	num_violation
gli attori che le contadine accanto alla studentessa criticano evita le donne	objrel_nounpp	PPS	8	num_violation
gli studenti che il ragazzo davanti ai contadini guarda accoglie il padre	objrel_nounpp	PSP	8	num_violation
gli studenti che la contadina dietro all' amica osserva guarda i figli	objrel_nounpp	PSS	8	num_violation
la sorella dice che la figlia evitano le amiche	embedding_mental_SR	SS	5	num_violation
la donna ricorda che le bambine difende i contadini	embedding_mental_SR	SP	5	num_violation
le bambine ricordano che gli studenti conosce la ragazza	embedding_mental_SR	PP	5	num_violation
i fratelli dichiarano che la bambina conoscono l' amica	embedding_mental_SR	PS	5	num_violation
la madre dice che il ragazzo dietro al fratello fermano l' attore	embedding_mental	SSS	7	num_violation
la bambina dice che la madre davanti alle sorelle incontrano la figlia	embedding_mental	SSP	7	num_violation
l' attrice dice che le figlie vicino all' uomo ignora i padri	embedding_mental	SPS	7	num_violation
l' attrice ricorda che i figli davanti alle sorelle ferma le ragazze	embedding_mental	SPP	7	num_violation
le madri dichiarano che gli amici vicino alle attrici ama gli uomini	embedding_mental	PPP	7	num_violation
gli amici dicono che i ragazzi dietro alla bambina attrae il padre	embedding_mental	PPS	7	num_violation
gli studenti ricordano che la madre davanti alle figlie criticano le donne	embedding_mental	PSP	7	num_violation
gli uomini ricordano che il fratello davanti al bambino amano la figlia	embedding_mental	PSS	7	num_violation
l' attrice che la contadina ignora osserva gli amici	objrel_that	SS	0	acceptable
l' attrice che la bambina osserva attrae il padre	objrel_that	SS	0	acceptable
l' amica che le donne conoscono ricorda il padre	objrel_that	SP	0	acceptable
l' uomo che i fratelli conoscono interrompe le sorelle	objrel_that	SP	0	acceptable
i bambini che le madri evitano guardano il padre	objrel_that	PP	0	acceptable
le attrici che le bambine attraggono guardano la donna	objrel_that	PP	0	acceptable
le amiche che la figlia interrompe salutano le sorelle	objrel_that	PS	0	acceptable
le studentesse che la bambina ferma salutano l' attrice	objrel_that	PS	0	acceptable
il contadino ricorda che il figlio ignora gli amici	embedding_mental_SR	SS	0	acceptable
la contadina dice che i bambini guardano i ragazzi	embedding_mental_SR	SP	0	acceptable
i contadini dichiarano che le donne ignorano gli studenti	embedding_mental_SR	PP	0	acceptable
i figli ricordano che la contadina guarda la bambina	embedding_mental_SR	PS	0	acceptable
il figlio che l' uomo vicino al ragazzo osserva attrae i padri	objrel_nounpp	SSS	0	acceptable
l' amica che la contadina dietro al padre incontra accoglie i figli	objrel_nounpp	SSS	0	acceptable
il bambino che l' attore accanto alle amiche interrompe saluta il ragazzo	objrel_nounpp	SSP	0	acceptable
l' amica che il bambino accanto alle figlie ama interrompe le contadine	objrel_nounpp	SSP	0	acceptable
l' attrice che i padri accanto all' uomo attraggono interrompe il bambino	objrel_nounpp	SPS	0	acceptable
la ragazza che i fratelli vicino alla donna ignorano indica gli attori	objrel_nounpp	SPS	0	acceptable
l' uomo che gli attori accanto ai contadini ignorano attrae i bambini	objrel_nounpp	SPP	0	acceptable
l' amico che le attrici dietro alle madri conoscono ricorda i bambini	objrel_nounpp	SPP	0	acceptable
i ragazzi che le attrici davanti alle studentesse criticano interrompono il padre	objrel_nounpp	PPP	0	acceptable
le ragazze che i contadini davanti agli attori osservano evitano l' amico	objrel_nounpp	PPP	0	acceptable
gli amici che i padri vicino all' attrice criticano salutano gli uomini	objrel_nounpp	PPS	0	acceptable
i padri che gli attori accanto alla bambina interrompono conoscono le ragazze	objrel_nounpp	PPS	0	acceptable
gli studenti che il padre davanti alle amiche osserva bloccano le madri	objrel_nounpp	PSP	0	acceptable
le sorelle che la bambina vicino ai padri ama conoscono gli studenti	objrel_nounpp	PSP	0	acceptable
le studentesse che la sorella vicino al ragazzo incontra fermano l' attrice	objrel_nounpp	PSS	0	acceptable
gli uomini che lo studente vicino all' amica accoglie amano la bambina	objrel_nounpp	PSS	0	acceptable
