a_Sentence_Type	b_Sentence	c_GenderN1	d_NumN1	e_GenderN2	f_NumN2	g_GenderN3	h_NumN3	i_NumFraseOrigine	j_New_word	k_Verb1	l_Verb2	m_Element_changed	n_Old_word	o_Violation_Type	p_number	q_condition
embedding_mental	la studentessa dice che la figlia accanto alla bambina amica gli amici	feminine	singular	feminine	singular	feminine	singular	1379	amica	dicono	accolgono	V2	accoglie	verb_noun	1	SSS
embedding_mental	la ragazza dice che la figlia dietro al fratello amica l' uomo	feminine	singular	feminine	singular	masculine	singular	1491	amica	dicono	accolgono	V2	accoglie	verb_noun	2	SSS
embedding_mental	la donna dice che il bambino vicino agli studenti amica le figlie	feminine	singular	masculine	singular	masculine	plural	1918	amica	dicono	accolgono	V2	accoglie	verb_noun	3	SSP
embedding_mental	la donna dice che il padre accanto all' attrice amica la madre	feminine	singular	masculine	singular	feminine	singular	1848	amica	dicono	conoscono	V2	conosce	verb_noun	4	SSS
embedding_mental	la sorella dice che la madre accanto agli attori amica il bambino	feminine	singular	feminine	singular	masculine	plural	1439	amica	dicono	criticano	V2	critica	verb_noun	5	SSP
embedding_mental	il bambino dice che il fratello accanto alle attrici amica le amiche	masculine	singular	masculine	singular	feminine	plural	3782	amica	dicono	difendono	V2	difende	verb_noun	6	SSP
embedding_mental	il ragazzo dice che l' attore dietro alle sorelle amica il contadino	masculine	singular	masculine	singular	feminine	plural	3811	amica	dicono	difendono	V2	difende	verb_noun	7	SSP
embedding_mental	la sorella dice che la figlia dietro alla studentessa amica l' amico	feminine	singular	feminine	singular	feminine	singular	1374	amica	dicono	evitano	V2	evita	verb_noun	8	SSS
embedding_mental	il fratello dice che l' attrice dietro alle figlie amica gli studenti	masculine	singular	feminine	singular	feminine	plural	3298	amica	dicono	evitano	V2	evita	verb_noun	9	SSP
embedding_mental	lo studente dice che il figlio davanti alla bambina amica i padri	masculine	singular	masculine	singular	feminine	singular	3901	amica	dicono	evitano	V2	evita	verb_noun	10	SSS
embedding_mental	l' attore dice che l' uomo accanto ai padri amica il figlio	masculine	singular	masculine	singular	masculine	plural	3948	amica	dicono	guardano	V2	guarda	verb_noun	11	SSP
embedding_mental	la contadina dice che il bambino accanto all' attrice amica le donne	feminine	singular	masculine	singular	feminine	singular	1841	amica	dicono	ignorano	V2	ignora	verb_noun	12	SSS
embedding_mental	la ragazza dice che la contadina davanti alla sorella amica il figlio	feminine	singular	feminine	singular	feminine	singular	1368	amica	dicono	osservano	V2	osserva	verb_noun	13	SSS
embedding_mental	l' attore dice che lo studente davanti al ragazzo amica le madri	masculine	singular	masculine	singular	masculine	singular	4017	amica	dicono	salutano	V2	saluta	verb_noun	14	SSS
embedding_mental	la figlia dice che le contadine vicino alle bambine amica le attrici	feminine	singular	feminine	plural	feminine	plural	1040	amica	dicono	ama	V2	amano	verb_noun	15	SPP
