a_Sentence_Type	b_Sentence	c_GenderN1	d_NumN1	e_GenderN2	f_NumN2	g_GenderN3	h_NumN3	i_NumFraseOrigine	j_New_word	k_Verb1	l_Verb2	m_Element_changed	n_Old_word	o_Violation_Type	p_number	q_condition
objrel_that	il bambino che il contadino osserva evita le amiche	masculine	singular	masculine	singular			1		osservano	evitano			acceptable	1	SS
objrel_that	il bambino che il figlio critica interrompe il fratello	masculine	singular	masculine	singular			2		criticano	interrompono			acceptable	2	SS
objrel_that	il bambino che il figlio ferma attrae la studentessa	masculine	singular	masculine	singular			3		fermano	attraggono			acceptable	3	SS
objrel_that	il bambino che il figlio guarda ignora le attrici	masculine	singular	masculine	singular			4		guardano	ignorano			acceptable	4	SS
objrel_that	il bambino che il fratello ama interrompe il ragazzo	masculine	singular	masculine	singular			5		amano	interrompono			acceptable	5	SS
objrel_that	il bambino che il fratello attrae difende gli studenti	masculine	singular	masculine	singular			6		attraggono	difendono			acceptable	6	SS
objrel_that	il bambino che il fratello blocca saluta l' amico	masculine	singular	masculine	singular			7		bloccano	salutano			acceptable	7	SS
objrel_that	il bambino che il fratello ferma ama le contadine	masculine	singular	masculine	singular			8		fermano	amano			acceptable	8	SS
objrel_that	il bambino che il padre conosce interrompe gli amici	masculine	singular	masculine	singular			9		conoscono	interrompono			acceptable	9	SS
objrel_that	il bambino che il padre critica saluta le sorelle	masculine	singular	masculine	singular			10		criticano	salutano			acceptable	10	SS
objrel_that	il bambino che il padre ignora interrompe l' uomo	masculine	singular	masculine	singular			11		ignorano	interrompono			acceptable	11	SS
objrel_that	il bambino che il ragazzo conosce indica l' attore	masculine	singular	masculine	singular			12		conoscono	indicano			acceptable	12	SS
objrel_that	il bambino che il ragazzo difende interrompe le donne	masculine	singular	masculine	singular			13		difendono	interrompono			acceptable	13	SS
objrel_that	il bambino che il ragazzo ricorda conosce le madri	masculine	singular	masculine	singular			14		ricordano	conoscono			acceptable	14	SS
objrel_that	il bambino che l' amica critica osserva le studentesse	masculine	singular	feminine	singular			15		criticano	osservano			acceptable	15	SS
objrel_that	il bambino che l' amica ignora accoglie i figli	masculine	singular	feminine	singular			16		ignorano	accolgono			acceptable	16	SS
objrel_that	il bambino che l' amico accoglie blocca le studentesse	masculine	singular	masculine	singular			17		accolgono	bloccano			acceptable	17	SS
objrel_that	il bambino che l' amico ama difende il contadino	masculine	singular	masculine	singular			18		amano	difendono			acceptable	18	SS
objrel_that	il bambino che l' amico difende ricorda le ragazze	masculine	singular	masculine	singular			19		difendono	ricordano			acceptable	19	SS
objrel_that	il bambino che l' amico ignora conosce il ragazzo	masculine	singular	masculine	singular			20		ignorano	conoscono			acceptable	20	SS
objrel_that	il bambino che l' amico indica ricorda il ragazzo	masculine	singular	masculine	singular			21		indicano	ricordano			acceptable	21	SS
objrel_that	il bambino che l' attore conosce osserva i figli	masculine	singular	masculine	singular			22		conoscono	osservano			acceptable	22	SS
objrel_that	il bambino che l' attore ricorda osserva il contadino	masculine	singular	masculine	singular			23		ricordano	osservano			acceptable	23	SS
objrel_that	il bambino che l' attrice evita ama le contadine	masculine	singular	feminine	singular			24		evitano	amano			acceptable	24	SS
objrel_that	il bambino che l' attrice ignora ricorda le madri	masculine	singular	feminine	singular			25		ignorano	ricordano			acceptable	25	SS
objrel_that	il bambino che l' uomo accoglie ricorda il contadino	masculine	singular	masculine	singular			26		accolgono	ricordano			acceptable	26	SS
objrel_that	il bambino che l' uomo guarda ricorda la figlia	masculine	singular	masculine	singular			27		guardano	ricordano			acceptable	27	SS
objrel_that	il bambino che l' uomo indica attrae il contadino	masculine	singular	masculine	singular			28		indicano	attraggono			acceptable	28	SS
objrel_that	il bambino che la contadina attrae ricorda la figlia	masculine	singular	feminine	singular			29		attraggono	ricordano			acceptable	29	SS
objrel_that	il bambino che la contadina conosce guarda le studentesse	masculine	singular	feminine	singular			30		conoscono	guardano			acceptable	30	SS
objrel_that	il bambino che la contadina conosce incontra le ragazze	masculine	singular	feminine	singular			31		conoscono	incontrano			acceptable	31	SS
objrel_that	il bambino che la contadina ignora difende le sorelle	masculine	singular	feminine	singular			32		ignorano	difendono			acceptable	32	SS
objrel_that	il bambino che la contadina saluta ferma la madre	masculine	singular	feminine	singular			33		salutano	fermano			acceptable	33	SS
objrel_that	il bambino che la donna evita ama i fratelli	masculine	singular	feminine	singular			34		evitano	amano			acceptable	34	SS
objrel_that	il bambino che la donna guarda accoglie i ragazzi	masculine	singular	feminine	singular			35		guardano	accolgono			acceptable	35	SS
objrel_that	il bambino che la donna guarda conosce il fratello	masculine	singular	feminine	singular			36		guardano	conoscono			acceptable	36	SS
objrel_that	il bambino che la donna guarda saluta gli uomini	masculine	singular	feminine	singular			37		guardano	salutano			acceptable	37	SS
objrel_that	il bambino che la donna interrompe difende il contadino	masculine	singular	feminine	singular			38		interrompono	difendono			acceptable	38	SS
objrel_that	il bambino che la figlia ama critica l' amica	masculine	singular	feminine	singular			39		amano	criticano			acceptable	39	SS
objrel_that	il bambino che la figlia attrae conosce le madri	masculine	singular	feminine	singular			40		attraggono	conoscono			acceptable	40	SS
objrel_that	il bambino che la figlia critica saluta le attrici	masculine	singular	feminine	singular			41		criticano	salutano			acceptable	41	SS
objrel_that	il bambino che la figlia osserva ama il padre	masculine	singular	feminine	singular			42		osservano	amano			acceptable	42	SS
objrel_that	il bambino che la madre conosce osserva le studentesse	masculine	singular	feminine	singular			43		conoscono	osservano			acceptable	43	SS
objrel_that	il bambino che la madre critica indica i padri	masculine	singular	feminine	singular			44		criticano	indicano			acceptable	44	SS
objrel_that	il bambino che la madre critica saluta lo studente	masculine	singular	feminine	singular			45		criticano	salutano			acceptable	45	SS
objrel_that	il bambino che la ragazza critica evita i fratelli	masculine	singular	feminine	singular			46		criticano	evitano			acceptable	46	SS
objrel_that	il bambino che la sorella blocca saluta la studentessa	masculine	singular	feminine	singular			47		bloccano	salutano			acceptable	47	SS
objrel_that	il bambino che la studentessa accoglie ferma il padre	masculine	singular	feminine	singular			48		accolgono	fermano			acceptable	48	SS
objrel_that	il bambino che la studentessa indica guarda gli amici	masculine	singular	feminine	singular			49		indicano	guardano			acceptable	49	SS
objrel_that	il contadino che il bambino blocca osserva il figlio	masculine	singular	masculine	singular			50		bloccano	osservano			acceptable	50	SS
objrel_that	il contadino che il figlio evita indica la studentessa	masculine	singular	masculine	singular			51		evitano	indicano			acceptable	51	SS
objrel_that	il contadino che il figlio ferma saluta i ragazzi	masculine	singular	masculine	singular			52		fermano	salutano			acceptable	52	SS
objrel_that	il contadino che il figlio ignora ama le madri	masculine	singular	masculine	singular			53		ignorano	amano			acceptable	53	SS
objrel_that	il contadino che il figlio osserva incontra la sorella	masculine	singular	masculine	singular			54		osservano	incontrano			acceptable	54	SS
objrel_that	il contadino che il fratello ferma ama le amiche	masculine	singular	masculine	singular			55		fermano	amano			acceptable	55	SS
objrel_that	il contadino che il fratello ricorda interrompe le bambine	masculine	singular	masculine	singular			56		ricordano	interrompono			acceptable	56	SS
objrel_that	il contadino che il padre critica ricorda l' amica	masculine	singular	masculine	singular			57		criticano	ricordano			acceptable	57	SS
objrel_that	il contadino che il padre ignora blocca i figli	masculine	singular	masculine	singular			58		ignorano	bloccano			acceptable	58	SS
objrel_that	il contadino che l' amica difende conosce la bambina	masculine	singular	feminine	singular			59		difendono	conoscono			acceptable	59	SS
objrel_that	il contadino che l' amico guarda ferma la madre	masculine	singular	masculine	singular			60		guardano	fermano			acceptable	60	SS
objrel_that	il contadino che l' amico ignora guarda lo studente	masculine	singular	masculine	singular			61		ignorano	guardano			acceptable	61	SS
objrel_that	il contadino che l' attore blocca accoglie la donna	masculine	singular	masculine	singular			62		bloccano	accolgono			acceptable	62	SS
objrel_that	il contadino che l' attore ricorda saluta l' uomo	masculine	singular	masculine	singular			63		ricordano	salutano			acceptable	63	SS
objrel_that	il contadino che l' attore saluta blocca le studentesse	masculine	singular	masculine	singular			64		salutano	bloccano			acceptable	64	SS
objrel_that	il contadino che l' attrice ricorda interrompe le madri	masculine	singular	feminine	singular			65		ricordano	interrompono			acceptable	65	SS
objrel_that	il contadino che la bambina ferma interrompe la madre	masculine	singular	feminine	singular			66		fermano	interrompono			acceptable	66	SS
objrel_that	il contadino che la bambina incontra critica la studentessa	masculine	singular	feminine	singular			67		incontrano	criticano			acceptable	67	SS
objrel_that	il contadino che la figlia ferma saluta l' attore	masculine	singular	feminine	singular			68		fermano	salutano			acceptable	68	SS
objrel_that	il contadino che la figlia guarda critica le sorelle	masculine	singular	feminine	singular			69		guardano	criticano			acceptable	69	SS
objrel_that	il contadino che la figlia interrompe attrae l' amico	masculine	singular	feminine	singular			70		interrompono	attraggono			acceptable	70	SS
objrel_that	il contadino che la figlia ricorda osserva il ragazzo	masculine	singular	feminine	singular			71		ricordano	osservano			acceptable	71	SS
objrel_that	il contadino che la madre ama indica la sorella	masculine	singular	feminine	singular			72		amano	indicano			acceptable	72	SS
objrel_that	il contadino che la ragazza attrae blocca la bambina	masculine	singular	feminine	singular			73		attraggono	bloccano			acceptable	73	SS
