a_Sentence_Type	b_Sentence	c_GenderN1	d_NumN1	e_GenderN2	f_NumN2	g_GenderN3	h_NumN3	i_NumFraseOrigine	j_New_word	k_Verb1	l_Verb2	m_Element_changed	n_Old_word	o_Violation_Type	p_number	q_condition
embedding_mental	la bambina dice che le madri davanti alle sorelle accoglie i padri	feminine	singular	feminine	plural	feminine	plural	1021	accoglie	dicono	accoglie	V2	accolgono	num_violation	1	SPP
embedding_mental	la madre dice che le figlie davanti alle amiche accoglie la donna	feminine	singular	feminine	plural	feminine	plural	1044	accoglie	dicono	accoglie	V2	accolgono	num_violation	2	SPP
embedding_mental	la donna dice che le ragazze davanti alla studentessa accoglie i fratelli	feminine	singular	feminine	plural	feminine	singular	1105	accoglie	dicono	accoglie	V2	accolgono	num_violation	3	SPS
embedding_mental	la sorella dice che gli studenti davanti alle ragazze accoglie le attrici	feminine	singular	masculine	plural	feminine	plural	1564	accoglie	dicono	accoglie	V2	accolgono	num_violation	4	SPP
embedding_mental	l' amica dice che i figli davanti ai bambini accoglie gli attori	feminine	singular	masculine	plural	masculine	plural	1641	accoglie	dicono	accoglie	V2	accolgono	num_violation	5	SPP
embedding_mental	la contadina dice che gli uomini dietro ai fratelli accoglie gli amici	feminine	singular	masculine	plural	masculine	plural	1659	accoglie	dicono	accoglie	V2	accolgono	num_violation	6	SPP
embedding_mental	la madre dice che i bambini vicino ai ragazzi accoglie le attrici	feminine	singular	masculine	plural	masculine	plural	1683	accoglie	dicono	accoglie	V2	accolgono	num_violation	7	SPP
embedding_mental	l' attrice dice che i ragazzi accanto al bambino accoglie l' amico	feminine	singular	masculine	plural	masculine	singular	1704	accoglie	dicono	accoglie	V2	accolgono	num_violation	8	SPS
embedding_mental	la donna dice che i fratelli vicino all' attore accoglie la madre	feminine	singular	masculine	plural	masculine	singular	1727	accoglie	dicono	accoglie	V2	accolgono	num_violation	9	SPS
embedding_mental	il contadino dice che le figlie vicino alle madri accoglie l' amico	masculine	singular	feminine	plural	feminine	plural	3035	accoglie	dicono	accoglie	V2	accolgono	num_violation	10	SPP
embedding_mental	il ragazzo dice che le studentesse vicino alle bambine accoglie i figli	masculine	singular	feminine	plural	feminine	plural	3060	accoglie	dicono	accoglie	V2	accolgono	num_violation	11	SPP
