a_Sentence_Type	b_Sentence	c_GenderN1	d_NumN1	e_GenderN2	f_NumN2	g_GenderN3	h_NumN3	i_NumFraseOrigine	j_New_word	k_Verb1	l_Verb2	m_Element_changed	n_Old_word	o_Violation_Type	p_number	q_condition
embedding_mental	il bambino dice che il contadino vicino al fratello blocca le sorelle	masculine	singular	masculine	singular	masculine	singular	1		dicono	bloccano			acceptable	1	SSS
embedding_mental	il bambino dice che il figlio davanti alla madre critica la donna	masculine	singular	masculine	singular	feminine	singular	2		dicono	criticano			acceptable	2	SSS
embedding_mental	il bambino dice che il figlio dietro al fratello blocca i contadini	masculine	singular	masculine	singular	masculine	singular	3		dicono	bloccano			acceptable	3	SSS
embedding_mental	il bambino dice che l' amico dietro alla sorella conosce la figlia	masculine	singular	masculine	singular	feminine	singular	4		dicono	conoscono			acceptable	4	SSS
embedding_mental	il bambino dice che la ragazza davanti alla sorella difende gli amici	masculine	singular	feminine	singular	feminine	singular	5		dicono	difendono			acceptable	5	SSS
embedding_mental	il bambino dichiara che il contadino vicino all' attrice osserva la madre	masculine	singular	masculine	singular	feminine	singular	6		dichiarano	osservano			acceptable	6	SSS
embedding_mental	il bambino dichiara che il fratello dietro all' attrice accoglie i figli	masculine	singular	masculine	singular	feminine	singular	7		dichiarano	accolgono			acceptable	7	SSS
embedding_mental	il bambino dichiara che il padre vicino alla studentessa attrae gli amici	masculine	singular	masculine	singular	feminine	singular	8		dichiarano	attraggono			acceptable	8	SSS
embedding_mental	il bambino dichiara che l' amico davanti al ragazzo blocca lo studente	masculine	singular	masculine	singular	masculine	singular	9		dichiarano	bloccano			acceptable	9	SSS
embedding_mental	il bambino ricorda che il fratello dietro all' attrice ferma il contadino	masculine	singular	masculine	singular	feminine	singular	10		ricordano	fermano			acceptable	10	SSS
embedding_mental	il bambino ricorda che il padre dietro all' attore evita l' amica	masculine	singular	masculine	singular	masculine	singular	11		ricordano	evitano			acceptable	11	SSS
embedding_mental	il bambino ricorda che l' amica vicino alla ragazza attrae le figlie	masculine	singular	feminine	singular	feminine	singular	12		ricordano	attraggono			acceptable	12	SSS
embedding_mental	il bambino ricorda che l' uomo davanti al fratello guarda l' amica	masculine	singular	masculine	singular	masculine	singular	13		ricordano	guardano			acceptable	13	SSS
embedding_mental	il contadino dice che il figlio accanto al fratello conosce gli uomini	masculine	singular	masculine	singular	masculine	singular	14		dicono	conoscono			acceptable	14	SSS
embedding_mental	il contadino dice che il figlio dietro all' attrice osserva le studentesse	masculine	singular	masculine	singular	feminine	singular	15		dicono	osservano			acceptable	15	SSS
embedding_mental	il contadino dice che il padre dietro al ragazzo conosce l' uomo	masculine	singular	masculine	singular	masculine	singular	16		dicono	conoscono			acceptable	16	SSS
embedding_mental	il contadino dice che il padre dietro all' attrice interrompe i ragazzi	masculine	singular	masculine	singular	feminine	singular	17		dicono	interrompono			acceptable	17	SSS
embedding_mental	il contadino dice che la donna vicino al padre incontra la bambina	masculine	singular	feminine	singular	masculine	singular	18		dicono	incontrano			acceptable	18	SSS
embedding_mental	il contadino dice che la figlia vicino alla sorella indica i fratelli	masculine	singular	feminine	singular	feminine	singular	19		dicono	indicano			acceptable	19	SSS
embedding_mental	il contadino dice che la studentessa vicino alla bambina saluta le figlie	masculine	singular	feminine	singular	feminine	singular	20		dicono	salutano			acceptable	20	SSS
embedding_mental	il contadino dichiara che il figlio dietro alla sorella saluta gli studenti	masculine	singular	masculine	singular	feminine	singular	21		dichiarano	salutano			acceptable	21	SSS
embedding_mental	il contadino dichiara che il fratello davanti alla figlia ignora gli studenti	masculine	singular	masculine	singular	feminine	singular	22		dichiarano	ignorano			acceptable	22	SSS
embedding_mental	il contadino dichiara che il padre vicino alla ragazza critica l' uomo	masculine	singular	masculine	singular	feminine	singular	23		dichiarano	criticano			acceptable	23	SSS
embedding_mental	il contadino dichiara che l' amico dietro alla madre ignora il figlio	masculine	singular	masculine	singular	feminine	singular	24		dichiarano	ignorano			acceptable	24	SSS
embedding_mental	il contadino dichiara che l' uomo accanto allo studente blocca la figlia	masculine	singular	masculine	singular	masculine	singular	25		dichiarano	bloccano			acceptable	25	SSS
embedding_mental	il contadino dichiara che la ragazza vicino al fratello osserva le attrici	masculine	singular	feminine	singular	masculine	singular	26		dichiarano	osservano			acceptable	26	SSS
embedding_mental	il contadino dichiara che la studentessa accanto alla madre ignora l' amico	masculine	singular	feminine	singular	feminine	singular	27		dichiarano	ignorano			acceptable	27	SSS
embedding_mental	il contadino ricorda che l' amico davanti alla donna interrompe i fratelli	masculine	singular	masculine	singular	feminine	singular	28		ricordano	interrompono			acceptable	28	SSS
embedding_mental	il contadino ricorda che l' attore accanto alla ragazza ignora le madri	masculine	singular	masculine	singular	feminine	singular	29		ricordano	ignorano			acceptable	29	SSS
embedding_mental	il contadino ricorda che l' attrice vicino al fratello difende i figli	masculine	singular	feminine	singular	masculine	singular	30		ricordano	difendono			acceptable	30	SSS
embedding_mental	il figlio dice che il contadino davanti alla ragazza ignora l' attore	masculine	singular	masculine	singular	feminine	singular	31		dicono	ignorano			acceptable	31	SSS
embedding_mental	il figlio dice che il padre davanti alla studentessa ferma la donna	masculine	singular	masculine	singular	feminine	singular	32		dicono	fermano			acceptable	32	SSS
embedding_mental	il figlio dice che l' amico davanti al ragazzo indica la bambina	masculine	singular	masculine	singular	masculine	singular	33		dicono	indicano			acceptable	33	SSS
embedding_mental	il figlio dice che l' amico dietro all' attore ignora le ragazze	masculine	singular	masculine	singular	masculine	singular	34		dicono	ignorano			acceptable	34	SSS
embedding_mental	il figlio dice che l' attore accanto all' uomo ama le donne	masculine	singular	masculine	singular	masculine	singular	35		dicono	amano			acceptable	35	SSS
embedding_mental	il figlio dice che l' attore accanto alla sorella ignora la madre	masculine	singular	masculine	singular	feminine	singular	36		dicono	ignorano			acceptable	36	SSS
embedding_mental	il figlio dice che la contadina vicino all' amica indica i ragazzi	masculine	singular	feminine	singular	feminine	singular	37		dicono	indicano			acceptable	37	SSS
embedding_mental	il figlio dice che la madre dietro alla sorella indica l' amica	masculine	singular	feminine	singular	feminine	singular	38		dicono	indicano			acceptable	38	SSS
embedding_mental	il figlio dice che la madre vicino alla studentessa evita le ragazze	masculine	singular	feminine	singular	feminine	singular	39		dicono	evitano			acceptable	39	SSS
embedding_mental	il figlio dice che la sorella dietro allo studente guarda la contadina	masculine	singular	feminine	singular	masculine	singular	40		dicono	guardano			acceptable	40	SSS
embedding_mental	il figlio dichiara che il bambino davanti allo studente attrae i padri	masculine	singular	masculine	singular	masculine	singular	41		dichiarano	attraggono			acceptable	41	SSS
embedding_mental	il figlio dichiara che l' attore davanti alla studentessa saluta la bambina	masculine	singular	masculine	singular	feminine	singular	42		dichiarano	salutano			acceptable	42	SSS
embedding_mental	il figlio dichiara che la contadina vicino all' attore conosce l' uomo	masculine	singular	feminine	singular	masculine	singular	43		dichiarano	conoscono			acceptable	43	SSS
embedding_mental	il figlio dichiara che la donna accanto alla madre critica le amiche	masculine	singular	feminine	singular	feminine	singular	44		dichiarano	criticano			acceptable	44	SSS
embedding_mental	il figlio dichiara che la studentessa accanto alla madre difende le attrici	masculine	singular	feminine	singular	feminine	singular	45		dichiarano	difendono			acceptable	45	SSS
embedding_mental	il figlio dichiara che lo studente davanti al fratello saluta le ragazze	masculine	singular	masculine	singular	masculine	singular	46		dichiarano	salutano			acceptable	46	SSS
embedding_mental	il figlio ricorda che il fratello davanti al contadino saluta le donne	masculine	singular	masculine	singular	masculine	singular	47		ricordano	salutano			acceptable	47	SSS
embedding_mental	il figlio ricorda che l' amica vicino al contadino difende il fratello	masculine	singular	feminine	singular	masculine	singular	48		ricordano	difendono			acceptable	48	SSS
embedding_mental	il figlio ricorda che l' attore dietro all' amica interrompe gli uomini	masculine	singular	masculine	singular	feminine	singular	49		ricordano	interrompono			acceptable	49	SSS
embedding_mental	il figlio ricorda che l' attore vicino alla sorella blocca le studentesse	masculine	singular	masculine	singular	feminine	singular	50		ricordano	bloccano			acceptable	50	SSS
embedding_mental	il figlio ricorda che l' uomo accanto allo studente osserva gli attori	masculine	singular	masculine	singular	masculine	singular	51		ricordano	osservano			acceptable	51	SSS
embedding_mental	il figlio ricorda che la donna dietro al contadino guarda la bambina	masculine	singular	feminine	singular	masculine	singular	52		ricordano	guardano			acceptable	52	SSS
